transaction_id,amount,customer_id,timestamp,status
TXN3001,234.50,CUST101,2024-01-17 08:15:23,completed
TXN3002,1567.89,CUST205,2024-01-17 08:22:45,completed
TXN3003,89.99,CUST312,2024-01-17 08:34:12,completed
TXN3004,445.00,CUST128,2024-01-17 08:45:33,pending
TXN3005,2340.75,CUST267,2024-01-17 09:02:18,completed
TXN3006,678.25,CUST189,2024-01-17 09:15:44,completed
TXN3007,120.50,CUST421,2024-01-17 09:28:09,completed
TXN3008,3456.80,CUST156,2024-01-17 09:41:27,completed
TXN3009,892.30,CUST334,2024-01-17 09:55:51,completed
TXN3010,245.60,CUST278,2024-01-17 10:08:14,pending
TXN3011,1789.99,CUST192,2024-01-17 10:22:37,completed
TXN3012,567.40,CUST401,2024-01-17 10:35:58,completed
TXN3013,934.25,CUST223,2024-01-17 10:48:21,completed
TXN3014,156.75,CUST367,2024-01-17 11:01:45,completed
TXN3015,4567.90,CUST145,2024-01-17 11:15:08,completed
TXN3016,789.50,CUST289,2024-01-17 11:28:32,completed
TXN3017,321.80,CUST412,2024-01-17 11:42:55,completed
TXN3018,2145.60,CUST178,2024-01-17 11:56:19,completed
TXN3019,456.90,CUST356,2024-01-17 12:09:42,pending
TXN3020,1234.50,CUST234,2024-01-17 12:23:06,completed
TXN3021,678.30,CUST298,2024-01-17 12:36:29,completed
TXN3022,890.75,CUST167,2024-01-17 12:49:53,completed
TXN3023,345.20,CUST389,2024-01-17 13:03:16,completed
TXN3024,5678.40,CUST212,2024-01-17 13:16:40,completed
TXN3025,923.85,CUST345,2024-01-17 13:30:03,completed
TXN3026,456.70,CUST256,2024-01-17 13:43:27,completed
TXN3027,1890.25,CUST423,2024-01-17 13:56:50,completed
TXN3028,234.95,CUST189,2024-01-17 14:10:14,completed
TXN3029,3456.50,CUST301,2024-01-17 14:23:37,completed
TXN3030,567.80,CUST278,2024-01-17 14:37:01,pending
TXN3031,789.40,CUST134,2024-01-17 14:50:24,completed
TXN3032,1234.70,CUST412,2024-01-17 15:03:48,completed
TXN3033,456.25,CUST267,2024-01-17 15:17:11,completed
TXN3034,2890.90,CUST356,2024-01-17 15:30:35,completed
TXN3035,345.60,CUST198,2024-01-17 15:43:58,completed
TXN3036,6789.30,CUST289,2024-01-17 15:57:22,completed
TXN3037,123.45,CUST423,2024-01-17 16:10:45,completed
TXN3038,4567.75,CUST145,2024-01-17 16:24:09,completed
TXN3039,890.20,CUST312,2024-01-17 16:37:32,completed
TXN3040,234.80,CUST234,2024-01-17 16:50:56,completed
TXN3041,-150.00,CUST401,2024-01-17 17:04:19,failed
TXN3042,1567.45,CUST178,2024-01-17 17:17:43,completed
TXN3043,678.90,CUST367,2024-01-17 17:31:06,completed
TXN3044,345.30,CUST256,2024-01-17 17:44:30,completed
TXN3045,2345.80,CUST223,2024-01-17 17:57:53,completed
TXN3046,567.65,CUST334,2024-01-17 18:11:17,completed
TXN3047,890.40,CUST192,2024-01-17 18:24:40,pending
TXN3048,1234.95,CUST301,2024-01-17 18:38:04,completed
TXN3049,456.50,CUST389,2024-01-17 18:51:27,completed
TXN3050,3456.70,CUST156,2024-01-17 19:04:51,completed
TXN3051,789.85,CUST267,2024-01-17 19:18:14,completed
TXN3052,234.40,CUST421,2024-01-17 19:31:38,completed
TXN3053,5678.20,CUST128,2024-01-17 19:45:01,completed
TXN3054,345.75,CUST345,2024-01-17 19:58:25,completed
TXN3055,1890.60,CUST212,2024-01-17 20:11:48,completed
TXN3056,567.30,CUST198,2024-01-17 20:25:12,completed
TXN3057,2345.95,CUST412,2024-01-17 20:38:35,completed
TXN3058,678.45,CUST289,2024-01-17 20:51:59,completed
TXN3059,890.85,CUST167,2024-01-17 21:05:22,completed
TXN3060,1234.30,CUST356,2024-01-17 21:18:46,completed
