transaction_id,amount,customer_id,timestamp,status
TXN001,150.50,CUST001,2024-01-15 08:30:00,completed
TXN002,2340.75,CUST002,2024-01-15 08:45:12,completed
TXN003,89.99,CUST003,2024-01-15 09:15:30,completed
TXN004,-50.00,CUST004,2024-01-15 09:30:45,failed
TXN005,450.25,CUST005,2024-01-15 10:00:00,completed
TXN006,1200.00,CUST006,2024-01-15 10:20:15,completed
TXN007,75.50,,2024-01-15 10:45:30,pending
TXN008,3500.00,CUST008,2024-01-15 11:00:00,completed
TXN009,225.80,CUST009,2024-01-15 11:30:22,completed
TXN010,890.00,CUST010,2024-01-15 12:00:00,completed
TXN011,-25.50,CUST011,2024-01-15 12:15:45,failed
TXN012,456.30,CUST012,2024-01-15 12:45:00,completed
TXN013,1750.00,CUST013,2024-01-15 13:00:15,completed
TXN014,320.90,CUST014,2024-01-15 13:30:00,completed
TXN015,95.00,,2024-01-15 14:00:00,pending
TXN016,2100.50,CUST016,2024-01-15 14:20:30,completed
TXN017,540.75,CUST017,2024-01-15 14:45:00,completed
TXN018,180.00,CUST018,2024-01-15 15:00:12,completed
TXN019,4500.00,CUST019,2024-01-15 15:30:00,completed
TXN020,670.25,CUST020,2024-01-15 16:00:00,completed
TXN021,-100.00,CUST021,2024-01-15 16:15:30,failed
TXN022,890.50,CUST022,2024-01-15 16:45:00,completed
TXN023,1250.00,CUST023,2024-01-15 17:00:00,completed
TXN024,340.80,CUST024,2024-01-15 17:30:15,completed
TXN025,755.90,CUST025,2024-01-15 18:00:00,completed
TXN026,2200.00,CUST026,2025-01-15 18:30:00,pending
TXN027,125.50,CUST027,2024-01-15 19:00:00,completed
TXN028,980.00,CUST028,2024-01-15 19:30:45,completed
TXN029,435.70,CUST029,2024-01-15 20:00:00,completed
TXN030,1560.25,CUST030,2024-01-15 20:30:00,completed
TXN031,290.50,CUST031,2024-01-15 21:00:00,completed
TXN032,820.00,CUST032,2024-01-15 21:30:00,completed
TXN033,3750.50,CUST033,2024-01-15 22:00:00,completed
TXN034,145.90,CUST034,2024-01-15 22:30:00,completed
TXN035,-75.00,CUST035,2024-01-15 23:00:00,failed
TXN036,560.00,CUST036,2024-01-15 23:30:00,completed
TXN037,1890.75,CUST037,2024-01-15 08:00:00,completed
TXN038,425.50,CUST038,2024-01-15 09:00:00,completed
TXN039,2650.00,CUST039,2024-01-15 10:30:00,completed
TXN040,195.80,CUST040,2024-01-15 11:45:00,completed
TXN041,780.25,CUST041,2024-01-15 13:15:00,completed
TXN042,1340.00,CUST042,2024-01-15 14:30:00,completed
TXN043,510.50,CUST043,2024-01-15 15:45:00,completed
TXN044,920.75,CUST044,2024-01-15 16:30:00,completed
TXN045,2890.00,CUST045,2024-01-15 17:45:00,completed
TXN046,365.90,CUST046,2024-01-15 18:15:00,completed
TXN047,1125.50,CUST047,2024-01-15 19:15:00,completed
TXN048,640.00,CUST048,2024-01-15 20:15:00,completed
TXN049,4120.25,CUST049,2025-02-15 21:15:00,pending
TXN050,285.70,CUST050,2024-01-15 22:15:00,completed
TXN051,1950.00,CUST051,2024-01-15 08:20:00,completed
TXN052,475.50,CUST052,2024-01-15 09:40:00,completed
TXN053,3200.80,CUST053,2024-01-15 11:20:00,completed
TXN054,155.00,CUST054,2024-01-15 12:30:00,completed
TXN055,890.25,CUST055,2024-01-15 13:50:00,completed
TXN056,2475.00,CUST056,2024-01-15 15:10:00,completed
TXN057,625.50,CUST057,2024-01-15 16:20:00,completed
TXN058,1780.90,CUST058,2024-01-15 17:20:00,completed
TXN059,340.00,,2024-01-15 18:40:00,pending
TXN060,-150.50,CUST060,2024-01-15 19:50:00,failed
