transaction_id,amount,customer_id,timestamp,status
TXN2001,245.50,CUST010,2024-01-16 08:15:23,completed
TXN2002,1850.00,CUST025,2024-01-16 08:32:11,completed
TXN2003,92.75,CUST033,2024-01-16 09:05:47,completed
TXN2004,567.30,CUST042,2024-01-16 09:28:55,pending
TXN2005,3200.00,CUST018,2024-01-16 10:12:03,completed
TXN2006,125.99,CUST067,2024-01-16 10:45:19,completed
TXN2007,789.50,CUST091,2024-01-16 11:03:44,completed
TXN2008,-50.00,CUST015,2024-01-16 11:22:31,failed
TXN2009,445.00,CUST053,2024-01-16 11:58:07,completed
TXN2010,1675.25,CUST029,2024-01-16 12:14:52,completed
TXN2011,88.40,CUST074,2024-01-16 12:36:28,completed
TXN2012,2340.00,CUST012,2024-01-16 13:02:15,completed
TXN2013,156.80,,2024-01-16 13:27:49,pending
TXN2014,920.50,CUST088,2024-01-16 13:55:33,completed
TXN2015,375.00,CUST041,2024-01-16 14:18:06,completed
TXN2016,4567.90,CUST022,2024-01-16 14:42:21,completed
TXN2017,210.30,CUST095,2024-01-16 15:09:14,completed
TXN2018,825.75,CUST036,2024-01-16 15:31:58,completed
TXN2019,1450.00,CUST068,2024-01-16 16:05:42,completed
TXN2020,95.50,CUST014,2024-01-16 16:28:27,completed
TXN2021,680.25,CUST077,2024-01-16 16:52:03,pending
TXN2022,3890.00,CUST031,2024-01-16 17:19:36,completed
TXN2023,145.60,CUST089,2024-01-16 17:43:11,completed
TXN2024,520.00,CUST045,2024-01-16 18:07:48,completed
TXN2025,2175.80,CUST023,2025-02-20 10:30:00,completed
TXN2026,765.40,CUST056,2024-01-16 19:02:19,completed
TXN2027,310.90,CUST082,2024-01-16 19:28:54,completed
TXN2028,1890.00,CUST017,2024-01-16 19:55:32,completed
TXN2029,425.75,CUST093,2024-01-16 20:21:07,completed
TXN2030,6750.00,CUST027,2024-01-16 20:48:43,completed
TXN2031,185.30,CUST061,2024-01-16 21:15:28,completed
TXN2032,945.60,CUST038,2024-01-16 21:42:16,completed
TXN2033,275.00,CUST079,2024-01-16 22:08:51,completed
TXN2034,1560.25,CUST011,2024-01-16 22:35:39,completed
TXN2035,88.90,CUST086,2024-01-16 23:02:14,completed
TXN2036,740.50,CUST049,2024-01-16 23:28:47,completed
TXN2037,2890.00,CUST021,2024-01-16 08:45:22,completed
TXN2038,365.75,CUST070,2024-01-16 09:17:58,completed
TXN2039,1245.30,CUST034,2024-01-16 09:52:33,pending
TXN2040,580.00,CUST087,2024-01-16 10:26:09,completed
TXN2041,4125.50,CUST019,2024-01-16 11:01:44,completed
TXN2042,195.80,CUST064,2024-01-16 11:38:21,completed
TXN2043,870.25,CUST046,2024-01-16 12:15:56,completed
TXN2044,325.00,CUST092,2024-01-16 12:53:32,completed
TXN2045,1980.75,CUST028,2024-01-16 13:30:08,completed
TXN2046,445.60,CUST075,2024-01-16 14:07:43,completed
TXN2047,7890.00,CUST013,2024-01-16 14:45:19,completed
TXN2048,265.30,CUST081,2024-01-16 15:22:54,completed
TXN2049,1125.50,CUST037,2024-01-16 16:00:30,completed
TXN2050,615.75,CUST069,2024-01-16 16:38:05,completed
