texture_id,mip_level,sample_count,memory_size_mb,frame_number
tex_0001,0,45230,245.5,2
tex_0001,1,38920,118.2,2
tex_0001,2,12450,58.7,2
tex_0002,0,35600,198.3,2
tex_0002,1,28340,95.4,2
tex_0002,2,8920,46.8,2
tex_0003,0,890,156.7,2
tex_0003,1,1240,76.3,2
tex_0003,2,580,37.2,2
tex_0003,3,120,18.4,2
tex_0004,0,48750,232.1,2
tex_0004,1,42100,112.8,2
tex_0004,2,15600,55.3,2
tex_0004,3,3200,27.1,2
tex_0005,0,15,187.4,2
tex_0005,1,28,89.6,2
tex_0005,2,8,44.2,2
tex_0006,0,12800,223.9,2
tex_0006,1,10200,107.5,2
tex_0006,2,4560,52.8,2
tex_0006,3,890,25.9,2
tex_0007,0,42,145.2,2
tex_0007,1,67,69.8,2
tex_0007,2,23,34.1,2
tex_0007,3,5,16.7,2
tex_0008,0,38900,211.6,2
tex_0008,1,32450,101.9,2
tex_0008,2,11230,50.2,2
tex_0008,3,2340,24.6,2
tex_0009,0,6700,176.8,2
tex_0009,1,5890,84.7,2
tex_0009,2,2100,41.5,2
tex_0009,3,450,20.3,2
tex_0010,0,340,189.2,2
tex_0010,1,520,90.8,2
tex_0010,2,180,44.9,2
tex_0011,0,29800,207.4,2
tex_0011,1,24300,99.8,2
tex_0011,2,8950,49.1,2
tex_0011,3,1780,24.0,2
tex_0012,0,9,163.5,2
tex_0012,1,14,78.4,2
tex_0012,2,3,38.6,2
tex_0013,0,18600,195.7,2
tex_0013,1,14800,94.2,2
tex_0013,2,5670,46.4,2
tex_0013,3,1120,22.8,2
tex_0014,0,780,172.1,2
tex_0014,1,1050,82.9,2
tex_0014,2,420,40.8,2
tex_0014,3,85,20.1,2
tex_0015,0,47890,238.6,2
tex_0015,1,41200,115.3,2
tex_0015,2,14780,56.7,2
tex_0015,3,3850,27.8,2
tex_0016,0,125,158.9,2
tex_0016,1,210,76.1,2
tex_0016,2,68,37.4,2
tex_0017,0,33400,214.8,2
tex_0017,1,27800,103.6,2
tex_0017,2,9840,51.0,2
tex_0017,3,2010,25.0,2
tex_0018,0,51,181.3,2
tex_0018,1,89,87.2,2
tex_0018,2,27,42.9,2
tex_0019,0,11400,201.5,2
tex_0019,1,9100,96.8,2
tex_0019,2,3780,47.6,2
tex_0019,3,720,23.4,2
tex_0020,0,24500,219.2,2
tex_0020,1,19800,105.4,2
tex_0020,2,7230,51.9,2
tex_0020,3,1540,25.4,2
tex_0021,0,450,167.8,2
tex_0021,1,670,80.5,2
tex_0021,2,240,39.6,2
tex_0022,0,8900,193.4,2
tex_0022,1,7200,92.9,2
tex_0022,2,2890,45.7,2
tex_0022,3,580,22.4,2
tex_0023,0,36,152.6,2
tex_0023,1,48,73.2,2
tex_0023,2,12,36.0,2
tex_0024,0,40100,227.5,2
tex_0024,1,34600,109.8,2
tex_0024,2,12780,54.0,2
tex_0024,3,2980,26.5,2
tex_0025,0,5600,174.9,2
tex_0025,1,4780,84.1,2
tex_0025,2,1890,41.3,2
tex_0025,3,380,20.3,2
tex_0026,0,98,160.7,2
tex_0026,1,145,77.2,2
tex_0026,2,52,38.0,2
tex_0027,0,27900,205.8,2
tex_0027,1,22400,99.1,2
tex_0027,2,8120,48.8,2
tex_0027,3,1690,23.9,2
tex_0028,0,19,186.5,2
tex_0028,1,31,89.7,2
tex_0028,2,7,44.1,2
tex_0029,0,14200,197.8,2
tex_0029,1,11600,95.2,2
tex_0029,2,4320,46.9,2
tex_0029,3,890,23.0,2
tex_0030,0,610,169.4,2
tex_0030,1,890,81.3,2
tex_0030,2,310,40.0,2
tex_0030,3,68,19.6,2
