texture_id,mip_level,sample_count,memory_size_mb,frame_number
tex_0001,0,45230,234.5,1
tex_0001,1,38920,117.2,1
tex_0001,2,12450,58.6,1
tex_0001,3,3240,29.3,1
tex_0002,0,42100,198.7,1
tex_0002,1,35600,99.4,1
tex_0002,2,9870,49.7,1
tex_0003,0,38750,215.3,1
tex_0003,1,31200,107.6,1
tex_0003,2,8920,53.8,1
tex_0003,3,1850,26.9,1
tex_0004,0,12450,187.2,1
tex_0004,1,9870,93.6,1
tex_0004,2,3240,46.8,1
tex_0004,3,890,23.4,1
tex_0005,0,10230,176.8,1
tex_0005,1,7650,88.4,1
tex_0005,2,2340,44.2,1
tex_0006,0,8920,192.5,1
tex_0006,1,6780,96.2,1
tex_0006,2,1920,48.1,1
tex_0006,3,450,24.0,1
tex_0007,0,890,164.3,1
tex_0007,1,670,82.1,1
tex_0007,2,230,41.0,1
tex_0008,0,450,156.7,1
tex_0008,1,320,78.3,1
tex_0008,2,120,39.1,1
tex_0009,0,230,189.4,1
tex_0009,1,180,94.7,1
tex_0009,2,45,47.3,1
tex_0010,0,35680,241.2,1
tex_0010,1,28900,120.6,1
tex_0010,2,11230,60.3,1
tex_0010,3,2890,30.1,1
tex_0011,0,32450,228.9,1
tex_0011,1,26700,114.4,1
tex_0011,2,8760,57.2,1
tex_0012,0,28920,207.3,1
tex_0012,1,23400,103.6,1
tex_0012,2,7650,51.8,1
tex_0012,3,1670,25.9,1
tex_0013,0,14560,195.8,1
tex_0013,1,11230,97.9,1
tex_0013,2,3890,48.9,1
tex_0014,0,13240,183.2,1
tex_0014,1,10120,91.6,1
tex_0014,2,3560,45.8,1
tex_0014,3,890,22.9,1
tex_0015,0,9870,172.4,1
tex_0015,1,7890,86.2,1
tex_0015,2,2340,43.1,1
tex_0016,0,6780,168.9,1
tex_0016,1,5120,84.4,1
tex_0016,2,1450,42.2,1
tex_0017,0,3240,179.5,1
tex_0017,1,2340,89.7,1
tex_0017,2,780,44.8,1
tex_0017,3,230,22.4,1
tex_0018,0,1920,161.8,1
tex_0018,1,1450,80.9,1
tex_0018,2,450,40.4,1
tex_0019,0,1230,185.6,1
tex_0019,1,890,92.8,1
tex_0019,2,340,46.4,1
tex_0020,0,670,174.2,1
tex_0020,1,450,87.1,1
tex_0020,2,120,43.5,1
tex_0021,0,48760,245.8,1
tex_0021,1,41230,122.9,1
tex_0021,2,15670,61.4,1
tex_0021,3,4560,30.7,1
tex_0022,0,44320,223.4,1
tex_0022,1,37890,111.7,1
tex_0022,2,13240,55.8,1
tex_0023,0,39870,219.6,1
tex_0023,1,33450,109.8,1
tex_0023,2,10230,54.9,1
tex_0023,3,2340,27.4,1
tex_0024,0,25680,203.7,1
tex_0024,1,19870,101.8,1
tex_0024,2,6780,50.9,1
tex_0025,0,21230,197.3,1
tex_0025,1,17890,98.6,1
tex_0025,2,5670,49.3,1
tex_0025,3,1230,24.6,1
tex_0026,0,18920,191.2,1
tex_0026,1,14560,95.6,1
tex_0026,2,4890,47.8,1
tex_0027,0,15670,186.4,1
tex_0027,1,12450,93.2,1
tex_0027,2,4120,46.6,1
tex_0027,3,1020,23.3,1
tex_0028,0,5670,166.8,1
tex_0028,1,4320,83.4,1
tex_0028,2,1230,41.7,1
tex_0029,0,4560,158.3,1
tex_0029,1,3240,79.1,1
tex_0029,2,890,39.5,1
tex_0030,0,2890,181.7,1
tex_0030,1,2120,90.8,1
tex_0030,2,670,45.4,1
