transaction_id,customer_id,amount,date,status
1001,5234,125.50,2023-06-15,completed
1002,5235,89.99,2023-06-15,completed
1003,5236,234.75,2023-06-16,completed
1004,5237,-50.00,2023-06-16,completed
1005,5238,156.80,2023-06-17,completed
1006,5239,45.25,2023-06-17,failed
1007,5240,199.99,2023-06-18,completed
1008,5241,67.50,2023-06-18,completed
1009,5242,,2023-06-19,completed
1010,5243,312.40,2023-06-19,completed
1011,5244,78.90,2023-06-20,completed
1012,5245,445.00,2023-06-20,completed
1013,5246,23.50,2023-06-21,cancelled
1014,5247,167.80,2023-06-21,completed
1015,5248,98.75,2023-06-22,completed
1016,5249,-25.00,2023-06-22,completed
1017,5250,289.60,2023-06-23,completed
1018,5251,134.25,2023-06-23,completed
1019,5252,56.40,2023-06-24,completed
1020,5253,478.90,2023-06-24,completed
1021,5254,211.50,2023-06-25,failed
1022,5255,92.30,2023-06-25,completed
1023,5256,345.80,2023-06-26,completed
1024,5257,127.65,2023-06-26,completed
1025,5258,,2023-06-27,completed
1026,5259,189.40,2023-06-27,completed
1027,5260,72.85,2023-06-28,completed
1028,5261,256.70,2023-06-28,completed
1029,5262,143.20,2023-06-29,cancelled
1030,5263,398.50,2023-06-29,completed
1031,5264,81.90,2023-06-30,completed
1032,5265,-75.50,2023-06-30,completed
1033,5266,229.40,2023-07-01,completed
1034,5267,164.80,2023-07-01,completed
1035,5268,95.60,2023-07-02,completed
1036,5269,417.25,2023-07-02,completed
1037,5270,138.90,2023-07-03,failed
1038,5271,276.50,2023-07-03,completed
1039,5272,104.75,2023-07-04,completed
1040,5273,321.40,2023-07-04,completed
1041,5274,,2023-07-05,completed
1042,5275,187.60,2023-07-05,completed
1043,5276,69.80,2023-07-06,completed
1044,5277,244.30,2023-07-06,completed
1045,5278,156.90,2023-07-07,completed
1046,5279,89.25,2023-07-07,cancelled
1047,5280,367.80,2023-07-08,completed
1048,5281,112.50,2023-07-08,completed
1049,5282,295.70,2023-07-09,completed
1050,5283,-40.00,2023-07-09,completed
1051,5284,178.40,2023-07-10,completed
1052,5285,223.60,2023-07-10,completed
1053,5286,91.30,2023-07-11,completed
1054,5287,334.90,2023-07-11,completed
1055,5288,147.80,2023-07-12,failed
1056,5289,268.50,2023-07-12,completed
1057,5290,119.70,2023-07-13,completed
1058,5291,386.20,2023-07-13,completed
1059,5292,76.40,2023-07-14,completed
1060,5293,,2023-07-14,completed
1061,5294,201.90,2023-07-15,completed
1062,5295,154.60,2023-07-15,completed
1063,5296,88.50,2023-07-16,cancelled
1064,5297,412.70,2023-07-16,completed
1065,5298,133.80,2023-07-17,completed
1066,5299,279.40,2023-07-17,completed
1067,5300,-60.00,2023-07-18,completed
1068,5301,196.20,2023-07-18,completed
1069,5302,241.50,2023-07-19,completed
1070,5303,107.90,2023-07-19,completed
1071,5304,356.80,2023-07-20,completed
1072,5305,128.40,2023-07-20,failed
1073,5306,283.60,2023-07-21,completed
1074,5307,165.70,2023-07-21,completed
1075,5308,94.20,2023-07-22,completed
1076,5309,429.50,2023-07-22,completed
1077,5310,,2023-07-23,completed
1078,5311,212.80,2023-07-23,completed
1079,5312,149.30,2023-07-24,completed
1080,5313,87.60,2023-07-24,completed
1081,5314,324.90,2023-07-25,cancelled
1082,5315,176.50,2023-07-25,completed
1083,5316,258.70,2023-07-26,completed
1084,5317,113.40,2023-07-26,completed
1085,5318,391.20,2023-07-27,completed
1086,5319,142.80,2023-07-27,completed
1087,5320,-35.00,2023-07-28,completed
1088,5321,287.60,2023-07-28,completed
1089,5322,168.90,2023-07-29,completed
1090,5323,96.50,2023-07-29,failed
1091,5324,434.70,2023-07-30,completed
1092,5325,121.30,2023-07-30,completed
1093,5326,305.80,2023-07-31,completed
1094,5327,183.40,2023-07-31,completed
1095,5328,73.60,2023-08-01,completed
1096,5329,249.90,2023-08-01,completed
1097,5330,,2023-08-02,completed
1098,5331,157.20,2023-08-02,completed
1099,5332,402.50,2023-08-03,completed
1100,5333,136.80,2023-08-03,cancelled
1101,5334,271.40,2023-08-04,completed
1102,5335,109.60,2023-08-04,completed
1103,5336,348.70,2023-08-05,completed
1104,5337,192.30,2023-08-05,completed
1105,5338,84.90,2023-08-06,completed
1106,5339,-45.50,2023-08-06,completed
1107,5340,263.80,2023-08-07,completed
1108,5341,145.50,2023-08-07,completed
1109,5342,378.20,2023-08-08,failed
1110,5343,118.70,2023-08-08,completed
1111,5344,296.40,2023-08-09,completed
1112,5345,172.90,2023-08-09,completed
1113,5346,91.80,2023-08-10,completed
1114,5347,419.60,2023-08-10,completed
1115,5348,,2023-08-11,completed
1116,5349,207.30,2023-08-11,completed
1117,5350,153.90,2023-08-12,completed
1118,5351,88.40,2023-08-12,cancelled
1119,5352,341.70,2023-08-13,completed
1120,5353,126.50,2023-08-13,completed
1121,5354,284.80,2023-08-14,completed
1122,5355,161.20,2023-08-14,completed
1123,5356,97.70,2023-08-15,completed
1124,5357,-55.00,2023-08-15,completed
1125,5358,423.90,2023-08-16,completed
1126,5359,139.60,2023-08-16,completed
1127,5360,301.40,2023-08-17,completed
1128,5361,178.80,2023-08-17,failed
1129,5362,82.30,2023-08-18,completed
1130,5363,254.60,2023-08-18,completed
1131,5364,147.90,2023-08-19,completed
1132,5365,387.50,2023-08-19,completed
1133,5366,,2023-08-20,completed
1134,5367,215.70,2023-08-20,completed
1135,5368,132.40,2023-08-21,completed
1136,5369,79.90,2023-08-21,cancelled
1137,5370,356.20,2023-08-22,completed
1138,5371,194.80,2023-08-22,completed
1139,5372,105.60,2023-08-23,completed
1140,5373,438.30,2023-08-23,completed
1141,5374,168.50,2023-08-24,completed
1142,5375,291.70,2023-08-24,completed
1143,5376,-70.00,2023-08-25,completed
1144,5377,124.90,2023-08-25,completed
1145,5378,367.40,2023-08-26,completed
1146,5379,185.20,2023-08-26,failed
1147,5380,93.60,2023-08-27,completed
1148,5381,412.80,2023-08-27,completed
1149,5382,151.30,2023-08-28,completed
1150,5383,276.90,2023-08-28,completed
1151,5384,112.70,2023-08-29,completed
1152,5385,344.50,2023-08-29,completed
1153,5386,,2023-08-30,completed
1154,5387,203.60,2023-08-30,completed
1155,5388,159.80,2023-08-31,completed
1156,5389,87.20,2023-08-31,cancelled
1157,5390,395.70,2023-09-01,completed
1158,5391,141.40,2023-09-01,completed
1159,5392,268.30,2023-09-02,completed
1160,5393,116.90,2023-09-02,completed
1161,5394,453.60,2023-09-03,completed
1162,5395,174.50,2023-09-03,completed
1163,5396,99.80,2023-09-04,completed
1164,5397,-80.00,2023-09-04,completed
1165,5398,312.90,2023-09-05,completed
1166,5399,188.70,2023-09-05,completed
1167,5400,135.20,2023-09-06,failed
1168,5401,371.60,2023-09-06,completed
1169,5402,108.40,2023-09-07,completed
1170,5403,247.80,2023-09-07,completed
