order_id	order_date	customer_id	amount	product_name	status
ORD10001	2024-01-15	CUST001	129.99	Wireless Mouse	completed
ORD10002	2024-01-15	CUST003	89.50	USB-C Cable	completed
ORD10003	2024-01-16	CUST001	249.99	Mechanical Keyboard	shipped
ORD10004	2024-01-16	CUST005	45.00	Phone Case	completed
ORD10005	2024-01-17	CUST002	199.99	Bluetooth Headphones	completed
ORD10006	2024-01-17	CUST007	299.99	Portable SSD 1TB	shipped
ORD10007	2024-01-18	CUST004	79.99	Laptop Stand	completed
ORD10008	2024-01-18	CUST009	159.99	Webcam HD	pending
ORD10009	2024-01-19	CUST006	399.99	Monitor 27 inch	shipped
ORD10010	2024-01-19	CUST008	54.99	HDMI Cable	completed
ORD10011	2024-01-20	CUST010	189.99	Gaming Mouse	completed
ORD10012	2024-01-20	CUST003	99.99	Mousepad RGB	shipped
ORD10013	2024-01-21	CUST012	449.99	Graphics Tablet	pending
ORD10014	2024-01-21	CUST001	29.99	Screen Cleaner Kit	completed
ORD10015	2024-01-22	CUST015	279.99	Desk Lamp LED	completed
ORD10016	2024-01-22	CUST011	349.99	Ergonomic Chair	shipped
ORD10017	2024-01-23	CUST014	119.99	Wireless Charger	completed
ORD10018	2024-01-23	CUST013	89.99	Phone Holder	completed
ORD10019	2024-01-24	CUST016	599.99	Docking Station	pending
ORD10020	2024-01-24	CUST002	74.99	Keyboard Wrist Rest	completed
ORD10021	2024-01-25	CUST018	229.99	Microphone USB	shipped
ORD10022	2024-01-25	CUST017	149.99	Laptop Bag	completed
ORD10023	2024-01-26	CUST020	99.99	External DVD Drive	completed
ORD10024	2024-01-26	CUST019	179.99	Portable Monitor	shipped
ORD10025	2024-01-27	CUST005	64.99	Cable Management Kit	completed
ORD10026	2024-01-27	CUST021	399.99	Smart Watch	pending
ORD10027	2024-01-28	CUST023	89.99	Fitness Tracker	completed
ORD10028	2024-01-28	CUST022	199.99	Wireless Earbuds	completed
ORD10029	2024-01-29	CUST024	449.99	Noise Cancelling Headphones	shipped
ORD10030	2024-01-29	CUST007	39.99	Phone Screen Protector	completed
ORD10031	2024-01-30	CUST025	259.99	Tablet 10 inch	pending
ORD10032	2024-01-30	CUST004	179.99	Smart Speaker	completed
ORD10033	2024-01-31	CUST026	89.99	Power Bank 20000mAh	completed
ORD10034	2024-01-31	CUST009	129.99	Surge Protector	shipped
ORD10035	2024-02-01	CUST028	349.99	Security Camera	completed
ORD10036	2024-02-01	CUST027	99.99	Smart Light Bulbs	completed
ORD10037	2024-02-02	CUST030	199.99	Video Doorbell	pending
ORD10038	2024-02-02	CUST029	149.99	WiFi Range Extender	shipped
ORD10039	2024-02-03	CUST006	79.99	Ethernet Cable 50ft	completed
ORD10040	2024-02-03	CUST031	299.99	Router WiFi 6	completed
ORD10041	2024-02-04	CUST033	459.99	Mesh WiFi System	pending
ORD10042	2024-02-04	CUST032	189.99	Network Switch	completed
ORD10043	2024-02-05	CUST008	119.99	UPS Battery Backup	shipped
ORD10044	2024-02-05	CUST034	69.99	Cable Tester	completed
ORD10045	2024-02-06	CUST035	229.99	Label Printer	completed
ORD10046	2024-02-06	CUST010	399.99	Scanner Document	shipped
ORD10047	2024-02-07	CUST037	549.99	Laser Printer	pending
ORD10048	2024-02-07	CUST036	89.99	Ink Cartridges	completed
ORD10049	2024-02-08	CUST012	44.99	Printer Paper Ream	completed
ORD10050	2024-02-08	CUST038	159.99	Laminator Machine	completed
ORD10051	2024-02-09	CUST040	79.99	Paper Shredder	shipped
ORD10052	2024-02-09	CUST039	199.99	Desk Organizer Set	completed
ORD10053	2024-02-10	CUST015	34.99	Stapler Heavy Duty	completed
ORD10054	2024-02-10	CUST041	129.99	Office Chair Mat	pending
ORD10055	2024-02-11	CUST042	249.99	Standing Desk Converter	completed
ORD10056	2024-02-11	CUST011	89.99	Monitor Arm Mount	shipped
ORD10057	2024-02-12	CUST044	179.99	Desk Drawer Unit	completed
ORD10058	2024-02-12	CUST043	99.99	Footrest Ergonomic	completed
ORD10059	2024-02-13	CUST045	149.99	Task Light Clamp	pending
ORD10060	2024-02-13	CUST014	59.99	Whiteboard Magnetic	completed
ORD10061	2024-02-14	CUST046	74.99	Dry Erase Markers	completed
ORD10062	2024-02-14	CUST016	189.99	Bulletin Board Cork	shipped
ORD10063	2024-02-15	CUST048	299.99	File Cabinet Metal	completed
ORD10064	2024-02-15	CUST047	119.99	Bookshelf 5-Tier	completed
ORD10065	2024-02-16	CUST013	229.99	Storage Boxes Set	pending
ORD10066	2024-02-16	CUST049	84.99	Magazine Rack	completed
ORD10067	2024-02-17	CUST050	159.99	Coat Rack Stand	shipped
ORD10068	2024-02-17	CUST018	49.99	Waste Basket	completed
ORD10069	2024-02-18	CUST017	379.99	Air Purifier Office	completed
ORD10070	2024-02-18	CUST020	99.99	Mini Fridge	pending
ORD10071	2024-02-19	CUST019	129.99	Coffee Maker Single Serve	completed
ORD10072	2024-02-19	CUST021	69.99	Electric Kettle	completed
ORD10073	2024-02-20	CUST023	54.99	Desk Fan USB	shipped
ORD10074	2024-02-20	CUST022	199.99	Space Heater Compact	completed
ORD10075	2024-02-21	CUST024	89.99	Humidifier Desktop	completed
ORD10076	2024-02-21	CUST025	449.99	Projector Portable	pending
ORD10077	2024-02-22	CUST026	79.99	Presentation Clicker	completed
ORD10078	2024-02-22	CUST028	159.99	Document Camera	shipped
ORD10079	2024-02-23	CUST027	349.99	Conference Speakerphone	completed
ORD10080	2024-02-23	CUST030	229.99	Video Conferencing Kit	completed
ORD10081	2024-02-24	CUST029	119.99	Green Screen Backdrop	pending
ORD10082	2024-02-24	CUST031	189.99	Ring Light LED	completed
ORD10083	2024-02-25	CUST033	299.99	Camera Tripod Pro	shipped
ORD10084	2024-02-25	CUST032	74.99	Microphone Stand	completed
ORD10085	2024-02-26	CUST034	199.99	Audio Interface USB	completed
ORD10086	2024-02-26	CUST035	149.99	Studio Headphones	pending
ORD10087	2024-02-27	CUST037	89.99	Pop Filter Microphone	completed
ORD10088	2024-02-27	CUST036	259.99	MIDI Keyboard	completed
ORD10089	2024-02-28	CUST038	399.99	Drawing Tablet Display	shipped
ORD10090	2024-02-28	CUST040	129.99	Stylus Pen Pro	completed
ORD10091	2024-02-29	CUST039	179.99	Graphics Pen Display	completed
ORD10092	2024-03-01	CUST041	99.99	Art Glove Drawing	pending
ORD10093	2024-03-01	CUST042	449.99	3D Mouse Professional	completed
ORD10094	2024-03-02	CUST044	189.99	Stream Deck Controller	shipped
ORD10095	2024-03-02	CUST043	349.99	Capture Card HDMI	completed
ORD10096	2024-03-03	CUST045	279.99	Lighting Kit Studio	completed
ORD10097	2024-03-03	CUST046	159.99	Backdrop Stand	pending
ORD10098	2024-03-04	CUST048	229.99	Softbox Lighting	completed
ORD10099	2024-03-04	CUST047	119.99	Reflector Kit	completed
ORD10100	2024-03-05	CUST049	89.99	Camera Bag Professional	shipped
ORD10101	2024-03-05	CUST050	199.99	Memory Card 256GB	completed
ORD10102	2024-03-06	CUST001	149.99	Card Reader Multi-Format	completed
ORD10103	2024-03-06	CUST003	74.99	Lens Cleaning Kit	pending
ORD10104	2024-03-07	CUST002	299.99	External Hard Drive 4TB	completed
ORD10105	2024-03-07	CUST005	459.99	NAS Storage 8TB	shipped
ORD10106	2024-03-08	CUST004	189.99	Backup Battery SSD	completed
ORD10107	2024-03-08	CUST007	329.99	Cloud Storage Subscription	completed
ORD10108	2024-03-09	CUST006	99.99	USB Hub 10-Port	pending
ORD10109	2024-03-09	CUST009	139.99	KVM Switch 4-Port	completed
ORD10110	2024-03-10	CUST008	249.99	Thunderbolt Dock	shipped
ORD10111	2024-03-10	CUST010	179.99	DisplayPort Cable 10ft	completed
ORD10112	2024-03-11	CUST012	89.99	Audio Splitter Cable	completed
ORD10113	2024-03-11	CUST011	119.99	Extension Cord 15ft	pending
ORD10114	2024-03-12	CUST014	399.99	Voltage Converter	completed
ORD10115	2024-03-12	CUST013	229.99	Adapter Kit Universal	completed
ORD10116	2024-03-13	CUST015	159.99	Travel Power Strip	shipped
ORD10117	2024-03-13	CUST016	79.99	Organizer Cable Sleeve	completed
ORD10118	2024-03-14	CUST018	199.99	Label Maker Portable	completed
ORD10119	2024-03-14	CUST017	349.99	Barcode Scanner Wireless	pending
