snapshot_name,creation_date,size_mb,has_keep_marker
snapshot_20240115_083000,2024-01-15,245,false
snapshot_20240115_020000,2024-01-15,178,false
snapshot_20240114_210000,2024-01-14,312,false
snapshot_20240114_120000,2024-01-14,189,true
snapshot_20240114_033000,2024-01-14,267,false
snapshot_20240113_183000,2024-01-13,198,false
snapshot_20240113_094500,2024-01-13,223,false
snapshot_20240112_153000,2024-01-12,312,false
snapshot_20240112_071500,2024-01-12,156,false
snapshot_20240111_194500,2024-01-11,289,false
snapshot_20240111_115500,2024-01-11,234,true
snapshot_20240110_223000,2024-01-10,167,false
snapshot_20240110_140000,2024-01-10,201,false
snapshot_20240109_181500,2024-01-09,276,false
snapshot_20240109_103000,2024-01-09,145,false
snapshot_20240109_025500,2024-01-09,298,false
snapshot_20240108_214500,2024-01-08,187,false
snapshot_20240108_132000,2024-01-08,256,false
snapshot_20240108_050000,2024-01-08,321,false
snapshot_20240107_193000,2024-01-07,178,false
snapshot_20240107_110000,2024-01-07,245,false
snapshot_20240106_225500,2024-01-06,203,true
snapshot_20240106_143000,2024-01-06,267,false
snapshot_20240106_061500,2024-01-06,189,false
snapshot_20240105_201500,2024-01-05,234,false
snapshot_20240105_120000,2024-01-05,298,false
snapshot_20240104_234500,2024-01-04,156,false
snapshot_20240104_152000,2024-01-04,223,false
snapshot_20240103_210000,2024-01-03,312,false
snapshot_20240103_125500,2024-01-03,178,false
snapshot_20240102_225500,2024-01-02,245,false
snapshot_20240102_141500,2024-01-02,189,true
snapshot_20240101_200000,2024-01-01,267,false
snapshot_20240101_113000,2024-01-01,234,false
snapshot_20231231_215500,2023-12-31,198,false
snapshot_20231231_130000,2023-12-31,289,false
snapshot_20231230_223000,2023-12-30,156,false
snapshot_20231230_135500,2023-12-30,312,false
snapshot_20231229_194500,2023-12-29,223,false
snapshot_20231229_111500,2023-12-29,178,false
snapshot_20231228_203000,2023-12-28,245,true
snapshot_20231228_120000,2023-12-28,201,false
snapshot_20231227_211500,2023-12-27,267,false
snapshot_20231227_124500,2023-12-27,189,false
snapshot_20231226_220000,2023-12-26,234,false
snapshot_20231226_133000,2023-12-26,298,false
snapshot_20231225_224500,2023-12-25,156,false
snapshot_20231225_141500,2023-12-25,223,false
