sensor1,sensor2,correlation
pm25_sensor,pm10_sensor,0.85
pm25_sensor,temperature,0.23
pm25_sensor,humidity,-0.31
pm25_sensor,no2_sensor,0.58
pm25_sensor,ozone_sensor,0.42
pm25_sensor,co_sensor,0.67
pm25_sensor,pressure,0.15
pm10_sensor,temperature,0.19
pm10_sensor,humidity,-0.28
pm10_sensor,no2_sensor,0.54
pm10_sensor,ozone_sensor,0.38
pm10_sensor,co_sensor,0.63
pm10_sensor,pressure,0.12
temperature,humidity,-0.45
temperature,no2_sensor,0.34
temperature,ozone_sensor,0.51
temperature,co_sensor,0.28
temperature,pressure,0.09
humidity,no2_sensor,-0.22
humidity,ozone_sensor,-0.18
humidity,co_sensor,-0.25
humidity,pressure,-0.41
no2_sensor,ozone_sensor,0.73
no2_sensor,co_sensor,0.61
no2_sensor,pressure,0.21
ozone_sensor,co_sensor,0.48
ozone_sensor,pressure,0.17
co_sensor,pressure,0.14
