timestamp,message_id,processing_time_ms,success
2024-01-15T10:00:15Z,msg_10001,72,true
2024-01-15T10:01:22Z,msg_10002,95,true
2024-01-15T10:02:45Z,msg_10003,63,true
2024-01-15T10:03:18Z,msg_10004,118,true
2024-01-15T10:04:33Z,msg_10005,84,true
2024-01-15T10:05:23Z,msg_10006,87,true
2024-01-15T10:06:47Z,msg_10007,102,true
2024-01-15T10:07:56Z,msg_10008,79,true
2024-01-15T10:08:29Z,msg_10009,134,true
2024-01-15T10:09:41Z,msg_10010,91,true
2024-01-15T10:10:53Z,msg_10011,68,true
2024-01-15T10:11:27Z,msg_10012,145,true
2024-01-15T10:12:38Z,msg_10013,76,true
2024-01-15T10:13:52Z,msg_10014,122,true
2024-01-15T10:14:19Z,msg_10015,98,true
2024-01-15T10:15:44Z,msg_10016,81,true
2024-01-15T10:16:31Z,msg_10017,109,true
2024-01-15T10:17:58Z,msg_10018,127,true
2024-01-15T10:18:26Z,msg_10019,93,true
2024-01-15T10:19:39Z,msg_10020,115,true
2024-01-15T10:20:47Z,msg_10021,88,true
2024-01-15T10:21:55Z,msg_10022,74,true
2024-01-15T10:22:28Z,msg_10023,136,true
2024-01-15T10:23:41Z,msg_10024,105,true
2024-01-15T10:24:16Z,msg_10025,92,true
2024-01-15T10:25:33Z,msg_10026,67,true
2024-01-15T10:26:49Z,msg_10027,149,true
2024-01-15T10:27:22Z,msg_10028,83,true
2024-01-15T10:28:37Z,msg_10029,111,true
2024-01-15T10:29:54Z,msg_10030,96,true
2024-01-15T10:30:18Z,msg_10031,103,true
2024-01-15T10:31:42Z,msg_10032,128,true
2024-01-15T10:32:29Z,msg_10033,85,true
2024-01-15T10:33:51Z,msg_10034,142,true
2024-01-15T10:34:26Z,msg_10035,99,true
2024-01-15T10:35:48Z,msg_10036,71,true
2024-01-15T10:36:34Z,msg_10037,124,true
2024-01-15T10:37:57Z,msg_10038,89,true
2024-01-15T10:38:23Z,msg_10039,107,true
2024-01-15T10:39:46Z,msg_10040,131,true
2024-01-15T10:40:19Z,msg_10041,94,true
2024-01-15T10:41:38Z,msg_10042,116,true
2024-01-15T10:42:52Z,msg_10043,78,true
