Record 1: 1042, ProductA, Active
Record 2: 2156, ProductB, Inactive
Record 3: 3298, ProductC, Active
Record 4: 4523, ProductD, Active
Record 5: 5671, ProductE, Pending
Record 6: 6789, ProductF, Active
Record 7: 7834, ProductG, Inactive
Record 8: 8912, ProductH, Active
Record 9: 9045, ProductI, Active
Record 10: 10234, ProductJ, Pending
Record 11: 11387, ProductK, Active
Record 12: 12456, ProductL, Inactive
Record 13: 13598, ProductM, Active
Record 14: 14672, ProductN, Active
Record 15: 15789, ProductO, Pending
