transaction_id,timestamp,customer_id,amount,status,product_id,region
1000000,2024-08-15T14:23:45,847562,2847.63,completed,PROD84756,West
1000001,2024-03-22T09:17:32,123456,156.89,pending,PROD12345,North
1000002,2024-11-08T18:45:21,654321,4532.12,failed,PROD65432,South
1000003,2024-01-29T07:55:18,789012,892.45,completed,PROD78901,East
1000004,2024-06-14T12:38:09,345678,3214.78,refunded,PROD34567,Central
1000005,2024-09-03T16:22:54,901234,567.23,completed,PROD90123,West
1000006,2024-04-17T11:09:37,456789,1823.56,pending,PROD45678,North
1000007,2024-12-25T20:14:03,234567,9456.34,completed,PROD23456,South
1000008,2024-02-08T05:47:29,890123,234.67,failed,PROD89012,East
1000009,2024-07-19T13:31:42,567890,4567.89,completed,PROD56789,Central
1000010,2024-10-11T08:26:15,678901,678.90,refunded,PROD67890,West
1000011,2024-05-28T15:19:48,123987,3456.78,pending,PROD12398,North
1000012,2024-01-14T22:05:33,456123,1234.56,completed,PROD45612,South
1000013,2024-08-07T10:52:06,789456,5678.90,failed,PROD78945,East
1000014,2024-03-31T17:44:51,234890,2345.67,completed,PROD23489,Central
1000015,2024-11-23T06:37:24,567234,789.01,refunded,PROD56723,West
1000016,2024-06-05T14:29:17,890567,4321.09,pending,PROD89056,North
1000017,2024-09-18T21:16:42,345901,8765.43,completed,PROD34590,South
1000018,2024-02-27T04:08:55,678345,987.65,failed,PROD67834,East
1000019,2024-12-09T12:01:28,901678,3210.98,completed,PROD90167,Central
1000020,2024-04-23T19:53:11,234012,6543.21,refunded,PROD23401,West
1000021,2024-07-06T03:46:04,567345,1098.76,pending,PROD56734,North
1000022,2024-10-29T11:38:37,890678,5432.10,completed,PROD89067,South
1000023,2024-01-16T18:31:20,123234,2109.87,failed,PROD12323,East
1000024,2024-05-09T02:23:53,456567,7654.32,completed,PROD45656,Central
1000025,2024-08-21T09:16:26,789890,4321.09,refunded,PROD78989,West
1000026,2024-03-04T16:08:59,234123,1987.65,pending,PROD23412,North
1000027,2024-11-17T23:01:32,567456,8765.43,completed,PROD56745,South
1000028,2024-06-30T06:54:05,890789,3456.78,failed,PROD89078,East
1000029,2024-09-12T13:46:38,345234,6789.01,completed,PROD34523,Central
1000030,2024-02-25T20:39:11,678567,2345.67,refunded,PROD67856,West
1000031,2024-12-08T04:31:44,901890,5678.90,pending,PROD90189,North
1000032,2024-04-21T11:24:17,234345,1234.56,completed,PROD23434,South
1000033,2024-07-14T18:16:50,567678,4567.89,failed,PROD56767,East
1000034,2024-10-27T01:09:23,890901,9876.54,completed,PROD89090,Central
1000035,2024-01-09T08:01:56,123456,3210.98,refunded,PROD12345,West
1000036,2024-05-23T14:54:29,456789,7654.32,pending,PROD45678,North
1000037,2024-08-05T21:47:02,789012,2109.87,completed,PROD78901,South
1000038,2024-03-19T05:39:35,234567,6543.21,failed,PROD23456,East
1000039,2024-11-01T12:32:08,567890,1098.76,completed,PROD56789,Central
1000040,2024-06-14T19:24:41,890123,5432.10,refunded,PROD89012,West
1000041,2024-09-27T02:17:14,345678,8765.43,pending,PROD34567,North
1000042,2024-02-09T09:09:47,678901,3456.78,completed,PROD67890,South
1000043,2024-12-22T16:02:20,901234,6789.01,failed,PROD90123,East
1000044,2024-04-05T22:54:53,234890,2345.67,completed,PROD23489,Central
1000045,2024-07-19T06:47:26,567234,5678.90,refunded,PROD56723,West
1000046,2024-10-01T13:39:59,890567,1234.56,pending,PROD89056,North
1000047,2024-01-24T20:32:32,123987,4567.89,completed,PROD12398,South
1000048,2024-05-07T03:25:05,456123,9876.54,failed,PROD45612,East
1000049,2024-08-20T10:17:38,789456,3210.98,completed,PROD78945,Central
1000050,2024-03-03T17:10:11,234123,7654.32,refunded,PROD23412,West
1000051,2024-11-16T00:02:44,567345,2109.87,pending,PROD56734,North
1000052,2024-06-28T07:55:17,890678,6543.21,completed,PROD89067,South
1000053,2024-09-10T14:47:50,345901,1098.76,failed,PROD34590,East
1000054,2024-02-22T21:40:23,678345,5432.10,completed,PROD67834,Central
1000055,2024-12-05T05:32:56,901678,8765.43,refunded,PROD90167,West
1000056,2024-04-18T12:25:29,234012,3456.78,pending,PROD23401,North
1000057,2024-07-31T19:18:02,567456,6789.01,completed,PROD56745,South
1000058,2024-10-13T02:10:35,890789,2345.67,failed,PROD89078,East
1000059,2024-01-26T09:03:08,123234,5678.90,completed,PROD12323,Central
1000060,2024-05-19T15:55:41,456567,1234.56,refunded,PROD45656,West
1000061,2024-08-01T22:48:14,789890,4567.89,pending,PROD78989,North
1000062,2024-03-15T06:40:47,234345,9876.54,completed,PROD23434,South
1000063,2024-11-27T13:33:20,567678,3210.98,failed,PROD56767,East
1000064,2024-06-09T20:25:53,890901,7654.32,completed,PROD89090,Central
1000065,2024-09-22T03:18:26,345234,2109.87,refunded,PROD34523,West
1000066,2024-02-04T10:10:59,678567,6543.21,pending,PROD67856,North
1000067,2024-12-17T17:03:32,901890,1098.76,completed,PROD90189,South
1000068,2024-04-30T23:56:05,234456,5432.10,failed,PROD23445,East
1000069,2024-07-13T07:48:38,567789,8765.43,completed,PROD56778,Central
1000070,2024-10-25T14:41:11,890012,3456.78,refunded,PROD89001,West
1000071,2024-01-07T21:33:44,123345,6789.01,pending,PROD12334,North
1000072,2024-05-21T05:26:17,456678,2345.67,completed,PROD45667,South
1000073,2024-08-03T12:18:50,789901,5678.90,failed,PROD78990,East
1000074,2024-03-17T19:11:23,234234,1234.56,completed,PROD23423,Central
1000075,2024-11-29T02:03:56,567567,4567.89,refunded,PROD56756,West
1000076,2024-06-11T08:56:29,890890,9876.54,pending,PROD89089,North
1000077,2024-09-24T15:49:02,345567,3210.98,completed,PROD34556,South
1000078,2024-02-06T22:41:35,678890,7654.32,failed,PROD67889,East
1000079,2024-12-19T06:34:08,901123,2109.87,completed,PROD90112,Central
1000080,2024-04-02T13:26:41,234678,6543.21,refunded,PROD23467,West
1000081,2024-07-15T20:19:14,567901,1098.76,pending,PROD56790,North
1000082,2024-10-28T03:11:47,890234,5432.10,completed,PROD89023,South
1000083,2024-01-20T10:04:20,123678,8765.43,failed,PROD12367,East
1000084,2024-05-03T16:56:53,456901,3456.78,completed,PROD45690,Central
1000085,2024-08-16T23:49:26,789234,6789.01,refunded,PROD78923,West
1000086,2024-03-29T07:41:59,234789,2345.67,pending,PROD23478,North
1000087,2024-11-11T14:34:32,567012,5678.90,completed,PROD56701,South
1000088,2024-06-24T21:27:05,890345,1234.56,failed,PROD89034,East
1000089,2024-09-06T05:19:38,345890,4567.89,completed,PROD34589,Central
1000090,2024-02-18T12:12:11,678123,9876.54,refunded,PROD67812,West
1000091,2024-12-01T19:04:44,901456,3210.98,pending,PROD90145,North
1000092,2024-04-14T02:57:17,234901,7654.32,completed,PROD23490,South
1000093,2024-07-27T09:49:50,567234,2109.87,failed,PROD56723,East
1000094,2024-10-09T16:42:23,890567,6543.21,completed,PROD89056,Central
1000095,2024-01-22T23:34:56,123890,1098.76,refunded,PROD12389,West
1000096,2024-05-05T07:27:29,456123,5432.10,pending,PROD45612,North
1000097,2024-08-18T14:20:02,789456,8765.43,completed,PROD78945,South
1000098,2024-03-02T21:12:35,234567,3456.78,failed,PROD23456,East
1000099,2024-11-14T05:05:08,567890,6789.01,completed,PROD56789,Central
