timestamp,station_id,temp_celsius,humidity_percent
2023-01-01T00:00:00,1,15.2,78.3
2023-01-01T00:05:00,2,18.7,65.4
2023-01-01T00:10:00,3,22.1,58.9
2023-01-01T00:15:00,4,12.3,82.1
2023-01-01T00:20:00,5,25.4,52.3
2023-01-01T00:25:00,6,8.9,88.7
2023-01-01T00:30:00,7,31.2,38.5
2023-01-01T00:35:00,8,19.5,68.2
2023-01-01T00:40:00,9,14.8,75.6
2023-01-01T00:45:00,10,27.3,45.9
2023-01-01T00:50:00,11,10.5,85.4
2023-01-01T00:55:00,12,33.6,32.1
2023-01-01T01:00:00,13,16.9,72.8
2023-01-01T01:05:00,14,21.4,61.5
2023-01-01T01:10:00,15,13.7,79.3
2023-01-01T01:15:00,16,28.9,43.7
2023-01-01T01:20:00,17,9.2,87.2
2023-01-01T01:25:00,18,24.6,54.8
2023-01-01T01:30:00,19,17.8,69.5
2023-01-01T01:35:00,20,30.5,39.2
2023-01-01T01:40:00,21,11.8,83.6
2023-01-01T01:45:00,22,26.2,48.3
2023-01-01T01:50:00,23,15.5,76.9
2023-01-01T01:55:00,24,20.3,63.7
2023-01-01T02:00:00,25,32.8,35.4
2023-01-01T02:05:00,26,14.1,77.8
2023-01-01T02:10:00,27,23.7,56.2
2023-01-01T02:15:00,28,18.2,67.4
2023-01-01T02:20:00,29,29.4,41.6
2023-01-01T02:25:00,30,12.6,81.5
2023-01-01T02:30:00,31,25.9,50.7
2023-01-01T02:35:00,32,16.3,73.2
2023-01-01T02:40:00,33,21.8,60.4
2023-01-01T02:45:00,34,34.2,30.8
2023-01-01T02:50:00,35,13.4,78.6
2023-01-01T02:55:00,36,27.6,46.1
2023-01-01T03:00:00,37,19.1,66.8
2023-01-01T03:05:00,38,15.7,74.5
2023-01-01T03:10:00,39,28.3,44.3
2023-01-01T03:15:00,40,11.2,84.9
2023-01-01T03:20:00,41,24.1,55.6
2023-01-01T03:25:00,42,17.4,70.1
2023-01-01T03:30:00,43,31.7,37.9
2023-01-01T03:35:00,44,14.6,76.3
2023-01-01T03:40:00,45,22.9,58.2
2023-01-01T03:45:00,46,26.8,47.5
2023-01-01T03:50:00,47,10.8,86.1
2023-01-01T03:55:00,48,33.1,33.6
2023-01-01T04:00:00,49,18.5,68.9
2023-01-01T04:05:00,50,20.7,62.3
2023-01-01T04:10:00,1,16.8,71.4
2023-01-01T04:15:00,2,29.6,40.8
2023-01-01T04:20:00,3,12.9,80.2
2023-01-01T04:25:00,4,25.3,53.1
2023-01-01T04:30:00,5,19.8,65.7
2023-01-01T04:35:00,6,32.4,36.2
2023-01-01T04:40:00,7,15.1,75.8
2023-01-01T04:45:00,8,23.5,57.4
