order_id,customer_id,order_date,product_category,amount,region
ORD100001,CUST20001,2022-03-10,Electronics,599.99,North
ORD100002,CUST20002,2022-03-15,Clothing,89.50,South
ORD100003,CUST20003,2022-03-20,Home & Garden,234.75,East
ORD100004,CUST20004,2022-03-25,Books,45.99,West
ORD100005,CUST20005,2022-04-05,Sports,156.80,North
ORD100006,CUST20006,2022-04-12,Electronics,899.99,South
ORD100007,CUST20007,2022-04-18,Toys,67.50,East
ORD100008,CUST20008,2022-04-25,Clothing,125.00,West
ORD100009,CUST20009,2022-05-03,Home & Garden,345.60,North
ORD100010,CUST20010,22-05-2023,Electronics,450.00,South
ORD100011,CUST20011,2022-05-15,Books,38.75,East
ORD100012,CUST20012,2022-05-22,Sports,289.99,West
ORD100013,CUST20013,2022-06-01,Electronics,1199.99,North
ORD100014,CUST20014,2022-06-08,Clothing,95.50,South
ORD100015,CUST20015,2022-06-14,Toys,54.25,East
ORD100016,CUST20016,2022-06-20,Home & Garden,278.40,West
ORD100017,CUST20017,2022-07-02,Electronics,699.99,North
ORD100018,CUST20018,2022-07-10,Books,52.30,South
ORD100019,CUST20019,2022-07-18,Sports,187.65,East
ORD100020,CUST20020,2022-07-25,Clothing,112.80,West
ORD100021,CUST20021,2022-08-05,Electronics,825.50,North
ORD100022,CUST20022,2022-08-12,Home & Garden,456.90,South
ORD100023,CUST20023,2022-08-19,Toys,73.25,East
ORD100024,CUST20024,2022-08-26,Books,41.60,West
ORD100025,CUST20025,2022-09-03,Sports,298.75,North
ORD100026,CUST20026,2022-09-10,Electronics,1050.00,South
ORD100027,CUST20027,2022-09-17,Clothing,134.50,East
ORD100028,CUST20028,2022-09-24,Home & Garden,367.80,West
ORD100029,CUST20029,2022-10-01,Electronics,749.99,North
ORD100030,CUST20030,2022-10-08,Toys,89.90,South
ORD100031,CUST20031,2022-10-15,Books,47.25,East
ORD100032,CUST20032,2022-10-22,Sports,213.40,West
ORD100033,CUST20033,2022-11-02,Electronics,925.00,North
ORD100034,CUST20034,2022-11-09,Clothing,156.75,South
ORD100035,CUST20035,2022-11-16,Home & Garden,489.50,East
ORD100036,CUST20036,2022-11-23,Toys,62.80,West
ORD100037,CUST20037,2022-12-01,Electronics,1299.99,North
ORD100038,CUST20038,2022-12-08,Books,55.40,South
ORD100039,CUST20039,2022-12-15,Sports,324.60,East
ORD100040,CUST20040,2022-12-22,Clothing,178.90,West
ORD100041,CUST20041,2023-01-05,Electronics,675.50,North
ORD100042,CUST20042,2023-01-12,Home & Garden,398.75,South
ORD100043,CUST20043,2023-01-19,Toys,81.30,East
ORD100044,CUST20044,2023-01-26,Books,43.90,West
ORD100045,CUST20045,2023-02-03,Sports,267.80,North
ORD100046,CUST20046,2023-02-10,Electronics,850.00,South
ORD100047,CUST20047,2023-02-17,Clothing,145.60,East
ORD100048,CUST20048,2023-02-24,Home & Garden,423.50,West
ORD100049,CUST20049,2023-03-03,Electronics,789.99,North
ORD100050,CUST20050,2023-03-10,Toys,95.75,South
ORD100051,CUST20051,2023-03-17,Books,38.50,East
ORD100052,CUST20052,2023-03-24,Sports,245.30,West
ORD100053,CUST20053,2023-04-02,Electronics,975.00,North
ORD100054,CUST20054,2023-04-09,Clothing,167.80,South
ORD100055,CUST20055,2023-04-16,Home & Garden,512.40,East
ORD100056,CUST20056,2023-04-23,Toys,71.90,West
ORD100057,CUST20057,2023-05-01,Electronics,1125.50,North
ORD100058,CUST20058,2023-05-08,Books,49.75,South
ORD100059,CUST20059,2023-05-15,Sports,356.90,East
ORD100060,CUST20060,2023-05-22,Clothing,189.60,West
ORD100061,CUST20061,2023-06-02,Electronics,725.00,North
ORD100062,CUST20062,2023-06-09,Home & Garden,445.80,South
ORD100063,CUST20063,2023-06-16,Toys,86.40,East
ORD100064,CUST20064,2023-06-23,Books,52.30,West
ORD100065,CUST20065,2023-07-01,Sports,298.50,North
ORD100066,CUST20066,2023-07-08,Electronics,895.75,South
ORD100067,CUST20067,2023-07-15,Clothing,156.90,East
ORD100068,CUST20068,2023-07-22,Home & Garden,478.60,West
ORD100069,CUST20069,2023-08-03,Electronics,825.00,North
ORD100070,CUST20070,2023-08-10,Toys,93.50,South
ORD100071,CUST20071,2023-08-17,Books,45.80,East
ORD100072,CUST20072,2023-08-24,Sports,278.90,West
ORD100073,CUST20073,2023-09-02,Electronics,1075.50,North
ORD100074,CUST20074,2023-09-09,Clothing,198.75,South
ORD100075,CUST20075,2023-09-16,Home & Garden,534.20,East
ORD100076,CUST20076,2023-09-23,Toys,79.60,West
ORD100077,CUST20077,2023-10-05,Electronics,950.00,North
ORD100078,CUST20078,2023-10-12,Books,-50.00,South
ORD100079,CUST20079,2023-10-19,Sports,389.40,East
ORD100080,CUST20080,2023-11-15,Clothing,212.50,North@#$
