order_id,customer_id,order_date,product_category,amount,region
ORD000001,CUST10001,2022-01-05,Electronics,299.99,North
ORD000002,CUST10002,2022-01-15,Clothing,89.50,South
ORD000003,CUST10003,2022-01-22,Home & Garden,156.75,East
ORD000004,CUST10004,2022-01-28,Books,45.99,West
ORD000005,CUST10005,2022-02-03,Electronics,599.99,North
ORD000006,CUST10006,2022-02-14,Sports,125.00,South
ORD000007,CUST10007,2022-02-20,Toys,67.50,East
ORD000008,CUST10008,2022-03-05,Clothing,199.99,West
ORD000009,CUST10009,2022-03-12,Electronics,449.00,North
ORD000010,CUST10010,2022-03-25,Home & Garden,234.50,South
ORD000011,CUST10011,2022-04-08,Books,29.99,East
ORD000012,CUST10012,2022-04-18,Sports,189.75,West
ORD000013,CUST10013,2022-04-25,Toys,55.25,North
ORD000014,CUST10014,2022-05-02,Electronics,799.99,South
ORD000015,CUST10015,2022-05-15,Clothing,145.00,East
ORD000016,CUST10016,2022-05-28,Home & Garden,312.50,West
ORD000017,CUST10017,2022-06-05,Books,38.99,North
ORD000018,CUST10018,2022-06-14,Sports,275.00,South
ORD000019,CUST10019,2022-06-22,Toys,89.99,East
ORD000020,CUST10020,2022-07-01,Electronics,529.00,West
ORD000021,CUST10021,2022-07-10,Clothing,167.50,North
ORD000022,CUST10022,2022-07-20,Home & Garden,445.75,South
ORD000023,CUST10023,2022-08-03,Books,52.99,East
ORD000024,CUST10024,2022-08-15,Sports,198.00,West
ORD000025,CUST10025,2022-08-28,Toys,76.50,North
ORD000026,CUST10026,2022-09-05,Electronics,899.99,South
ORD000027,CUST10027,2022-09-18,Clothing,234.00,East
ORD000028,CUST10028,2022-09-25,Home & Garden,178.50,West
ORD000029,CUST10029,2022-10-08,Books,41.99,North
ORD000030,CUST10030,2022-10-15,Sports,312.75,South
ORD000031,CUST10031,2022-10-22,Toys,94.25,East
ORD000032,CUST10032,2022-11-02,Electronics,675.00,West
ORD000033,CUST10033,2022-11-12,Clothing,189.99,North
ORD000034,CUST10034,2022-11-25,Home & Garden,267.50,South
ORD000035,CUST10035,2022-12-05,Books,33.50,East
ORD000036,CUST10036,2022-12-15,Sports,425.00,West
ORD000037,CUST10037,2022-12-28,Toys,118.75,North
ORD000038,CUST10038,2023-01-08,Electronics,549.99,South
ORD000039,CUST10039,2023-01-18,Clothing,156.00,East
ORD000040,CUST10040,2023-01-25,Home & Garden,389.99,West
ORD000041,CUST10041,2023-02-05,Books,27.99,North
ORD000042,CUST10042,2023-02-14,Sports,245.50,South
ORD000043,CUST10043,2023-02-22,Toys,82.00,East
ORD000044,CUST10044,2023-03-03,Electronics,729.99,West
ORD000045,CUST10045,2023-03-15,Clothing,198.50,North
ORD000046,CUST10046,2023-03-28,Home & Garden,423.75,South
ORD000047,CUST10047,2023-04-05,Books,48.99,East
ORD000048,CUST10048,2023-04-18,Sports,334.00,West
ORD000049,CUST10049,2023-04-25,Toys,105.50,North
ORD000050,CUST10050,2023-05-08,Electronics,649.00,South
ORD000051,CUST10051,2023-05-15,Clothing,213.99,East
ORD000052,CUST10052,2023-05-28,Home & Garden,356.25,West
ORD000053,CUST10053,2023-06-02,Books,35.75,North
ORD000054,CUST10054,2023-06-14,Sports,289.50,South
ORD000055,CUST10055,2023-06-25,Toys,91.00,East
ORD000056,CUST10056,2023-07-05,Electronics,579.99,West
ORD000057,CUST10057,2023-07-18,Clothing,178.00,North
ORD000058,CUST10058,2023-07-28,Home & Garden,467.50,South
ORD000059,CUST10059,2023-08-08,Books,44.50,East
ORD000060,CUST10060,2023-08-15,Sports,378.75,West
ORD000061,CUST10061,2023-08-25,Toys,127.99,North
ORD000062,CUST10062,2023-09-05,Electronics,849.00,South
ORD000063,CUST10063,2023-09-18,Clothing,256.50,East
ORD000064,CUST10064,2023-09-28,Home & Garden,512.75,West
ORD000065,CUST10065,2023-10-08,Books,39.99,North
ORD000066,CUST10066,2023-10-18,Sports,412.00,South
ORD000067,CUST10067,2023-10-25,Toys,98.50,East
ORD000068,CUST10068,2023-11-05,Electronics,699.99,West
ORD000069,CUST10069,2023-11-15,Clothing,223.00,North
ORD000070,CUST10070,2023-11-28,Home & Garden,389.25,South
ORD000071,CUST10071,2023-12-05,Books,31.99,East
ORD000072,CUST10072,2023-12-15,Sports,456.50,West
ORD000073,CUST10073,2023-12-28,Toys,134.75,North
ORD000074,CUST10074,,Electronics,559.00,South
ORD000075,CUST10075,2023/13/45,Clothing,187.99,East
ORD000076,CUST10076,2023-11-22,Home & Garden,,West
ORD000078,CUST10078,2023-09-12,Sports,298.75,North
ORD000079,CUST10079,2023-08-20,Toys,115.00,South
