wage,education,age
15.0,10,22
15.0,9,19
15.0,11,24
15.0,12,20
32.5,14,28
15.0,10,23
45.2,16,35
15.0,8,21
28.3,13,26
15.0,11,25
52.8,17,42
15.0,9,18
38.4,15,31
15.0,12,27
62.3,18,48
15.0,10,19
25.6,13,29
15.0,11,22
48.7,16,38
15.0,8,20
35.9,14,30
15.0,12,24
58.4,17,45
15.0,9,21
42.1,15,33
15.0,10,26
68.5,19,52
15.0,11,23
31.2,14,27
15.0,8,18
55.3,17,41
15.0,12,25
44.8,16,36
15.0,9,22
39.7,15,32
15.0,10,20
72.4,20,55
15.0,11,24
29.8,13,28
15.0,12,21
50.6,16,39
15.0,8,19
36.5,14,31
15.0,9,23
61.2,18,47
15.0,10,25
26.4,13,26
15.0,11,20
47.9,16,37
15.0,12,22
65.8,19,50
15.0,8,21
33.7,14,29
15.0,9,24
54.1,17,43
15.0,10,18
41.3,15,34
15.0,11,26
70.2,20,54
15.0,12,23
30.5,13,27
15.0,8,22
57.6,17,44
15.0,9,19
43.2,15,35
15.0,10,21
67.9,19,51
15.0,11,25
27.8,13,25
15.0,12,20
49.4,16,40
15.0,8,24
37.6,14,32
15.0,9,18
63.5,18,49
15.0,10,22
24.9,12,28
15.0,11,21
53.7,17,42
15.0,8,23
40.8,15,33
15.0,12,19
71.6,20,56
15.0,9,20
34.2,14,30
15.0,10,24
59.8,18,46
15.0,11,22
28.7,13,29
15.0,8,25
46.5,16,38
15.0,12,26
66.3,19,53
15.0,9,21
32.1,14,28
15.0,10,23
56.9,17,44
15.0,11,19
42.7,15,36
15.0,8,20
73.8,20,58
15.0,12,24
29.3,13,26
15.0,9,22
51.2,16,41
15.0,10,25
38.9,14,31
15.0,11,18
64.7,18,50
15.0,8,21
26.8,12,27
15.0,12,23
48.3,16,39
15.0,9,19
35.4,14,29
15.0,10,20
60.5,17,46
15.0,11,24
31.7,13,28
15.0,8,22
55.8,17,43
15.0,12,21
44.1,15,35
15.0,9,25
69.4,19,52
15.0,10,26
27.2,13,25
15.0,11,23
52.3,16,40
15.0,8,19
39.2,14,32
15.0,12,22
75.6,20,60
15.0,9,24
33.8,14,30
15.0,10,18
58.7,17,45
15.0,11,20
41.9,15,34
15.0,8,21
67.1,19,51
15.0,12,25
30.1,13,27
15.0,9,23
49.8,16,38
15.0,10,19
36.7,14,31
15.0,11,22
62.9,18,48
15.0,8,24
25.3,12,26
15.0,12,20
54.6,17,42
15.0,9,18
43.5,15,36
15.0,10,21
71.2,20,55
15.0,11,25
28.9,13,28
15.0,8,23
57.1,17,44
15.0,12,24
40.4,14,33
15.0,9,22
65.5,18,49
15.0,10,26
32.6,14,29
15.0,11,19
53.2,16,41
15.0,8,20
45.7,15,37
15.0,12,21
74.3,20,57
15.0,9,25
29.6,13,26
15.0,10,24
50.9,16,39
15.0,11,23
37.8,14,30
15.0,8,22
61.8,18,47
15.0,12,18
26.1,12,25
15.0,9,20
47.4,16,38
15.0,10,22
34.9,14,31
15.0,11,21
59.2,17,45
