topic_name,partition,segment_id,size_mb,created_timestamp,age_days
user-events,0,1001,1850,1733520000000,8
user-events,0,1002,1920,1733260800000,11
user-events,1,1003,1780,1733692800000,5
user-events,1,1004,1650,1733433600000,8
user-events,2,1005,1890,1733779200000,4
user-events,2,1006,1710,1733520000000,8
user-events,3,1007,1620,1733347200000,10
user-events,4,1008,1740,1733606400000,7
analytics-raw,0,2001,2150,1733865600000,2
analytics-raw,0,2002,2280,1733606400000,7
analytics-raw,0,2003,2100,1733347200000,10
analytics-raw,1,2004,2340,1733779200000,4
analytics-raw,1,2005,2190,1733520000000,8
analytics-raw,2,2006,2220,1733692800000,5
analytics-raw,2,2007,2080,1733433600000,8
analytics-raw,3,2008,2170,1733260800000,11
analytics-raw,4,2009,2050,1733174400000,13
payment-transactions,0,3001,890,1733952000000,1
payment-transactions,0,3002,920,1733779200000,4
payment-transactions,1,3003,850,1733692800000,5
payment-transactions,1,3004,880,1733606400000,7
payment-transactions,2,3005,910,1733520000000,8
payment-transactions,3,3006,870,1733433600000,8
clickstream-data,0,4001,1950,1733865600000,2
clickstream-data,0,4002,2100,1733606400000,7
clickstream-data,0,4003,1980,1733347200000,10
clickstream-data,1,4004,2050,1733779200000,4
clickstream-data,1,4005,1890,1733520000000,8
clickstream-data,2,4006,2020,1733692800000,5
clickstream-data,2,4007,1850,1733433600000,8
clickstream-data,3,4008,1920,1733260800000,11
clickstream-data,4,4009,1780,1733088000000,14
application-logs,0,5001,1620,1733952000000,1
application-logs,0,5002,1580,1733779200000,4
application-logs,0,5003,1540,1733606400000,7
application-logs,1,5004,1590,1733865600000,2
application-logs,1,5005,1610,1733692800000,5
application-logs,2,5006,1570,1733520000000,8
application-logs,2,5007,1520,1733347200000,10
application-logs,3,5008,1600,1733260800000,11
metrics-collection,0,6001,780,1733952000000,1
metrics-collection,0,6002,820,1733865600000,2
metrics-collection,1,6003,760,1733779200000,4
metrics-collection,1,6004,800,1733692800000,5
metrics-collection,2,6005,790,1733606400000,7
metrics-collection,3,6006,770,1733520000000,8
archive-compliance-logs,0,7001,1450,1733952000000,1
archive-compliance-logs,0,7002,1380,1733865600000,2
archive-compliance-logs,0,7003,1420,1733779200000,4
archive-compliance-logs,0,7004,1390,1733692800000,5
archive-compliance-logs,1,7005,1460,1733606400000,7
archive-compliance-logs,1,7006,1410,1733520000000,8
archive-compliance-logs,1,7007,1370,1733433600000,8
archive-compliance-logs,2,7008,1440,1733347200000,10
archive-compliance-logs,2,7009,1400,1733260800000,11
archive-compliance-logs,3,7010,1430,1733174400000,13
session-tracking,0,8001,1120,1733952000000,1
session-tracking,0,8002,1180,1733865600000,2
session-tracking,0,8003,1090,1733779200000,4
session-tracking,1,8004,1140,1733692800000,5
session-tracking,1,8005,1160,1733606400000,7
session-tracking,2,8006,1110,1733520000000,8
session-tracking,2,8007,1070,1733433600000,8
session-tracking,3,8008,1150,1733347200000,10
error-events,0,9001,650,1733952000000,1
error-events,0,9002,680,1733865600000,2
error-events,1,9003,620,1733779200000,4
error-events,1,9004,670,1733692800000,5
error-events,2,9005,640,1733606400000,7
error-events,3,9006,660,1733520000000,8
archive-financial-records,0,10001,1580,1733952000000,1
archive-financial-records,0,10002,1620,1733865600000,2
archive-financial-records,0,10003,1550,1733779200000,4
archive-financial-records,1,10004,1590,1733692800000,5
archive-financial-records,1,10005,1610,1733606400000,7
archive-financial-records,2,10006,1570,1733520000000,8
archive-financial-records,2,10007,1540,1733433600000,8
archive-financial-records,3,10008,1600,1733347200000,10
notification-queue,0,11001,920,1733952000000,1
notification-queue,0,11002,880,1733865600000,2
notification-queue,1,11003,950,1733779200000,4
notification-queue,1,11004,890,1733692800000,5
notification-queue,2,11005,910,1733606400000,7
notification-queue,3,11006,870,1733520000000,8
api-requests,0,12001,1720,1733952000000,1
api-requests,0,12002,1680,1733865600000,2
api-requests,0,12003,1750,1733779200000,4
api-requests,1,12004,1690,1733692800000,5
api-requests,1,12005,1710,1733606400000,7
api-requests,2,12006,1730,1733520000000,8
api-requests,2,12007,1660,1733433600000,8
api-requests,3,12008,1700,1733347200000,10
system-diagnostics,0,13001,1050,1733952000000,1
system-diagnostics,0,13002,1080,1733865600000,2
system-diagnostics,1,13003,1020,1733779200000,4
system-diagnostics,1,13004,1070,1733692800000,5
system-diagnostics,2,13005,1040,1733606400000,7
system-diagnostics,2,13006,1010,1733520000000,8
system-diagnostics,3,13007,1060,1733433600000,8
audit-trail,0,14001,740,1733952000000,1
audit-trail,0,14002,780,1733865600000,2
audit-trail,1,14003,720,1733779200000,4
audit-trail,1,14004,760,1733692800000,5
audit-trail,2,14005,750,1733606400000,7
audit-trail,3,14006,730,1733520000000,8
customer-feedback,0,15001,580,1733952000000,1
customer-feedback,0,15002,620,1733865600000,2
customer-feedback,1,15003,560,1733779200000,4
customer-feedback,1,15004,600,1733692800000,5
customer-feedback,2,15005,590,1733606400000,7
customer-feedback,3,15006,570,1733520000000,8
user-events,5,1009,1820,1732915200000,17
user-events,6,1010,1760,1732656000000,20
