2024-01-15 08:15:32 [STATUS] Snapshot snap-0a1b2c3d4e for vol-0a1b2c3d4e: 15% complete | Elapsed: 45 seconds | Status: in-progress
2024-01-15 08:16:02 [STATUS] Snapshot snap-0a1b2c3d4e for vol-0a1b2c3d4e: 32% complete | Elapsed: 75 seconds | Status: in-progress
2024-01-15 08:16:32 [STATUS] Snapshot snap-0a1b2c3d4e for vol-0a1b2c3d4e: 58% complete | Elapsed: 105 seconds | Status: in-progress
2024-01-15 08:17:02 [STATUS] Snapshot snap-0a1b2c3d4e for vol-0a1b2c3d4e: 85% complete | Elapsed: 135 seconds | Status: in-progress
2024-01-15 08:17:32 [STATUS] Snapshot snap-0a1b2c3d4e for vol-0a1b2c3d4e: 100% complete | Elapsed: 165 seconds | Status: completed
2024-01-15 08:20:15 [STATUS] Snapshot snap-1f2e3d4c5b for vol-1f2e3d4c5b: 8% complete | Elapsed: 60 seconds | Status: in-progress
2024-01-15 08:20:45 [STATUS] Snapshot snap-1f2e3d4c5b for vol-1f2e3d4c5b: 12% complete | Elapsed: 90 seconds | Status: in-progress
2024-01-15 08:21:15 [STATUS] Snapshot snap-1f2e3d4c5b for vol-1f2e3d4c5b: 18% complete | Elapsed: 120 seconds | Status: in-progress
2024-01-15 08:21:45 [STATUS] Snapshot snap-1f2e3d4c5b for vol-1f2e3d4c5b: 25% complete | Elapsed: 150 seconds | Status: in-progress
2024-01-15 08:22:15 [STATUS] Snapshot snap-1f2e3d4c5b for vol-1f2e3d4c5b: 32% complete | Elapsed: 180 seconds | Status: in-progress
2024-01-15 08:22:45 [STATUS] Snapshot snap-1f2e3d4c5b for vol-1f2e3d4c5b: 38% complete | Elapsed: 210 seconds | Status: in-progress
2024-01-15 08:23:15 [STATUS] Snapshot snap-1f2e3d4c5b for vol-1f2e3d4c5b: 45% complete | Elapsed: 240 seconds | Status: in-progress
