transaction_id,timestamp,customer_id,country_code,product_sku,category,payment_method,status,amount,currency
TXN_000001,2024-01-15 14:23:45,45678,US,SKU-ELEC-001,Electronics,credit_card,completed,299.99,USD
TXN_000002,2024-01-15 14:25:12,23456,UK,SKU-FASH-042,Fashion,paypal,completed,89.50,GBP
TXN_000003,2024-01-15 14:27:33,67890,CA,SKU-HOME-123,Home,debit_card,pending,156.75,CAD
TXN_000004,2024-01-15 14:30:21,12345,DE,SKU-ELEC-015,Electronics,credit_card,completed,449.99,EUR
TXN_000005,2024-01-15 14:32:44,78901,FR,SKU-BEAU-008,Beauty,apple_pay,completed,67.25,EUR
TXN_000006,2024-01-15 14:35:18,34567,IT,SKU-SPOR-021,Sports,credit_card,failed,125.00,EUR
TXN_000007,2024-01-15 14:38:52,89012,ES,SKU-BOOK-005,Books,paypal,completed,34.99,EUR
TXN_000008,2024-01-15 14:41:07,45123,AU,SKU-TOYS-014,Toys,google_pay,completed,78.50,AUD
TXN_000009,2024-01-15 14:43:29,56789,JP,SKU-GARD-009,Garden,credit_card,completed,18500.00,JPY
TXN_000010,2024-01-15 14:46:15,90123,BR,SKU-AUTO-031,Automotive,bank_transfer,pending,850.00,BRL
TXN_000011,2024-01-15 14:48:33,23890,MX,SKU-GROC-017,Grocery,debit_card,completed,245.50,MXN
TXN_000012,2024-01-15 14:51:22,67234,IN,SKU-HEAL-012,Health,credit_card,completed,3250.75,INR
TXN_000013,2024-01-15 14:53:45,34789,CN,SKU-PET-006,Pet,paypal,refunded,420.00,CNY
TXN_000014,2024-01-15 14:56:11,78456,KR,SKU-OFFI-022,Office,apple_pay,completed,156000.00,JPY
TXN_000015,2024-01-15 14:58:37,12678,SG,SKU-MUSI-003,Music,credit_card,completed,45.99,USD
TXN_000016,2024-01-15 15:01:22,56234,NL,SKU-MOVI-011,Movies,google_pay,completed,28.75,EUR
TXN_000017,2024-01-15 15:03:44,89567,BE,SKU-BABY-019,Baby,debit_card,completed,112.50,EUR
TXN_000018,2024-01-15 15:06:18,23901,SE,SKU-JEWE-007,Jewelry,credit_card,cancelled,675.00,EUR
TXN_000019,2024-01-15 15:08:52,45834,NO,SKU-INDU-025,Industrial,bank_transfer,completed,999.99,EUR
TXN_000020,2024-01-15 15:11:29,67901,DK,SKU-ART-004,Art,paypal,completed,234.50,EUR
TXN_000021,2024-01-15 15:14:05,90234,FI,SKU-TOOL-016,Tools,credit_card,completed,189.99,EUR
TXN_000022,2024-01-15 15:16:37,12456,PL,SKU-ELEC-002,Electronics,debit_card,pending,567.25,EUR
TXN_000023,2024-01-15 15:19:14,34512,AT,SKU-FASH-043,Fashion,apple_pay,completed,145.00,EUR
TXN_000024,2024-01-15 15:21:48,56890,CH,SKU-HOME-124,Home,credit_card,completed,389.75,EUR
TXN_000025,2024-01-15 15:24:22,78123,IE,SKU-ELEC-016,Electronics,paypal,completed,299.99,EUR
TXN_000026,2024-01-15 15:26:55,89678,PT,SKU-BEAU-009,Beauty,google_pay,failed,54.25,EUR
TXN_000027,2024-01-15 15:29:31,23467,GR,SKU-SPOR-022,Sports,credit_card,completed,178.50,EUR
TXN_000028,2024-01-15 15:32:08,45789,CZ,SKU-BOOK-006,Books,debit_card,completed,42.99,EUR
TXN_000029,2024-01-15 15:34:44,67345,RO,SKU-TOYS-015,Toys,credit_card,completed,89.00,EUR
TXN_000030,2024-01-15 15:37:19,89234,HU,SKU-GARD-010,Garden,bank_transfer,pending,215.75,EUR
TXN_000031,2024-01-15 15:39:52,12789,TR,SKU-AUTO-032,Automotive,credit_card,completed,1250.00,EUR
TXN_000032,2024-01-15 15:42:28,34678,ZA,SKU-GROC-018,Grocery,paypal,completed,156.25,USD
TXN_000033,2024-01-15 15:45:03,56123,AE,SKU-HEAL-013,Health,credit_card,completed,345.50,USD
TXN_000034,2024-01-15 15:47:38,78234,SA,SKU-PET-007,Pet,apple_pay,refunded,89.99,USD
TXN_000035,2024-01-15 15:50:14,90456,EG,SKU-OFFI-023,Office,debit_card,completed,267.75,USD
TXN_000036,2024-01-15 15:52:49,23678,NG,SKU-MUSI-004,Music,credit_card,completed,34.50,USD
TXN_000037,2024-01-15 15:55:25,45234,IL,SKU-MOVI-012,Movies,google_pay,completed,52.99,USD
TXN_000038,2024-01-15 15:58:01,67456,TH,SKU-BABY-020,Baby,credit_card,completed,198.00,USD
TXN_000039,2024-01-15 16:00:36,89123,MY,SKU-JEWE-008,Jewelry,paypal,cancelled,825.50,USD
TXN_000040,2024-01-15 16:03:12,12890,ID,SKU-INDU-026,Industrial,bank_transfer,completed,675.25,USD
TXN_000041,2024-01-15 16:05:47,34890,PH,SKU-ART-005,Art,credit_card,completed,445.75,USD
TXN_000042,2024-01-15 16:08:23,56456,VN,SKU-TOOL-017,Tools,debit_card,pending,234.99,USD
TXN_000043,2024-01-15 16:10:58,78567,NZ,SKU-ELEC-003,Electronics,credit_card,completed,689.00,AUD
TXN_000044,2024-01-15 16:13:34,90678,AR,SKU-FASH-044,Fashion,apple_pay,completed,178.50,USD
TXN_000045,2024-01-15 16:16:09,23123,CL,SKU-HOME-125,Home,paypal,completed,312.75,USD
TXN_000046,2024-01-15 16:18:45,45567,CO,SKU-ELEC-017,Electronics,credit_card,failed,456.99,USD
TXN_000047,2024-01-15 16:21:20,67678,PE,SKU-BEAU-010,Beauty,google_pay,completed,78.25,USD
TXN_000048,2024-01-15 16:23:56,89890,VE,SKU-SPOR-023,Sports,debit_card,completed,145.00,USD
TXN_000049,2024-01-15 16:26:31,12234,UY,SKU-BOOK-007,Books,credit_card,completed,38.99,USD
TXN_000050,2024-01-15 16:29:07,34234,CR,SKU-TOYS-016,Toys,bank_transfer,completed,92.50,USD
TXN_000051,2024-01-15 16:31:42,56678,PA,SKU-GARD-011,Garden,credit_card,pending,187.75,USD
TXN_000052,2024-01-15 16:34:18,78890,US,SKU-AUTO-033,Automotive,paypal,completed,725.00,USD
TXN_000053,2024-01-15 16:36:53,90890,UK,SKU-GROC-019,Grocery,credit_card,completed,124.50,GBP
TXN_000054,2024-01-15 16:39:29,23345,CA,SKU-HEAL-014,Health,apple_pay,completed,256.75,CAD
TXN_000055,2024-01-15 16:42:04,45890,DE,SKU-PET-008,Pet,debit_card,refunded,145.99,EUR
TXN_000056,2024-01-15 16:44:40,67890,FR,SKU-OFFI-024,Office,credit_card,completed,389.25,EUR
TXN_000057,2024-01-15 16:47:15,89345,IT,SKU-MUSI-005,Music,google_pay,completed,29.99,EUR
TXN_000058,2024-01-15 16:49:51,12567,ES,SKU-MOVI-013,Movies,paypal,completed,41.75,EUR
TXN_000059,2024-01-15 16:52:26,34456,AU,SKU-BABY-021,Baby,credit_card,completed,167.50,AUD
TXN_000060,2024-01-15 16:55:02,56789,JP,SKU-JEWE-009,Jewelry,bank_transfer,cancelled,95000.00,JPY
TXN_000061,2024-01-15 16:57:37,78901,BR,SKU-INDU-027,Industrial,credit_card,completed,1575.00,BRL
TXN_000062,2024-01-15 17:00:13,90123,MX,SKU-ART-006,Art,debit_card,completed,567.50,MXN
TXN_000063,2024-01-15 17:02:48,23456,IN,SKU-TOOL-018,Tools,credit_card,pending,5670.25,INR
TXN_000064,2024-01-15 17:05:24,45678,CN,SKU-ELEC-004,Electronics,apple_pay,completed,2850.00,CNY
TXN_000065,2024-01-15 17:07:59,67234,KR,SKU-FASH-045,Fashion,paypal,completed,234000.00,JPY
TXN_000066,2024-01-15 17:10:35,89012,SG,SKU-HOME-126,Home,credit_card,completed,498.75,USD
TXN_000067,2024-01-15 17:13:10,12345,NL,SKU-ELEC-018,Electronics,google_pay,failed,378.99,EUR
TXN_000068,2024-01-15 17:15:46,34567,BE,SKU-BEAU-011,Beauty,debit_card,completed,89.50,EUR
TXN_000069,2024-01-15 17:18:21,56890,SE,SKU-SPOR-024,Sports,credit_card,completed,267.25,EUR
TXN_000070,2024-01-15 17:20:57,78123,NO,SKU-BOOK-008,Books,bank_transfer,completed,56.99,EUR
TXN_000071,2024-01-15 17:23:32,90234,DK,SKU-TOYS-017,Toys,credit_card,completed,112.00,EUR
TXN_000072,2024-01-15 17:26:08,23890,FI,SKU-GARD-012,Garden,paypal,pending,278.75,EUR
TXN_000073,2024-01-15 17:28:43,45123,PL,SKU-AUTO-034,Automotive,credit_card,completed,1890.50,EUR
TXN_000074,2024-01-15 17:31:19,67456,AT,SKU-GROC-020,Grocery,apple_pay,completed,189.25,EUR
TXN_000075,2024-01-15 17:33:54,89567,CH,SKU-HEAL-015,Health,debit_card,completed,445.75,EUR
TXN_000076,2024-01-15 17:36:30,12678,IE,SKU-PET-009,Pet,credit_card,refunded,167.99,EUR
TXN_000077,2024-01-15 17:39:05,34789,PT,SKU-OFFI-025,Office,google_pay,completed,312.50,EUR
TXN_000078,2024-01-15 17:41:41,56234,GR,SKU-MUSI-006,Music,paypal,completed,38.75,EUR
TXN_000079,2024-01-15 17:44:16,78456,CZ,SKU-MOVI-014,Movies,credit_card,completed,47.99,EUR
TXN_000080,2024-01-15 17:46:52,90456,RO,SKU-BABY-022,Baby,bank_transfer,completed,234.50,EUR
TXN_000081,2024-01-15 17:49:27,23901,HU,SKU-JEWE-010,Jewelry,credit_card,cancelled,1125.00,EUR
TXN_000082,2024-01-15 17:52:03,45834,TR,SKU-INDU-028,Industrial,debit_card,completed,2340.75,EUR
TXN_000083,2024-01-15 17:54:38,67901,ZA,SKU-ART-007,Art,credit_card,pending,678.25,USD
TXN_000084,2024-01-15 17:57:14,89234,AE,SKU-TOOL-019,Tools,apple_pay,completed,456.50,USD
TXN_000085,2024-01-15 17:59:49,12789,SA,SKU-ELEC-005,Electronics,paypal,completed,789.99,USD
TXN_000086,2024-01-15 18:02:25,34678,EG,SKU-FASH-046,Fashion,credit_card,completed,198.75,USD
TXN_000087,2024-01-15 18:05:00,56123,NG,SKU-HOME-127,Home,google_pay,failed,367.50,USD
TXN_000088,2024-01-15 18:07:36,78234,IL,SKU-ELEC-019,Electronics,debit_card,completed,534.99,USD
TXN_000089,2024-01-15 18:10:11,90678,TH,SKU-BEAU-012,Beauty,credit_card,completed,112.25,USD
TXN_000090,2024-01-15 18:12:47,23678,MY,SKU-SPOR-025,Sports,bank_transfer,completed,289.00,USD
TXN_000091,2024-01-15 18:15:22,45234,ID,SKU-BOOK-009,Books,credit_card,completed,45.99,USD
TXN_000092,2024-01-15 18:17:58,67890,PH,SKU-TOYS-018,Toys,paypal,completed,134.50,USD
TXN_000093,2024-01-15 18:20:33,89123,VN,SKU-GARD-013,Garden,credit_card,pending,256.75,USD
TXN_000094,2024-01-15 18:23:09,12890,NZ,SKU-AUTO-035,Automotive,apple_pay,completed,1675.00,AUD
TXN_000095,2024-01-15 18:25:44,34890,AR,SKU-GROC-021,Grocery,debit_card,completed,234.50,USD
TXN_000096,2024-01-15 18:28:20,56456,CL,SKU-HEAL-016,Health,credit_card,completed,378.75,USD
TXN_000097,2024-01-15 18:30:55,78567,CO,SKU-PET-010,Pet,google_pay,refunded,189.99,USD
TXN_000098,2024-01-15 18:33:31,90890,PE,SKU-OFFI-026,Office,paypal,completed,423.25,USD
TXN_000099,2024-01-15 18:36:06,23123,VE,SKU-MUSI-007,Music,credit_card,completed,32.99,USD
TXN_000100,2024-01-15 18:38:42,45567,UY,SKU-MOVI-015,Movies,bank_transfer,completed,54.75,USD
TXN_000101,2024-01-15 18:41:17,67678,CR,SKU-BABY-023,Baby,credit_card,completed,245.50,USD
TXN_000102,2024-01-15 18:43:53,89890,PA,SKU-JEWE-011,Jewelry,debit_card,cancelled,1456.00,USD
TXN_000103,2024-01-15 18:46:28,12234,US,SKU-INDU-029,Industrial,credit_card,completed,2890.75,USD
TXN_000104,2024-01-15 18:49:04,34234,UK,SKU-ART-008,Art,apple_pay,pending,789.25,GBP
TXN_000105,2024-01-15 18:51:39,56678,CA,SKU-TOOL-020,Tools,paypal,completed,567.50,CAD
TXN_000106,2024-01-15 18:54:15,78890,DE,SKU-ELEC-006,Electronics,credit_card,completed,923.99,EUR
TXN_000107,2024-01-15 18:56:50,90234,FR,SKU-FASH-047,Fashion,google_pay,completed,267.75,EUR
TXN_000108,2024-01-15 18:59:26,23345,IT,SKU-HOME-128,Home,debit_card,failed,445.50,EUR
TXN_000109,2024-01-15 19:02:01,45890,ES,SKU-ELEC-020,Electronics,credit_card,completed,612.99,EUR
TXN_000110,2024-01-15 19:04:37,67234,AU,SKU-BEAU-013,Beauty,bank_transfer,completed,134.25,AUD
TXN_000111,2024-01-15 19:07:12,89345,JP,SKU-SPOR-026,Sports,credit_card,completed,34500.00,JPY
TXN_000112,2024-01-15 19:09:48,12567,BR,SKU-BOOK-010,Books,paypal,completed,89.99,BRL
TXN_000113,2024-01-15 19:12:23,34456,MX,SKU-TOYS-019,Toys,credit_card,completed,456.50,MXN
TXN_000114,2024-01-15 19:14:59,56789,IN,SKU-GARD-014,Garden,apple_pay,pending,6780.75,INR
TXN_000115,2024-01-15 19:17:34,78901,CN,SKU-AUTO-036,Automotive,debit_card,completed,8900.00,CNY
TXN_000116,2024-01-15 19:20:10,90123,KR,SKU-GROC-022,Grocery,credit_card,completed,345000.00,JPY
TXN_000117,2024-01-15 19:22:45,23456,SG,SKU-HEAL-017,Health,google_pay,completed,567.75,USD
TXN_000118,2024-01-15 19:25:21,45678,NL,SKU-PET-011,Pet,paypal,refunded,212.99,EUR
TXN_000119,2024-01-15 19:27:56,67890,BE,SKU-OFFI-027,Office,credit_card,completed,534.25,EUR
TXN_000120,2024-01-15 19:30:32,89012,SE,SKU-MUSI-008,Music,bank_transfer,completed,41.99,EUR
TXN_000121,2024-01-15 19:33:07,12345,NO,SKU-MOVI-016,Movies,credit_card,completed,63.75,EUR
TXN_000122,2024-01-15 19:35:43,34567,DK,SKU-BABY-024,Baby,debit_card,completed,289.50,EUR
TXN_000123,2024-01-15 19:38:18,56890,FI,SKU-JEWE-012,Jewelry,credit_card,cancelled,1678.00,EUR
TXN_000124,2024-01-15 19:40:54,78123,PL,SKU-INDU-030,Industrial,apple_pay,completed,3456.75,EUR
TXN_000125,2024-01-15 19:43:29,90456,AT,SKU-ART-009,Art,paypal,pending,923.25,EUR
TXN_000126,2024-01-15 19:46:05,23890,CH,SKU-TOOL-021,Tools,credit_card,completed,678.50,EUR
TXN_000127,2024-01-15 19:48:40,45123,IE,SKU-ELEC-007,Electronics,google_pay,completed,1045.99,EUR
TXN_000128,2024-01-15 19:51:16,67456,PT,SKU-FASH-048,Fashion,debit_card,failed,312.75,EUR
TXN_000129,2024-01-15 19:53:51,89567,GR,SKU-HOME-129,Home,credit_card,completed,523.50,EUR
TXN_000130,2024-01-15 19:56:27,12678,CZ,SKU-ELEC-021,Electronics,bank_transfer,completed,734.99,EUR
TXN_000131,2024-01-15 19:59:02,34789,RO,SKU-BEAU-014,Beauty,credit_card,completed,156.25,EUR
TXN_000132,2024-01-15 20:01:38,56234,HU,SKU-SPOR-027,Sports,paypal,completed,378.00,EUR
TXN_000133,2024-01-15 20:04:13,78456,TR,SKU-BOOK-011,Books,credit_card,completed,67.99,EUR
TXN_000134,2024-01-15 20:06:49,90678,ZA,SKU-TOYS-020,Toys,apple_pay,completed,178.50,USD
TXN_000135,2024-01-15 20:09:24,23901,AE,SKU-GARD-015,Garden,debit_card,pending,334.75,USD
TXN_000136,2024-01-15 20:12:00,45834,SA,SKU-AUTO-037,Automotive,credit_card,completed,2145.00,USD
TXN_000137,2024-01-15 20:14:35,67901,EG,SKU-GROC-023,Grocery,google_pay,completed,289.50,USD
TXN_000138,2024-01-15 20:17:11,89234,NG,SKU-HEAL-018,Health,paypal,completed,445.75,USD
TXN_000139,2024-01-15 20:19:46,12789,IL,SKU-PET-012,Pet,credit_card,refunded,234.99,USD
TXN_000140,2024-01-15 20:22:22,34678,TH,SKU-OFFI-028,Office,bank_transfer,completed,612.25,USD
TXN_000141,2024-01-15 20:24:57,56123,MY,SKU-MUSI-009,Music,credit_card,completed,47.99,USD
TXN_000142,2024-01-15 20:27:33,78234,ID,SKU-MOVI-017,Movies,debit_card,completed,71.75,USD
TXN_000143,2024-01-15 20:30:08,90890,PH,SKU-BABY-025,Baby,credit_card,completed,334.50,USD
TXN_000144,2024-01-15 20:32:44,23678,VN,SKU-JEWE-013,Jewelry,apple_pay,cancelled,1923.00,USD
TXN_000145,2024-01-15 20:35:19,45234,NZ,SKU-INDU-031,Industrial,paypal,completed,4123.75,AUD
TXN_000146,2024-01-15 20:37:55,67345,AR,SKU-ART-010,Art,credit_card,pending,1067.25,USD
TXN_000147,2024-01-15 20:40:30,89123,CL,SKU-TOOL-022,Tools,google_pay,completed,789.50,USD
TXN_000148,2024-01-15 20:43:06,12890,CO,SKU-ELEC-008,Electronics,debit_card,completed,1189.99,USD
TXN_000149,2024-01-15 20:45:41,34890,PE,SKU-FASH-049,Fashion,credit_card,failed,367.75,USD
TXN_000150,2024-01-15 20:48:17,56456,VE,SKU-HOME-130,Home,bank_transfer,completed,612.50,USD
TXN_000151,2024-01-15 20:50:52,78567,UY,SKU-ELEC-022,Electronics,credit_card,completed,856.99,USD
TXN_000152,2024-01-15 20:53:28,90234,CR,SKU-BEAU-015,Beauty,paypal,completed,178.25,USD
TXN_000153,2024-01-15 20:56:03,23123,PA,SKU-SPOR-028,Sports,credit_card,completed,423.00,USD
TXN_000154,2024-01-15 20:58:39,45567,US,SKU-BOOK-012,Books,apple_pay,completed,79.99,USD
TXN_000155,2024-01-15 21:01:14,67678,UK,SKU-TOYS-021,Toys,debit_card,completed,201.50,GBP
TXN_000156,2024-01-15 21:03:50,89890,CA,SKU-GARD-016,Garden,credit_card,pending,389.75,CAD
TXN_000157,2024-01-15 21:06:25,12234,DE,SKU-AUTO-038,Automotive,google_pay,completed,2567.00,EUR
TXN_000158,2024-01-15 21:09:01,34234,FR,SKU-GROC-024,Grocery,paypal,completed,334.50,EUR
TXN_000159,2024-01-15 21:11:36,56678,IT,SKU-HEAL-019,Health,credit_card,completed,523.75,EUR
TXN_000160,2024-01-15 21:14:12,78890,ES,SKU-PET-013,Pet,bank_transfer,refunded,267.99,EUR
TXN_000161,2024-01-15 21:16:47,90678,AU,SKU-OFFI-029,Office,credit_card,completed,701.25,AUD
TXN_000162,2024-01-15 21:19:23,23345,JP,SKU-MUSI-010,Music,debit_card,completed,5499.00,JPY
TXN_000163,2024-01-15 21:21:58,45890,BR,SKU-MOVI-018,Movies,credit_card,completed,124.75,BRL
TXN_000164,2024-01-15 21:24:34,67234,MX,SKU-BABY-026,Baby,apple_pay,completed,389.50,MXN
TXN_000165,2024-01-15 21:27:09,89345,IN,SKU-JEWE-014,Jewelry,paypal,cancelled,23450.00,INR
TXN_000166,2024-01-15 21:29:45,12567,CN,SKU-INDU-032,Industrial,credit_card,completed,12340.75,CNY
TXN_000167,2024-01-15 21:32:20,34456,KR,SKU-ART-011,Art,google_pay,pending,456000.00,JPY
TXN_000168,2024-01-15 21:34:56,56789,SG,SKU-TOOL-023,Tools,debit_card,completed,912.50,USD
TXN_000169,2024-01-15 21:37:31,78901,NL,SKU-ELEC-009,Electronics,credit_card,completed,1334.99,EUR
TXN_000170,2024-01-15 21:40:07,90123,BE,SKU-FASH-050,Fashion,bank_transfer,failed,423.75,EUR
TXN_000171,2024-01-15 21:42:42,23456,SE,SKU-HOME-131,Home,credit_card,completed,701.50,EUR
TXN_000172,2024-01-15 21:45:18,45678,NO,SKU-ELEC-023,Electronics,paypal,completed,967.99,EUR
TXN_000173,2024-01-15 21:47:53,67890,DK,SKU-BEAU-016,Beauty,credit_card,completed,201.25,EUR
TXN_000174,2024-01-15 21:50:29,89012,FI,SKU-SPOR-029,Sports,apple_pay,completed,478.00,EUR
TXN_000175,2024-01-15 21:53:04,12345,PL,SKU-BOOK-013,Books,debit_card,completed,89.99,EUR
TXN_000176,2024-01-15 21:55:40,34567,AT,SKU-TOYS-022,Toys,credit_card,completed,223.50,EUR
TXN_000177,2024-01-15 21:58:15,56890,CH,SKU-GARD-017,Garden,google_pay,pending,445.75,EUR
TXN_000178,2024-01-15 22:00:51,78123,IE,SKU-AUTO-039,Automotive,paypal,completed,2890.00,EUR
