white_pawns,white_knights,white_bishops,white_rooks,white_queens,black_pawns,black_knights,black_bishops,black_rooks,black_queens,true_score
8,2,2,2,1,8,2,2,2,1,0
7,2,2,2,1,8,2,2,2,1,95
8,1,2,2,1,8,2,2,2,1,-285
8,2,2,1,1,8,2,2,2,1,-450
8,2,2,2,0,8,2,2,2,1,-875
8,2,2,2,1,7,2,2,2,1,105
8,2,2,2,1,8,1,2,2,1,330
8,2,2,2,1,8,2,1,2,1,340
8,2,2,2,1,8,2,2,1,1,510
8,2,2,2,1,8,2,2,2,0,920
6,2,2,2,1,8,2,2,2,1,-195
8,2,2,2,1,6,2,2,2,1,210
5,2,2,2,1,8,2,2,2,1,-290
8,2,2,2,1,5,2,2,2,1,315
8,0,2,2,1,8,2,2,2,1,-310
8,2,0,2,1,8,2,2,2,1,-320
8,2,2,0,1,8,2,2,2,1,-485
8,2,2,2,1,8,0,2,2,1,335
8,2,2,2,1,8,2,0,2,1,345
8,2,2,2,1,8,2,2,0,1,515
7,2,2,2,1,7,2,2,2,1,15
6,2,2,2,1,6,2,2,2,1,-5
8,1,2,2,1,8,1,2,2,1,10
8,2,1,2,1,8,2,1,2,1,-15
8,2,2,1,1,8,2,2,1,1,5
8,2,2,2,0,8,2,2,2,0,-10
7,2,2,2,1,8,1,2,2,1,425
7,2,2,2,1,8,2,1,2,1,435
7,2,2,2,1,8,2,2,1,1,605
7,2,2,2,1,8,2,2,2,0,1015
8,1,2,2,1,7,2,2,2,1,-180
8,2,1,2,1,7,2,2,2,1,-175
8,2,2,1,1,7,2,2,2,1,-340
8,2,2,2,0,7,2,2,2,1,-765
6,2,2,2,1,8,1,2,2,1,140
6,2,2,2,1,8,2,1,2,1,150
6,2,2,2,1,8,2,2,1,1,320
6,2,2,2,1,8,2,2,2,0,730
8,0,0,2,1,8,2,2,2,1,-630
8,2,2,0,0,8,2,2,2,1,-1305
8,0,2,0,1,8,2,2,2,1,-795
8,2,0,2,0,8,2,2,2,1,-1225
8,2,2,2,1,8,0,0,2,1,675
8,2,2,2,1,8,2,2,0,0,1425
8,2,2,2,1,8,0,2,0,1,835
8,2,2,2,1,8,2,0,2,0,1235
7,1,2,2,1,8,2,2,2,1,-190
7,2,1,2,1,8,2,2,2,1,-185
7,2,2,1,1,8,2,2,2,1,-345
7,2,2,2,0,8,2,2,2,1,-770
8,1,1,2,1,8,2,2,2,1,-610
8,1,2,1,1,8,2,2,2,1,-775
8,1,2,2,0,8,2,2,2,1,-1185
8,2,1,1,1,8,2,2,2,1,-795
8,2,1,2,0,8,2,2,2,1,-1205
8,2,2,1,0,8,2,2,2,1,-1360
8,1,2,2,1,8,1,1,2,1,55
8,1,2,2,1,8,1,2,1,1,225
8,1,2,2,1,8,1,2,2,0,635
8,2,1,2,1,8,1,1,2,1,45
8,2,1,2,1,8,1,2,1,1,215
8,2,1,2,1,8,1,2,2,0,625
8,2,2,1,1,8,1,1,2,1,-125
8,2,2,1,1,8,1,2,1,1,45
8,2,2,1,1,8,1,2,2,0,455
8,2,2,2,0,8,1,1,2,1,-240
8,2,2,2,0,8,1,2,1,1,-55
8,2,2,2,0,8,1,2,2,0,355
5,2,2,2,1,7,2,2,2,1,120
6,1,2,2,1,7,2,2,2,1,-185
6,2,1,2,1,7,2,2,2,1,-175
6,2,2,1,1,7,2,2,2,1,-335
6,2,2,2,0,7,2,2,2,1,-760
7,1,2,2,1,6,2,2,2,1,135
7,2,1,2,1,6,2,2,2,1,145
7,2,2,1,1,6,2,2,2,1,-25
7,2,2,2,0,6,2,2,2,1,-590
5,1,2,2,1,6,2,2,2,1,-175
5,2,1,2,1,6,2,2,2,1,-165
5,2,2,1,1,6,2,2,2,1,-325
5,2,2,2,0,6,2,2,2,1,-750
4,2,2,2,1,8,2,2,2,1,-385
8,2,2,2,1,4,2,2,2,1,420
