IP_Address,Hostname,OS,SMB_Port_Open,Last_Seen
172.16.100.10,DC01,Windows Server 2019,Yes,2024-01-15 08:23:15
172.16.100.15,FILE-SRV-01,Windows Server 2016,Yes,2024-01-15 09:45:22
172.16.100.23,FILE-SRV-02,Windows Server 2019,Yes,2024-01-15 10:12:33
172.16.100.28,WKSTN-1045,Windows 10 Pro,Yes,2024-01-15 07:56:41
172.16.100.35,DB-SERVER-01,Windows Server 2016,Yes,2024-01-15 11:20:18
172.16.100.42,WKSTN-2187,Windows 10 Pro,Yes,2024-01-15 08:45:29
172.16.100.51,WIN-A7B3C9D,Windows Server 2012 R2,Yes,2024-01-15 09:33:44
172.16.100.58,BACKUP-SRV,Windows Server 2019,Yes,2024-01-15 10:55:12
172.16.100.67,WKSTN-3421,Windows 7,Yes,2024-01-15 08:12:37
172.16.100.73,LEGACY-APP-01,Windows Server 2008 R2,Yes,2024-01-15 07:28:50
172.16.100.89,SAMBA-01,Linux Samba,Yes,2024-01-15 11:42:05
172.16.100.95,WKSTN-5678,Windows 10 Pro,Yes,2024-01-15 09:18:26
172.16.100.103,PRINT-SRV-01,Windows Server 2016,Yes,2024-01-15 10:37:44
172.16.100.112,APP-SERVER-02,Windows Server 2019,Yes,2024-01-15 08:51:19
172.16.100.125,WKSTN-9012,Windows 10 Pro,Yes,2024-01-15 07:44:33
172.16.100.134,Unknown,Unknown,Yes,2024-01-15 11:05:47
172.16.100.148,FILE-SRV-03,Windows Server 2019,Yes,2024-01-15 09:22:55
172.16.100.156,WKSTN-4567,Windows 10 Pro,No,2024-01-15 08:33:21
172.16.100.167,WEB-SERVER-01,Linux,No,2024-01-15 10:14:38
172.16.100.178,WKSTN-7890,Windows 10 Pro,No,2024-01-15 07:59:12
172.16.100.189,ROUTER-01,Unknown,No,2024-01-15 11:28:44
172.16.100.198,FIREWALL-01,Unknown,No,2024-01-15 09:47:26
172.16.100.207,WKSTN-3456,Windows 10 Pro,No,2024-01-15 08:19:53
172.16.100.215,APP-SERVER-03,Windows Server 2019,No,2024-01-15 10:42:17
172.16.100.223,Unknown,Unknown,No,2024-01-15 07:36:29
172.16.100.231,WKSTN-6789,Windows 10 Pro,No,2024-01-15 11:13:45
172.16.100.245,NAS-01,Unknown,No,2024-01-15 09:58:31
172.16.100.250,SWITCH-MGMT,Unknown,No,2024-01-15 08:27:08
