tenure,monthly_charges,total_charges,contract_length,number_of_services,customer_service_calls,age,account_balance,data_usage_gb,gender,internet_service,contract_type,payment_method,tech_support,online_security,streaming_service,churn
2,89.5,179.0,1,3,5,45,150.0,25.3,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
48,65.2,3129.6,24,5,1,52,450.0,45.2,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
12,95.3,1143.6,1,7,4,33,75.0,78.5,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
36,55.8,2008.8,12,4,2,61,320.0,32.1,Female,DSL,One year,Credit card,Yes,Yes,Yes,0
6,102.4,614.4,1,8,6,28,50.0,89.2,Male,Fiber,Month-to-month,Mailed check,No,No,Yes,1
58,45.2,2621.6,24,3,0,67,890.0,15.4,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
3,98.7,296.1,1,6,7,39,25.0,92.3,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
42,58.9,2473.8,24,4,1,55,670.0,28.7,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
15,78.3,1174.5,1,5,3,41,120.0,56.8,Male,Fiber,Month-to-month,Electronic check,No,Yes,No,1
52,48.6,2527.2,24,3,1,58,780.0,22.3,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
8,88.9,711.2,1,6,5,35,80.0,71.4,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
44,62.1,2732.4,24,5,0,49,520.0,38.9,Female,DSL,Two year,Credit card,Yes,Yes,Yes,0
1,105.8,105.8,1,9,8,25,10.0,95.6,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
62,41.3,2560.6,24,2,0,72,1200.0,12.5,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
18,72.5,1305.0,12,4,2,44,230.0,48.3,Male,DSL,One year,Credit card,No,Yes,Yes,0
5,96.2,481.0,1,7,6,31,60.0,82.7,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
54,52.4,2829.6,24,4,1,64,940.0,35.6,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
10,91.7,917.0,1,6,4,37,95.0,68.9,Male,Fiber,Month-to-month,Mailed check,No,No,Yes,1
38,59.8,2272.4,12,5,2,53,410.0,41.2,Female,DSL,One year,Credit card,Yes,Yes,No,0
4,99.4,397.6,1,8,7,29,40.0,87.1,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
56,46.9,2626.4,24,3,0,69,1050.0,18.7,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
22,68.7,1511.4,12,4,2,47,280.0,44.5,Male,DSL,One year,Credit card,Yes,Yes,Yes,0
7,94.1,658.7,1,7,5,34,70.0,75.3,Male,Fiber,Month-to-month,Electronic check,No,No,Yes,1
46,54.3,2497.8,24,4,1,60,610.0,31.4,Female,DSL,Two year,Credit card,Yes,Yes,No,0
14,81.6,1142.4,1,5,3,40,110.0,62.8,Male,Fiber,Month-to-month,Electronic check,No,Yes,Yes,1
50,49.7,2485.0,24,3,0,66,850.0,24.1,Female,DSL,Two year,Bank transfer,Yes,Yes,No,0
