timestamp,sensor_id,temperature
1609459200000,1,23.45
1609459200000,2,24.12
1609459200000,3,22.87
1609459200000,4,23.56
1609459200000,5,24.23
1609459200000,6,23.91
1609459200000,7,22.45
1609459200000,8,24.67
1609459200000,9,23.34
1609459200000,10,25.12
1609459200000,11,22.98
1609459200000,12,23.76
1609459200000,13,24.45
1609459200000,14,23.23
1609459200000,15,22.56
1609459200000,16,24.89
1609459200000,17,23.67
1609459200000,18,24.34
1609459200000,19,22.78
1609459200000,20,23.45
1609459200000,21,24.56
1609459200000,22,23.12
1609459200000,23,22.89
1609459200000,24,24.23
1609459200000,25,23.78
1609459200000,26,24.01
1609459200000,27,23.45
1609459200000,28,22.67
1609459200000,29,24.78
1609459200000,30,23.56
1609459200000,31,24.12
1609459200000,32,22.98
1609459200000,33,23.89
1609459200000,34,24.45
1609459200000,35,23.23
1609459200000,36,22.76
1609459200000,37,24.56
1609459200000,38,23.34
1609459200000,39,24.12
1609459200000,40,22.89
1609459200000,41,23.67
1609459200000,42,24.34
1609459200000,43,23.12
1609459200000,44,22.45
1609459200000,45,24.78
1609459200000,46,23.56
1609459200000,47,24.23
1609459200000,48,22.87
1609459200000,49,23.98
1609459200000,50,24.45
1609459260000,1,23.47
1609459260000,2,24.14
1609459260000,3,22.89
1609459260000,4,23.58
1609459260000,5,24.25
1609459260000,6,23.93
1609459260000,7,22.47
1609459260000,8,24.69
1609459260000,9,23.36
1609459260000,10,25.14
1609459260000,11,23.00
1609459260000,12,23.78
1609459260000,13,24.47
1609459260000,14,23.25
1609459260000,15,22.58
1609459260000,16,24.91
1609459260000,17,23.69
1609459260000,18,24.36
1609459260000,19,22.80
1609459260000,20,23.47
1609459260000,21,24.58
1609459260000,22,23.14
1609459260000,23,22.91
1609459260000,24,24.25
1609459260000,25,23.80
1609459260000,26,24.03
1609459260000,27,23.47
1609459260000,28,22.69
1609459260000,29,24.80
1609459260000,30,23.58
1609459260000,31,24.14
1609459260000,32,23.00
1609459260000,33,23.91
1609459260000,34,24.47
1609459260000,35,23.25
1609459260000,36,22.78
1609459260000,37,24.58
1609459260000,38,23.36
1609459260000,39,24.14
1609459260000,40,22.91
1609459260000,41,23.69
1609459260000,42,24.36
1609459260000,43,23.14
1609459260000,44,22.47
1609459260000,45,24.80
1609459260000,46,23.58
1609459260000,47,24.25
1609459260000,48,22.89
1609459260000,49,24.00
1609459260000,50,24.47
1609459320000,1,23.44
1609459320000,2,24.16
1609459320000,3,22.91
1609459320000,4,23.60
1609459320000,5,24.27
1609459320000,6,23.95
1609459320000,7,22.49
1609459320000,8,24.71
1609459320000,9,23.38
1609459320000,10,25.16
1609459320000,11,23.02
1609459320000,12,23.80
1609459320000,13,24.49
1609459320000,14,23.27
1609459320000,15,22.60
1609459320000,16,24.93
1609459320000,17,23.71
1609459320000,18,24.38
1609459320000,19,22.82
1609459320000,20,23.49
1609459320000,21,24.60
1609459320000,22,23.16
1609459320000,23,22.93
1609459320000,24,24.27
1609459320000,25,23.82
1609459320000,26,24.05
1609459320000,27,23.49
1609459320000,28,22.71
1609459320000,29,24.82
1609459320000,30,23.60
1609459320000,31,24.16
1609459320000,32,23.02
1609459320000,33,23.93
1609459320000,34,24.49
1609459320000,35,23.27
1609459320000,36,22.80
1609459320000,37,24.60
1609459320000,38,23.38
1609459320000,39,24.16
1609459320000,40,22.93
1609459320000,41,23.71
1609459320000,42,24.38
1609459320000,43,23.16
1609459320000,44,22.49
1609459320000,45,24.82
1609459320000,46,23.60
1609459320000,47,24.27
1609459320000,48,22.91
1609459320000,49,24.02
1609459320000,50,24.49
