PID    TID   PPID  CPU%  MEM%  COMMAND
1523   1523  1     0.2   1.8   nginx
1523   1524  1523  0.8   1.8   nginx-worker
1523   1525  1523  1.3   1.8   nginx-worker
1523   1526  1523  0.5   1.8   nginx-worker
1523   1527  1523  2.1   1.8   nginx-worker
1523   1528  1523  0.9   1.8   nginx-worker
1523   1529  1523  1.7   1.8   nginx-worker
1523   1530  1523  0.4   1.8   nginx-worker
1523   1531  1523  1.2   1.8   nginx-worker
2847   2847  1     0.1   12.3  mysqld
2847   2848  2847  3.4   12.3  mysqld-thread
2847   2849  2847  2.7   12.3  mysqld-thread
2847   2850  2847  4.1   12.3  mysqld-thread
2847   2851  2847  1.9   12.3  mysqld-thread
2847   2852  2847  3.8   12.3  mysqld-thread
2847   2853  2847  2.2   12.3  mysqld-thread
2847   2854  2847  5.3   12.3  mysqld-thread
2847   2855  2847  1.5   12.3  mysqld-thread
2847   2856  2847  4.6   12.3  mysqld-thread
2847   2857  2847  2.8   12.3  mysqld-thread
3592   3592  1     0.3   8.7   java
3592   3593  3592  12.4  8.7   java-gc-thread
3592   3594  3592  1.8   8.7   java-thread
3592   3595  3592  23.7  8.7   java-pool-thread-1
3592   3596  3592  3.2   8.7   java-pool-thread-2
3592   3597  3592  89.4  8.7   java-pool-thread-3
3592   3598  3592  2.9   8.7   java-pool-thread-4
3592   3599  3592  18.2  8.7   java-pool-thread-5
3592   3600  3592  1.1   8.7   java-thread
3592   3601  3592  4.7   8.7   java-thread
3592   3602  3592  2.3   8.7   java-thread
3592   3603  3592  0.9   8.7   java-thread
4128   4128  1     0.0   3.4   postgres
4128   4129  4128  1.4   3.4   postgres-writer
4128   4130  4128  0.7   3.4   postgres-checkpointer
4128   4131  4128  2.6   3.4   postgres-wal-writer
4128   4132  4128  1.9   3.4   postgres-autovacuum
4128   4133  4128  0.3   3.4   postgres-stats
4128   4134  4128  3.1   3.4   postgres-worker
4128   4135  4128  1.2   3.4   postgres-worker
4128   4136  4128  2.8   3.4   postgres-worker
4128   4137  4128  0.6   3.4   postgres-logical
5621   5621  1     0.4   5.2   node
5621   5622  5621  14.3  5.2   node-worker-1
5621   5623  5621  2.1   5.2   node-worker-2
5621   5624  5621  8.7   5.2   node-worker-3
5621   5625  5621  1.6   5.2   node-worker-4
5621   5626  5621  19.8  5.2   node-event-loop
5621   5627  5621  3.4   5.2   node-timer
5621   5628  5621  0.8   5.2   node-io-thread
5621   5629  5621  1.3   5.2   node-io-thread
5621   5630  5621  2.5   5.2   node-io-thread
5621   5631  5621  0.9   5.2   node-gc
6734   6734  1     0.1   2.9   apache2
6734   6735  6734  1.7   2.9   apache2-worker
6734   6736  6734  0.5   2.9   apache2-worker
6734   6737  6734  2.3   2.9   apache2-worker
6734   6738  6734  1.1   2.9   apache2-worker
6734   6739  6734  3.2   2.9   apache2-worker
6734   6740  6734  0.8   2.9   apache2-worker
6734   6741  6734  1.9   2.9   apache2-worker
6734   6742  6734  0.4   2.9   apache2-worker
6734   6743  6734  2.7   2.9   apache2-worker
6734   6744  6734  1.4   2.9   apache2-worker
7845   7845  1     0.2   6.1   python
7845   7846  7845  4.3   6.1   python-worker
7845   7847  7845  1.7   6.1   python-worker
7845   7848  7845  27.6  6.1   python-worker
7845   7849  7845  2.8   6.1   python-worker
7845   7850  7845  0.9   6.1   python-worker
7845   7851  7845  3.5   6.1   python-worker
7845   7852  7845  1.2   6.1   python-worker
7845   7853  7845  5.1   6.1   python-worker
7845   7854  7845  0.6   6.1   python-worker
7845   7855  7845  2.4   6.1   python-thread
8923   8923  1     0.3   4.5   redis-server
8923   8924  8923  1.8   4.5   redis-io-thread
8923   8925  8923  2.4   4.5   redis-io-thread
8923   8926  8923  0.7   4.5   redis-io-thread
8923   8927  8923  1.3   4.5   redis-bio-close
8923   8928  8923  0.5   4.5   redis-bio-aof
8923   8929  8923  1.9   4.5   redis-bio-lazy-free
8923   8930  8923  0.4   4.5   redis-jemalloc
