txn_id,amount,timestamp
TXN4001,789.25,2024-01-16T11:30:55
TXN4002,345.60,2024-01-16T11:45:12
TXN4003,1256.80,2024-01-16T12:10:33
TXN4004,567.90,2024-01-16T12:35:47
TXN4005,892.15,2024-01-16T13:20:18
TXN1002,450.75,2024-01-15T14:26:00
TXN1005,678.40,2024-01-15T16:45:30
TXN4006,1450.25,2024-01-16T14:15:09
TXN4007,234.50,2024-01-16T14:40:55
TXN2003,987.65,2024-01-16T10:22:14
TXN4008,445.30,2024-01-16T15:10:42
TXN4009,1789.90,2024-01-16T15:35:27
TXN3001,765.20,2024-01-15T09:18:45
TXN4010,523.75,2024-01-16T16:05:33
TXN4011,1099.00,2024-01-16T16:30:18
TXN1008,834.55,2024-01-16T08:55:42
TXN4012,456.80,2024-01-16T17:10:29
TXN4013,1567.40,2024-01-16T17:45:15
TXN2007,692.30,2024-01-16T09:40:58
TXN4014,378.90,2024-01-16T18:20:44
TXN4015,945.60,2024-01-17T08:15:22
TXN4016,1234.50,2024-01-17T08:45:37
TXN3005,589.75,2024-01-16T11:05:19
TXN4017,812.20,2024-01-17T09:30:51
TXN4018,1678.85,2024-01-17T10:10:06
TXN1012,423.40,2024-01-16T13:50:28
TXN4019,756.15,2024-01-17T10:55:33
TXN4020,298.60,2024-01-17T11:25:47
TXN2009,1123.90,2024-01-17T12:00:15
TXN4021,667.45,2024-01-17T12:40:29
TXN4022,1890.30,2024-01-17T13:15:52
TXN4023,534.70,2024-01-17T13:50:08
TXN3008,876.25,2024-01-16T15:22:41
TXN4024,1456.80,2024-01-17T14:30:35
TXN4025,345.95,2024-01-17T15:05:19
TXN4026,789.50,2024-01-17T15:40:44
TXN1015,923.10,2024-01-17T07:35:22
TXN4027,1567.75,2024-01-17T16:20:07
TXN4028,432.85,2024-01-17T16:55:31
TXN2012,1089.40,2024-01-17T17:30:56
TXN4029,654.20,2024-01-17T18:10:12
TXN4030,1345.60,2024-01-18T08:25:38
TXN4031,567.30,2024-01-18T09:00:54
TXN3010,890.75,2024-01-17T10:18:27
TXN4032,1678.90,2024-01-18T09:45:16
TXN4033,423.55,2024-01-18T10:20:42
TXN4034,956.80,2024-01-18T11:00:08
TXN1018,734.25,2024-01-17T14:42:19
TXN4035,1234.70,2024-01-18T11:40:33
TXN4036,489.90,2024-01-18T12:15:57
TXN4037,1567.35,2024-01-18T12:50:21
TXN2015,678.45,2024-01-18T13:30:46
TXN4038,845.60,2024-01-18T14:10:11
TXN4039,1123.80,2024-01-18T14:45:35
TXN4040,356.25,2024-01-18T15:20:59
TXN3012,987.40,2024-01-17T16:28:33
TXN4041,1456.90,2024-01-18T16:00:24
TXN4042,623.75,2024-01-18T16:40:48
TXN4043,1789.55,2024-01-18T17:20:13
TXN1020,456.30,2024-01-18T09:15:37
TXN4044,892.65,2024-01-18T18:00:38
TXN4045,534.80,2024-01-16T08:22:15
TXN4046,1234.95,2024-01-16T19:15:42
TXN2018,745.50,2024-01-16T19:50:28
TXN4047,889.20,2024-01-17T08:05:51
TXN4048,1567.60,2024-01-17T19:25:17
TXN4049,412.35,2024-01-17T20:00:44
TXN3015,956.70,2024-01-18T08:48:29
TXN4050,1678.25,2024-01-18T11:32:56
TXN4051,567.85,2024-01-18T12:08:22
TXN4052,834.40,2024-01-18T18:45:09
TXN1022,1123.55,2024-01-18T10:52:37
TXN4053,456.90,2024-01-16T20:30:14
TXN4054,1890.75,2024-01-17T20:40:33
TXN4055,623.45,2024-01-18T13:18:51
TXN2020,789.80,2024-01-18T14:55:26
