# HELP cache_hit_ratio Cache hit ratio
# TYPE cache_hit_ratio gauge
# HELP cache_response_time_seconds Cache response time
# TYPE cache_response_time_seconds histogram
# HELP cache_evictions_total Total cache evictions
# TYPE cache_evictions_total counter
cache_hit_ratio 0.92 1704110400000
cache_response_time_seconds_bucket{le="0.01"} 850 1704110400000
cache_response_time_seconds_bucket{le="0.025"} 920 1704110400000
cache_response_time_seconds_bucket{le="0.05"} 960 1704110400000
cache_response_time_seconds_bucket{le="0.075"} 980 1704110400000
cache_response_time_seconds_bucket{le="0.1"} 995 1704110400000
cache_response_time_seconds_bucket{le="0.15"} 998 1704110400000
cache_response_time_seconds_bucket{le="0.2"} 999 1704110400000
cache_response_time_seconds_bucket{le="0.5"} 1000 1704110400000
cache_response_time_seconds_bucket{le="1.0"} 1000 1704110400000
cache_response_time_seconds_bucket{le="+Inf"} 1000 1704110400000
cache_response_time_seconds_sum 28.5 1704110400000
cache_response_time_seconds_count 1000 1704110400000
cache_evictions_total 1000 1704110400000
cache_hit_ratio 0.91 1704110415000
cache_response_time_seconds_bucket{le="0.01"} 1690 1704110415000
cache_response_time_seconds_bucket{le="0.025"} 1845 1704110415000
cache_response_time_seconds_bucket{le="0.05"} 1920 1704110415000
cache_response_time_seconds_bucket{le="0.075"} 1965 1704110415000
cache_response_time_seconds_bucket{le="0.1"} 1990 1704110415000
cache_response_time_seconds_bucket{le="0.15"} 1996 1704110415000
cache_response_time_seconds_bucket{le="0.2"} 1998 1704110415000
cache_response_time_seconds_bucket{le="0.5"} 2000 1704110415000
cache_response_time_seconds_bucket{le="1.0"} 2000 1704110415000
cache_response_time_seconds_bucket{le="+Inf"} 2000 1704110415000
cache_response_time_seconds_sum 57.2 1704110415000
cache_response_time_seconds_count 2000 1704110415000
cache_evictions_total 1005 1704110415000
cache_hit_ratio 0.89 1704110430000
cache_response_time_seconds_bucket{le="0.01"} 2520 1704110430000
cache_response_time_seconds_bucket{le="0.025"} 2760 1704110430000
cache_response_time_seconds_bucket{le="0.05"} 2880 1704110430000
cache_response_time_seconds_bucket{le="0.075"} 2940 1704110430000
cache_response_time_seconds_bucket{le="0.1"} 2985 1704110430000
cache_response_time_seconds_bucket{le="0.15"} 2994 1704110430000
cache_response_time_seconds_bucket{le="0.2"} 2997 1704110430000
cache_response_time_seconds_bucket{le="0.5"} 3000 1704110430000
cache_response_time_seconds_bucket{le="1.0"} 3000 1704110430000
cache_response_time_seconds_bucket{le="+Inf"} 3000 1704110430000
cache_response_time_seconds_sum 86.1 1704110430000
cache_response_time_seconds_count 3000 1704110430000
cache_evictions_total 1012 1704110430000
cache_hit_ratio 0.88 1704110445000
cache_response_time_seconds_bucket{le="0.01"} 3360 1704110445000
cache_response_time_seconds_bucket{le="0.025"} 3680 1704110445000
cache_response_time_seconds_bucket{le="0.05"} 3840 1704110445000
cache_response_time_seconds_bucket{le="0.075"} 3920 1704110445000
cache_response_time_seconds_bucket{le="0.1"} 3980 1704110445000
cache_response_time_seconds_bucket{le="0.15"} 3992 1704110445000
cache_response_time_seconds_bucket{le="0.2"} 3996 1704110445000
cache_response_time_seconds_bucket{le="0.5"} 4000 1704110445000
cache_response_time_seconds_bucket{le="1.0"} 4000 1704110445000
cache_response_time_seconds_bucket{le="+Inf"} 4000 1704110445000
cache_response_time_seconds_sum 115.4 1704110445000
cache_response_time_seconds_count 4000 1704110445000
cache_evictions_total 1018 1704110445000
cache_hit_ratio 0.85 1704110460000
cache_response_time_seconds_bucket{le="0.01"} 4150 1704110460000
cache_response_time_seconds_bucket{le="0.025"} 4575 1704110460000
cache_response_time_seconds_bucket{le="0.05"} 4800 1704110460000
cache_response_time_seconds_bucket{le="0.075"} 4900 1704110460000
cache_response_time_seconds_bucket{le="0.1"} 4975 1704110460000
cache_response_time_seconds_bucket{le="0.15"} 4990 1704110460000
cache_response_time_seconds_bucket{le="0.2"} 4995 1704110460000
cache_response_time_seconds_bucket{le="0.5"} 5000 1704110460000
cache_response_time_seconds_bucket{le="1.0"} 5000 1704110460000
cache_response_time_seconds_bucket{le="+Inf"} 5000 1704110460000
cache_response_time_seconds_sum 145.3 1704110460000
cache_response_time_seconds_count 5000 1704110460000
cache_evictions_total 1026 1704110460000
cache_hit_ratio 0.82 1704110475000
cache_response_time_seconds_bucket{le="0.01"} 4920 1704110475000
cache_response_time_seconds_bucket{le="0.025"} 5460 1704110475000
cache_response_time_seconds_bucket{le="0.05"} 5760 1704110475000
cache_response_time_seconds_bucket{le="0.075"} 5880 1704110475000
cache_response_time_seconds_bucket{le="0.1"} 5970 1704110475000
cache_response_time_seconds_bucket{le="0.15"} 5988 1704110475000
cache_response_time_seconds_bucket{le="0.2"} 5994 1704110475000
cache_response_time_seconds_bucket{le="0.5"} 6000 1704110475000
cache_response_time_seconds_bucket{le="1.0"} 6000 1704110475000
cache_response_time_seconds_bucket{le="+Inf"} 6000 1704110475000
cache_response_time_seconds_sum 176.8 1704110475000
cache_response_time_seconds_count 6000 1704110475000
cache_evictions_total 1035 1704110475000
cache_hit_ratio 0.78 1704110490000
cache_response_time_seconds_bucket{le="0.01"} 5600 1704110490000
cache_response_time_seconds_bucket{le="0.025"} 6300 1704110490000
cache_response_time_seconds_bucket{le="0.05"} 6720 1704110490000
cache_response_time_seconds_bucket{le="0.075"} 6860 1704110490000
cache_response_time_seconds_bucket{le="0.1"} 6930 1704110490000
cache_response_time_seconds_bucket{le="0.15"} 6986 1704110490000
cache_response_time_seconds_bucket{le="0.2"} 6993 1704110490000
cache_response_time_seconds_bucket{le="0.5"} 7000 1704110490000
cache_response_time_seconds_bucket{le="1.0"} 7000 1704110490000
cache_response_time_seconds_bucket{le="+Inf"} 7000 1704110490000
cache_response_time_seconds_sum 210.5 1704110490000
cache_response_time_seconds_count 7000 1704110490000
cache_evictions_total 1047 1704110490000
cache_hit_ratio 0.72 1704110505000
cache_response_time_seconds_bucket{le="0.01"} 6240 1704110505000
