date,category,product_id,quantity,unit_price
2024-03-05,Electronics,1543,12,299.99
02/14/2024,Clothing,2891,25,49.99
20-01-2024,Home,3456,8,159.99
2024-01-15,Food,4123,30,12.99
15/02/2024,Electronics,1876,,499.99
03/01/2024,Home,3789,5,229.99
2024-03-10,Food,4567,45,8.99
12/03/2024,Electronics,1234,3,799.99
25-02-2024,Clothing,2678,18,79.99
05/01/2024,Food,4890,50,15.99
2024-02-08,Electronics,1567,7,349.99
18/03/2024,Clothing,2134,22,34.99
10-01-2024,Home,3567,12,189.99
2024-03-01,Food,4234,35,6.99
22/02/2024,Electronics,1789,9,599.99
2024-01-30,Clothing,2456,28,59.99
08-03-2024,Home,3678,6,279.99
2024-02-15,Food,4678,40,11.99
14/01/2024,Electronics,1890,15,449.99
2024-03-12,Clothing,2789,,89.99
28-01-2024,Home,3234,10,199.99
2024-02-25,Food,4345,32,9.99
19/03/2024,Electronics,1456,4,699.99
2024-01-08,Clothing,2567,20,44.99
2024-03-18,Food,4789,48,13.99
06/02/2024,Electronics,1678,11,399.99
2024-01-25,Clothing,2901,26,54.99
15-03-2024,Home,3456,7,249.99
2024-02-10,Food,4901,38,7.99
25/01/2024,Electronics,1234,13,529.99
2024-03-08,Clothing,2678,19,69.99
05-02-2024,Home,3789,9,219.99
2024-01-18,Food,4012,42,10.99
11/03/2024,Electronics,1567,,379.99
2024-02-22,Clothing,2345,24,39.99
20-03-2024,Home,3901,5,299.99
2024-01-12,Food,4567,36,14.99
08/01/2024,Electronics,1890,8,479.99
2024-03-15,Clothing,2789,21,74.99
18-02-2024,Home,3234,11,169.99
2024-02-05,Food,4678,44,5.99
27/03/2024,Electronics,1456,6,649.99
2024-01-28,Clothing,2012,,64.99
10-03-2024,Home,3567,8,239.99
2024-02-18,Food,4890,33,12.49
16/01/2024,Electronics,1789,14,559.99
2024-03-22,Clothing,2456,27,49.49
22-01-2024,Home,3678,13,209.99
2024-02-12,Food,4234,41,8.49
09/03/2024,Electronics,1543,5,289.99
2024-01-20,Clothing,2891,23,84.99
2024-03-25,Food,4123,39,11.49
13/02/2024,Electronics,1876,10,419.99
2024-01-05,Clothing,2678,29,55.99
17-03-2024,Home,3789,4,259.99
2024-02-28,Food,4567,46,9.49
21/01/2024,Electronics,1234,12,519.99
2024-03-20,Clothing,2345,16,79.49
07-02-2024,Home,3456,14,179.99
2024-01-16,Food,4890,37,13.49
24/03/2024,Electronics,1678,9,369.99
2024-02-08,Clothing,2567,,44.49
14-01-2024,Home,3901,6,289.99
2024-03-28,Food,4789,43,6.49
04/02/2024,Electronics,1890,11,459.99
2024-01-10,Clothing,2901,25,59.49
26-03-2024,Home,3234,7,199.49
2024-02-20,Food,4012,34,10.49
12/01/2024,Electronics,1567,8,339.99
2024-03-30,Clothing,2789,22,69.49
19-02-2024,Home,3678,10,229.99
2024-01-24,Food,4345,47,7.49
29/03/2024,Electronics,1456,13,629.99
2024-02-14,Clothing,2012,20,94.99
06-03-2024,Home,3567,9,249.49
2024-01-29,Food,4678,40,11.49
