date,category,product_id,quantity,unit_price
2024-02-10,Electronics,1523,15,299.99
01/25/2024,Clothing,3421,25,45.50
15-03-2024,Home,5678,8,129.99
2024-01-15,Food,7890,30,12.99
03/10/2024,Electronics,2341,,399.99
28-01-2024,Home,6789,5,89.99
01/30/2024,Food,8901,45,8.75
2024-03-05,Electronics,1234,20,549.99
12/02/2024,Clothing,3456,,35.99
18-02-2024,Home,5890,10,199.99
2024-01-22,Food,7123,,15.50
02/14/2024,Electronics,2456,8,449.99
25-01-2024,Clothing,4567,18,52.99
03/15/2024,Food,8234,35,6.99
2024-01-10,Electronics,1567,12,699.99
14/03/2024,Clothing,3678,22,28.50
20-02-2024,Home,5901,15,175.00
2024-03-08,Food,7345,,9.99
01/18/2024,Electronics,2567,25,249.99
2024-02-05,Clothing,4678,,41.99
10-03-2024,Home,6123,7,145.50
02/25/2024,Food,8456,40,11.25
2024-01-28,Electronics,1678,18,379.99
22-01-2024,Clothing,3789,30,33.75
03/20/2024,Home,5234,12,220.00
2024-02-12,Food,7456,28,14.99
01/05/2024,Electronics,2678,,599.99
16-02-2024,Clothing,4789,20,48.50
2024-03-12,Home,6234,9,189.99
05/03/2024,Food,8567,42,7.50
2024-01-20,Electronics,1789,14,429.99
08/01/2024,Home,5345,11,165.00
2024-03-18,Food,7567,38,10.75
02/08/2024,Electronics,2789,22,325.99
12-03-2024,Clothing,4890,26,39.99
2024-01-25,Home,6345,6,195.50
19/02/2024,Food,8678,33,13.50
2024-03-01,Electronics,1890,16,479.99
24-01-2024,Clothing,3901,,44.25
07/03/2024,Home,5456,13,155.00
2024-02-15,Food,7678,29,16.99
01/12/2024,Electronics,2890,10,799.99
2024-03-10,Clothing,4901,24,31.50
18-01-2024,Home,6456,,209.99
26/02/2024,Food,8789,36,8.99
2024-01-08,Electronics,1901,19,359.99
14-02-2024,Clothing,3012,21,46.75
03/22/2024,Home,5567,8,179.99
2024-02-22,Food,7789,44,12.25
29-01-2024,Electronics,2901,,519.99
06/03/2024,Clothing,4012,17,37.50
2024-01-16,Home,6567,14,225.00
2024-03-14,Food,8890,,9.25
02/18/2024,Electronics,1012,23,289.99
21-02-2024,Clothing,3123,27,42.99
2024-03-06,Home,5678,10,185.50
11/01/2024,Food,7890,31,11.75
2024-02-26,Electronics,2012,13,639.99
17-01-2024,Clothing,3234,,34.99
09/03/2024,Home,5789,12,199.00
2024-01-30,Food,8901,39,15.25
23-02-2024,Electronics,2123,21,449.99
04/03/2024,Clothing,3345,19,29.99
2024-02-08,Home,5890,7,169.99
13/02/2024,Food,8012,46,7.99
2024-03-16,Electronics,2234,11,559.99
27-01-2024,Clothing,3456,28,51.25
01/28/2024,Home,6001,16,214.50
2024-03-04,Food,8123,34,13.99
06/02/2024,Electronics,2345,24,399.99
19-01-2024,Clothing,3567,15,38.75
2024-03-11,Home,6112,9,189.00
11/02/2024,Food,8234,41,10.50
2024-01-14,Electronics,2456,17,469.99
2024-02-29,Clothing,3678,23,43.50
15-01-2024,Home,6223,11,205.99
20/02/2024,Food,8345,37,14.25
2024-03-09,Electronics,2567,20,339.99
05-03-2024,Clothing,3789,26,36.99
01/22/2024,Home,6334,13,195.00
2024-02-16,Food,8456,32,12.75
10-02-2024,Electronics,2678,15,579.99
2024-03-13,Clothing,3890,22,47.25
26/01/2024,Home,6445,8,175.50
2024-02-11,Food,8567,43,9.50
17-02-2024,Electronics,2789,18,419.99
2024-03-07,Clothing,3901,29,40.00
02/28/2024,Home,6556,10,229.99
2024-01-26,Food,8678,35,11.99
13-03-2024,Electronics,2890,14,489.99
07/02/2024,Clothing,4012,20,33.25
2024-03-17,Home,6667,12,189.50
21/01/2024,Food,8789,40,8.50
