date,category,product_id,quantity,unit_price
2024-01-15,Electronics,1523,5,299.99
03/22/2024,Clothing,3421,12,45.50
18-02-2024,Home,5632,3,150.75
2024-01-22,Food,7845,25,12.99
15-03-2024,Electronics,2341,,199.99
03/15/2024,Home,6721,15,89.99
22-01-2024,Food,8934,30,8.50
2024-03-05,Electronics,1876,2,599.99
02/28/2024,Clothing,3654,,35.99
11-02-2024,Home,5943,20,125.00
2024-01-30,Food,7234,45,5.99
03/10/2024,Clothing,4123,18,52.75
2024-02-18,Home,6234,7,215.50
19-01-2024,Food,8456,,15.25
2024-03-12,Electronics,1654,4,449.99
01/25/2024,Clothing,3987,22,28.99
25-02-2024,Home,5421,10,175.00
2024-02-05,Food,7632,35,9.75
08-03-2024,Electronics,2543,,349.99
03/20/2024,Home,6543,5,95.50
14-01-2024,Food,8123,40,7.99
2024-03-08,Electronics,1932,3,699.99
02/15/2024,Clothing,3210,25,41.25
20-02-2024,Home,5876,,189.99
2024-01-25,Food,7891,28,11.50
12-03-2024,Electronics,2654,6,525.00
28-02-2024,Home,6109,12,145.75
2024-02-22,Food,8567,32,13.99
10-01-2024,Electronics,1765,8,399.99
01/30/2024,Clothing,3543,19,38.50
16-02-2024,Home,5234,,225.00
2024-03-15,Food,7456,42,6.99
2024-01-12,Clothing,4321,16,55.99
24-01-2024,Home,6987,9,165.50
03/18/2024,Food,8234,38,10.25
2024-02-28,Electronics,1432,,449.00
13-02-2024,Clothing,3876,21,33.75
2024-03-10,Home,5678,11,195.99
06-01-2024,Food,7123,29,14.50
18-03-2024,Electronics,2198,5,575.00
29-01-2024,Home,6432,13,135.25
2024-02-16,Food,8765,36,8.99
11-03-2024,Electronics,1598,4,625.99
03/25/2024,Clothing,3198,23,46.99
21-02-2024,Home,5987,8,205.00
2024-01-28,Food,7987,,12.75
09-03-2024,Electronics,2321,7,475.50
04-03-2024,Home,6765,6,155.99
26-01-2024,Food,8432,33,9.50
2024-03-20,Electronics,1876,3,549.99
01/20/2024,Clothing,3765,20,39.99
17-02-2024,Home,5123,,185.75
2024-01-08,Food,7654,41,11.99
14-03-2024,Electronics,2987,9,399.00
23-02-2024,Home,6876,14,175.50
2024-02-20,Food,8198,37,7.50
06-03-2024,Electronics,1234,2,799.99
2024-01-16,Clothing,3432,,44.25
27-02-2024,Home,5765,18,215.00
03/08/2024,Food,7321,31,13.25
2024-03-18,Electronics,2109,5,525.00
02/10/2024,Clothing,4987,24,36.50
19-02-2024,Home,6234,10,165.99
2024-01-24,Food,8876,43,6.75
13-03-2024,Electronics,1654,6,449.99
03/28/2024,Clothing,3109,19,49.99
30-01-2024,Home,5432,12,195.25
2024-02-26,Food,7765,34,10.99
10-03-2024,Electronics,2543,4,599.00
2024-01-20,Clothing,4123,22,42.75
05-02-2024,Home,6543,9,155.50
15-03-2024,Food,8234,39,8.25
2024-03-22,Electronics,1987,7,675.00
01/28/2024,Clothing,3654,16,37.99
24-02-2024,Home,5876,11,225.75
2024-02-14,Food,7432,44,9.99
