G1,G2,G3,G4,G5,G6,G7,G8
0.248,0.289,-0.626,0.215,-0.417,0.863,-0.415,0.477
-0.138,0.092,0.689,0.643,-0.501,0.234,0.128,-0.234
0.496,-0.234,0.234,-0.089,0.892,-0.456,0.567,0.891
-0.623,0.456,-0.891,0.234,0.123,0.789,-0.234,0.345
0.138,-0.089,0.456,-0.567,0.234,-0.123,0.891,-0.567
0.749,0.234,-0.234,0.891,-0.789,0.456,-0.089,0.234
-0.415,0.567,0.891,-0.234,0.456,0.234,0.567,-0.891
0.289,-0.891,0.123,0.567,-0.234,0.891,-0.456,0.123
-0.501,0.234,-0.567,0.123,0.891,-0.234,0.234,0.567
0.863,0.891,-0.123,-0.891,0.567,0.123,-0.891,0.234
0.092,-0.456,0.234,0.456,-0.123,0.567,0.123,-0.456
-0.234,0.123,0.567,-0.234,0.234,-0.891,0.456,0.891
0.456,0.789,-0.891,0.891,-0.456,0.234,-0.234,0.123
-0.089,-0.234,0.123,0.234,0.891,-0.567,0.891,-0.234
0.234,0.456,-0.456,-0.567,0.123,0.891,-0.123,0.456
0.567,-0.123,0.891,0.123,-0.891,0.456,0.789,-0.891
-0.891,0.891,-0.234,-0.456,0.567,-0.123,0.234,0.567
0.123,0.234,0.456,0.789,-0.234,0.234,-0.567,0.234
0.891,-0.567,-0.123,0.234,0.456,-0.456,0.123,-0.123
-0.456,0.123,0.789,-0.891,0.789,0.567,-0.891,0.891
0.789,-0.891,0.234,0.567,-0.567,0.123,0.456,-0.234
-0.234,0.456,-0.567,0.123,0.123,-0.234,0.234,0.456
0.345,0.234,0.123,-0.234,0.891,0.789,-0.789,0.123
-0.567,-0.123,-0.891,0.456,0.234,0.234,0.567,-0.567
0.678,0.567,0.456,0.891,-0.123,-0.891,0.123,0.789
-0.123,0.891,0.234,-0.567,0.567,0.456,-0.456,0.234
0.456,-0.234,-0.456,0.234,-0.891,0.123,0.891,-0.891
0.234,0.123,0.789,0.567,0.456,-0.567,0.234,0.456
-0.891,0.789,-0.123,-0.234,0.234,0.891,-0.123,0.123
0.567,-0.456,0.567,0.123,-0.456,0.234,0.567,-0.456
0.123,0.234,-0.234,-0.891,0.789,0.567,0.891,0.789
-0.456,-0.891,0.891,0.456,0.123,-0.234,-0.234,0.234
0.789,0.567,0.123,0.234,-0.567,0.123,0.456,-0.123
-0.234,0.123,-0.567,0.789,0.891,-0.891,0.123,0.567
0.891,-0.234,0.456,-0.123,0.234,0.456,-0.567,0.891
0.234,0.456,0.234,0.891,-0.891,0.789,0.234,-0.234
-0.567,0.891,-0.891,0.234,0.567,-0.123,0.789,0.123
0.456,-0.123,0.567,-0.567,0.123,0.234,-0.234,-0.891
-0.123,0.234,0.123,0.123,-0.234,0.567,0.567,0.456
0.789,0.567,-0.456,0.891,0.456,-0.891,0.123,0.234
0.123,-0.891,0.891,-0.234,0.789,0.123,-0.456,-0.567
-0.456,0.234,0.234,0.567,-0.123,0.456,0.891,0.123
0.567,0.123,-0.123,0.456,0.567,-0.234,0.234,0.789
0.234,-0.567,0.789,-0.891,0.234,0.891,-0.891,0.456
-0.891,0.891,0.456,0.234,-0.567,0.123,0.567,-0.234
0.345,0.234,-0.234,-0.456,0.891,0.567,0.123,0.891
-0.234,-0.123,0.567,0.789,0.123,-0.234,-0.567,0.234
0.678,0.456,0.891,0.123,-0.891,0.789,0.456,-0.123
0.123,-0.234,0.234,-0.567,0.456,0.234,0.891,0.567
-0.567,0.789,-0.891,0.456,0.234,-0.891,0.234,0.123
0.456,0.123,0.567,0.234,-0.456,0.567,-0.123,-0.456
0.891,-0.456,-0.234,-0.123,0.789,0.123,0.789,0.789
-0.123,0.567,0.123,0.891,0.567,-0.567,0.456,0.234
0.234,0.234,0.456,0.567,-0.234,0.234,-0.234,-0.891
0.567,-0.891,-0.567,-0.234,0.123,0.891,0.123,0.456
-0.891,0.123,0.789,0.123,0.891,0.456,0.567,0.123
0.789,0.891,0.234,0.456,-0.567,-0.123,-0.891,-0.567
0.345,-0.234,-0.123,-0.891,0.234,0.789,0.234,0.891
-0.456,0.567,0.891,0.789,0.456,0.234,0.567,0.234
0.123,0.123,0.567,0.234,-0.123,-0.567,0.123,-0.234
0.789,-0.567,0.234,-0.567,0.789,0.123,-0.456,0.567
-0.234,0.891,-0.891,0.123,0.234,0.456,0.891,0.123
0.456,0.234,0.456,0.891,-0.891,0.891,0.234,-0.891
0.567,-0.123,0.123,0.567,0.567,-0.234,-0.123,0.456
-0.123,0.456,-0.567,-0.234,0.123,0.567,0.789,0.234
0.891,0.789,0.234,0.456,-0.456,0.123,0.456,-0.567
0.234,-0.891,0.891,-0.891,0.891,-0.891,-0.567,0.123
-0.567,0.234,0.567,0.234,0.234,0.456,0.123,0.789
0.678,0.567,-0.234,0.567,-0.567,0.789,0.891,0.456
0.123,-0.123,0.123,-0.123,0.789,0.234,-0.234,-0.234
-0.891,0.891,0.789,0.891,0.456,-0.567,0.567,0.567
0.456,0.234,-0.456,0.234,0.123,0.123,0.234,0.891
0.234,-0.567,0.567,-0.567,-0.891,0.891,-0.891,0.234
-0.234,0.123,0.234,0.123,0.567,0.567,0.456,-0.123
0.789,0.891,-0.891,0.789,0.234,-0.234,0.123,0.456
0.567,-0.234,0.456,0.456,-0.123,0.456,0.789,-0.891
-0.123,0.456,0.123,-0.234,0.891,0.789,0.567,0.567
0.345,0.789,-0.567,0.567,0.567,0.123,-0.456,0.234
-0.456,0.234,0.891,-0.891,0.234,-0.891,0.234,-0.567
0.891,-0.891,0.234,0.234,-0.567,0.234,0.123,0.123
0.123,0.567,-0.123,0.123,0.123,0.567,-0.234,0.789
-0.567,0.123,0.789,0.891,0.456,-0.123,0.891,0.456
0.234,-0.456,0.567,0.567,-0.891,0.891,0.567,-0.234
0.789,0.234,0.234,-0.234,0.789,0.456,-0.123,0.891
-0.234,0.891,-0.891,0.456,0.234,-0.567,0.456,0.234
0.456,0.123,0.456,0.789,-0.456,0.234,0.789,-0.123
0.567,-0.567,0.123,0.234,0.567,0.891,0.234,0.567
-0.891,0.789,-0.234,-0.567,0.123,0.123,-0.891,0.123
0.123,0.234,0.567,0.123,0.891,-0.234,0.567,-0.456
0.678,-0.123,0.891,0.891,-0.234,0.567,0.123,0.789
-0.234,0.456,0.234,0.567,0.456,0.234,-0.567,0.234
0.891,0.891,-0.567,-0.234,-0.123,-0.891,0.891,-0.891
0.234,0.234,0.123,0.456,0.789,0.456,0.234,0.456
-0.567,-0.891,0.789,0.789,0.567,0.789,-0.456,0.123
0.456,0.567,0.456,-0.123,0.234,0.123,0.123,-0.567
0.123,-0.234,-0.234,0.234,-0.891,0.567,0.789,0.891
-0.123,0.123,0.891,0.567,0.567,-0.234,0.456,0.234
0.789,0.891,0.567,-0.891,0.123,0.123,-0.234,-0.234
0.345,-0.567,0.234,0.123,0.891,0.891,0.567,0.567
-0.456,0.234,-0.123,0.891,-0.567,0.567,0.123,0.123
0.567,0.789,0.789,0.234,0.234,-0.123,-0.891,-0.891
0.234,0.123,0.234,-0.567,-0.123,0.234,0.234,0.456
-0.891,-0.456,-0.891,0.456,0.456,0.789,0.789,0.789
0.123,0.567,0.567,0.123,0.789,0.456,0.567,0.234
0.891,0.891,0.123,0.789,-0.234,-0.891,-0.123,-0.567
-0.234,-0.234,0.891,0.891,0.567,0.567,0.456,0.123
0.456,0.123,0.456,-0.234,0.123,0.234,-0.567,-0.456
0.789,-0.891,-0.567,0.567,-0.891,0.123,0.891,0.789
-0.567,0.234,0.234,0.234,0.456,-0.567,0.234,0.567
0.234,0.567,0.789,-0.123,0.234,0.891,-0.234,0.234
0.678,-0.123,0.567,0.891,0.789,0.456,0.123,-0.123
-0.123,0.891,-0.234,0.456,-0.567,0.234,0.567,0.891
0.567,0.456,0.123,-0.891,0.123,-0.123,0.891,0.456
0.123,-0.567,0.891,0.567,0.891,0.567,-0.456,-0.234
-0.891,0.234,0.234,0.234,0.567,0.891,0.234,0.123
0.456,0.123,-0.891,-0.567,-0.234,0.234,0.567,0.789
0.234,0.789,0.567,0.123,0.123,-0.567,0.123,0.456
-0.234,0.567,0.456,0.891,0.456,0.123,-0.891,-0.567
0.891,-0.234,0.123,0.234,-0.891,0.891,0.456,0.234
0.345,0.123,-0.567,-0.456,0.567,0.567,0.789,0.891
-0.567,0.891,0.789,0.789,0.234,-0.234,0.234,0.567
0.789,0.234,0.234,0.567,-0.123,0.456,-0.567,0.234
0.123,-0.891,-0.123,-0.234,0.891,0.789,0.123,-0.123
-0.456,0.567,0.891,0.123,0.567,0.234,0.891,0.456
0.567,0.234,0.567,0.891,-0.456,-0.891,0.567,0.789
0.234,-0.123,0.234,0.456,0.789,0.567,-0.234,0.234
-0.891,0.456,-0.891,-0.567,0.234,0.123,0.456,-0.567
0.456,0.789,0.567,0.234,0.123,0.891,0.789,0.123
0.123,0.234,0.123,-0.123,-0.891,0.456,0.123,0.567
0.789,-0.567,0.891,0.567,0.567,-0.234,-0.456,0.891
-0.234,0.123,0.456,0.789,0.234,0.123,0.567,0.234
0.678,0.891,-0.234,-0.891,-0.567,0.789,0.234,-0.891
0.567,0.567,0.789,0.456,0.123,0.567,-0.123,0.456
-0.123,-0.234,0.567,0.234,0.891,-0.123,0.891,0.123
0.891,0.456,0.234,-0.567,0.456,0.234,0.456,-0.567
0.234,0.789,-0.891,0.123,-0.234,0.891,-0.891,0.789
-0.567,0.234,0.567,0.891,0.567,0.456,0.234,0.234
0.456,-0.123,0.123,0.567,-0.123,-0.891,0.567,-0.234
0.123,0.567,0.891,-0.234,0.789,0.234,0.123,0.891
-0.891,0.891,0.234,0.456,0.234,0.567,-0.567,0.567
0.789,0.234,-0.567,0.789,-0.891,0.123,0.789,0.234
0.345,-0.891,0.456,-0.123,0.567,-0.567,0.234,-0.123
-0.234,0.567,0.789,0.234,0.123,0.891,-0.123,0.456
0.567,0.123,0.123,0.567,0.891,0.234,0.891,0.789
0.234,-0.567,-0.891,-0.891,0.567,-0.123,0.567,0.234
-0.123,0.891,0.567,0.123,0.234,0.456,-0.234,-0.567
0.456,0.234,0.234,0.891,-0.456,0.789,0.456,0.123
0.789,-0.123,0.891,0.456,0.789,0.567,0.123,0.891
-0.567,0.456,0.567,-0.234,0.123,-0.891,-0.891,0.456
0.123,0.789,-0.234,0.567,-0.891,0.234,0.567,0.234
0.891,0.567,0.123,-0.567,0.456,0.123,-0.456,-0.234
-0.234,-0.234,0.789,0.234,0.234,0.891,0.234,0.567
0.678,0.123,0.456,0.891,-0.567,0.456,0.789,0.123
0.567,0.891,-0.891,0.123,0.123,-0.234,0.567,-0.891
-0.123,0.234,0.234,-0.891,0.891,0.567,-0.123,0.456
0.456,-0.567,0.567,0.567,0.567,0.234,0.891,0.789
0.234,0.123,0.123,0.234,-0.234,-0.567,0.234,0.234
-0.891,0.891,0.891,-0.123,0.789,0.123,-0.567,-0.567
0.789,0.456,0.567,0.456,0.456,0.891,0.456,0.123
0.123,-0.234,-0.234,0.789,-0.123,0.567,0.123,0.891
-0.456,0.567,0.123,0.567,0.234,-0.234,0.891,0.567
0.567,0.234,0.789,-0.567,0.567,0.456,0.567,0.234
0.345,-0.891,0.456,0.123,-0.891,0.789,-0.234,-0.123
-0.234,0.123,0.234,0.891,0.123,0.234,0.123,0.456
0.891,0.789,-0.891,0.234,0.891,-0.891,0.789,0.789
0.234,0.567,0.567,-0.567,0.567,0.567,0.456,0.234
-0.567,-0.123,0.123,0.456,0.234,0.123,-0.891,-0.567
0.456,0.456,0.891,0.789,-0.456,0.891,0.234,0.123
0.123,0.789,0.234,0.234,0.789,0.456,0.567,0.891
-0.891,0.234,-0.567,-0.123,0.123,-0.234,0.123,0.456
0.789,-0.891,0.456,0.567,-0.891,0.567,-0.567,0.234
0.678,0.567,0.789,0.891,0.567,0.234,0.891,-0.234
-0.234,0.123,0.567,0.456,0.234,0.891,0.234,0.567
0.567,-0.567,-0.234,-0.891,-0.567,0.567,-0.123,0.123
0.234,0.891,0.123,0.234,0.123,-0.234,0.456,-0.891
-0.123,0.234,0.891,0.567,0.891,0.123,0.789,0.456
0.456,-0.123,0.456,0.123,0.456,0.567,0.567,0.789
0.891,0.567,-0.891,0.891,-0.234,0.891,-0.234,0.234
-0.567,0.789,0.234,0.234,0.567,-0.567,0.123,-0.567
0.123,0.234,0.567,-0.567,0.789,0.234,0.891,0.123
0.789,0.891,0.123,0.123,0.234,0.456,0.456,0.891
0.345,-0.234,0.891,0.891,-0.123,-0.891,-0.567,0.567
-0.456,0.567,0.234,0.567,0.567,0.234,0.234,0.234
0.567,0.123,-0.567,-0.234,0.891,0.567,0.567,-0.234
0.234,-0.891,0.789,0.456,0.456,0.123,-0.891,0.123
-0.891,0.456,0.567,0.789,-0.567,0.891,0.456,0.789
0.456,0.789,0.123,-0.123,0.123,0.567,0.123,0.456
0.123,0.234,-0.891,0.234,0.789,-0.234,0.789,-0.567
-0.234,-0.567,0.567,0.567,0.234,0.123,0.234,0.234
0.789,0.123,0.234,-0.891,-0.891,0.891,-0.123,0.891
0.678,0.891,0.891,0.456,0.567,0.456,0.891,0.567
-0.567,0.567,0.456,0.123,0.123,-0.567,0.567,0.234
0.891,-0.234,-0.234,0.789,0.891,0.234,-0.456,-0.123
0.234,0.123,0.123,0.234,0.567,0.789,0.234,0.456
-0.123,0.891,0.789,-0.567,-0.234,0.567,0.567,0.789
0.456,0.234,0.567,0.123,0.456,-0.123,0.123,0.234
0.567,-0.891,0.234,0.891,0.789,0.891,-0.891,-0.567
-0.891,0.567,-0.891,0.567,0.234,0.234,0.456,0.123
0.123,0.123,0.456,-0.234,-0.567,0.567,0.789,0.891
0.789,0.891,0.789,0.456,0.123,0.123,0.234,0.567
0.345,-0.234,0.234,0.789,0.891,-0.891,-0.567,0.234
-0.456,0.567,-0.567,0.234,0.567,0.456,0.123,-0.234
0.567,0.123,0.123,-0.891,0.234,0.789,0.891,0.123
0.234,0.789,0.891,0.567,-0.123,0.234,0.567,0.789
-0.234,0.456,0.567,0.123,0.891,-0.567,-0.234,0.456
0.891,-0.891,0.234,0.891,0.456,0.123,0.456,0.234
