employee_id,years_experience,education_level,department,gender,age,salary
1001,5,2,TECH,M,28,52000.00
1002,12,3,TECH,F,35,78000.00
1003,2,1,ADMIN,F,24,35000.00
1004,18,4,TECH,M,42,120000.00
1005,8,2,SALES,M,31,62000.00
1006,3,1,ADMIN,F,25,35000.00
1007,22,3,EXEC,M,48,150000.00
1008,15,3,TECH,M,39,95000.00
1009,6,2,SALES,F,29,48000.00
1010,1,1,ADMIN,M,23,35000.00
1011,25,4,EXEC,M,52,150000.00
1012,10,2,TECH,F,33,68000.00
1013,4,2,SALES,M,27,45000.00
1014,7,2,TECH,M,30,58000.00
1015,3,1,ADMIN,F,26,35000.00
1016,20,3,EXEC,F,46,135000.00
1017,9,2,SALES,M,32,61000.00
1018,14,3,TECH,F,38,85000.00
1019,2,1,ADMIN,M,24,36000.00
1020,28,4,EXEC,M,55,150000.00
1021,11,2,TECH,M,34,72000.00
1022,5,2,SALES,F,28,47000.00
1023,1,1,ADMIN,F,22,35000.00
1024,16,3,TECH,M,40,98000.00
1025,8,2,SALES,M,31,59000.00
1026,4,1,ADMIN,F,27,38000.00
1027,23,3,EXEC,M,50,150000.00
1028,13,3,TECH,F,37,82000.00
1029,6,2,SALES,M,29,52000.00
1030,2,1,ADMIN,F,25,35000.00
1031,19,4,TECH,M,43,125000.00
1032,9,2,SALES,F,32,56000.00
1033,7,2,TECH,M,30,60000.00
1034,3,1,ADMIN,M,26,37000.00
1035,24,3,EXEC,F,51,145000.00
1036,12,3,TECH,M,36,79000.00
1037,5,2,SALES,F,28,46000.00
1038,1,1,ADMIN,F,23,35000.00
1039,17,3,TECH,M,41,102000.00
1040,8,2,SALES,M,31,58000.00
1041,4,2,ADMIN,F,27,40000.00
1042,26,4,EXEC,M,53,150000.00
1043,14,3,TECH,F,38,88000.00
1044,6,2,SALES,M,29,51000.00
1045,2,1,ADMIN,M,24,35000.00
1046,21,3,EXEC,M,47,142000.00
1047,10,2,TECH,M,33,70000.00
1048,5,2,SALES,F,28,48000.00
1049,3,1,ADMIN,F,26,35000.00
1050,15,3,TECH,M,39,92000.00
1051,8,2,SALES,M,31,60000.00
1052,4,1,ADMIN,F,27,39000.00
1053,27,4,EXEC,F,54,150000.00
1054,13,3,TECH,F,37,84000.00
1055,6,2,SALES,M,29,53000.00
1056,1,1,ADMIN,F,22,35000.00
1057,18,3,TECH,M,42,105000.00
1058,9,2,SALES,F,32,57000.00
1059,7,2,TECH,M,30,62000.00
1060,3,1,ADMIN,M,26,36000.00
1061,22,3,EXEC,M,49,150000.00
1062,11,2,TECH,F,34,73000.00
1063,5,2,SALES,M,28,50000.00
1064,2,1,ADMIN,F,25,35000.00
