userId,itemId,rating
1,5,4.5
1,23,3.0
1,47,4.0
1,68,3.5
1,82,4.5
1,91,5.0
2,5,5.0
2,12,4.0
2,28,3.5
2,47,2.5
2,59,4.0
2,73,3.0
2,88,4.5
3,12,4.0
3,34,3.5
3,56,4.5
3,71,3.0
3,89,4.0
4,8,3.5
4,19,4.0
4,33,3.0
4,45,4.5
4,62,3.5
4,78,4.0
4,94,3.5
5,3,4.5
5,17,3.5
5,29,4.0
5,44,3.0
5,58,4.5
5,72,4.0
5,85,3.5
6,11,3.0
6,26,4.0
6,41,3.5
6,55,4.5
6,69,3.0
7,7,4.0
7,22,3.5
7,38,4.5
7,53,3.0
7,67,4.0
7,81,3.5
7,96,4.0
8,14,3.5
8,30,4.0
8,46,3.0
8,61,4.5
8,77,3.5
9,4,4.0
9,18,3.5
9,35,4.5
9,50,3.0
9,64,4.0
9,79,3.5
10,9,3.0
10,24,4.0
10,40,3.5
10,56,4.5
10,70,4.0
10,86,3.5
11,2,4.5
11,16,3.0
11,31,4.0
11,48,3.5
11,63,4.5
12,13,3.5
12,27,4.0
12,42,3.0
12,57,4.5
12,74,3.5
13,6,4.0
13,21,3.5
13,37,4.5
13,52,3.0
13,68,4.0
14,10,3.5
14,25,4.0
14,39,3.0
14,54,4.5
14,71,3.5
15,15,4.0
15,32,3.5
15,49,4.5
15,65,3.0
15,80,4.0
16,1,3.0
16,20,4.0
16,36,3.5
16,51,4.5
16,66,4.0
17,8,3.5
17,23,4.0
17,43,3.0
17,60,4.5
17,75,3.5
18,5,4.0
18,19,3.5
18,34,4.5
18,50,3.0
18,67,4.0
19,12,3.5
19,28,4.0
19,44,3.0
19,59,4.5
19,76,3.5
20,3,4.0
20,17,3.5
20,33,4.5
20,48,3.0
20,64,4.0
21,7,3.0
21,22,4.0
21,38,3.5
21,55,4.5
21,71,4.0
22,11,3.5
22,26,4.0
22,41,3.0
22,58,4.5
22,73,3.5
23,14,4.0
23,30,3.5
23,46,4.5
23,62,3.0
23,79,4.0
24,4,3.5
24,18,4.0
24,35,3.0
24,51,4.5
24,68,3.5
25,9,4.0
25,24,3.5
25,40,4.5
25,56,3.0
25,72,4.0
26,2,3.0
26,16,4.0
26,31,3.5
26,47,4.5
26,63,4.0
27,13,3.5
27,27,4.0
27,42,3.0
27,57,4.5
27,74,3.5
28,6,4.0
28,21,3.5
28,37,4.5
28,53,3.0
28,69,4.0
29,10,3.5
29,25,4.0
29,39,3.0
29,54,4.5
29,70,3.5
30,15,4.0
30,32,3.5
30,49,4.5
30,65,3.0
30,81,4.0
31,1,3.0
31,20,4.0
31,36,3.5
31,52,4.5
31,67,4.0
32,8,3.5
32,23,4.0
32,43,3.0
32,60,4.5
32,76,3.5
33,5,4.0
33,19,3.5
33,34,4.5
33,50,3.0
33,66,4.0
34,12,3.5
34,28,4.0
34,44,3.0
34,59,4.5
34,75,3.5
35,3,4.0
35,17,3.5
35,33,4.5
35,48,3.0
35,64,4.0
36,7,3.0
36,22,4.0
36,38,3.5
36,55,4.5
36,71,4.0
37,11,3.5
37,26,4.0
37,41,3.0
37,58,4.5
37,73,3.5
38,14,4.0
38,30,3.5
38,46,4.5
38,62,3.0
38,78,4.0
39,4,3.5
39,18,4.0
39,35,3.0
39,51,4.5
39,68,3.5
40,9,4.0
40,24,3.5
40,40,4.5
40,56,3.0
40,72,4.0
41,2,2.5
41,16,3.5
41,31,4.0
41,47,3.0
41,63,4.5
42,13,3.5
42,27,4.0
42,42,2.5
42,57,4.5
42,74,3.0
43,6,4.0
43,21,3.5
43,37,4.5
