Id,Name,AccountId,Amount,Stage,CloseDate,Probability,Type
006XX000005DGd1QAG,Enterprise License Deal,001XX000003DGb2QAG,350000.00,Closed Won,2023-09-20,100,New Business
006XX000005DGd2QAG,Cloud Migration Project,001XX000003DGb2QAG,275000.00,Closed Won,2023-08-15,100,New Business
006XX000005DGd3QAG,Security Platform Upgrade,001XX000003DGb2QAG,180000.00,Closed Won,2023-07-10,100,Existing Business
006XX000005DGd4QAG,Data Analytics Suite,001XX000003DGb3QAG,425000.50,Closed Won,2023-10-05,100,New Business
006XX000005DGd5QAG,AI Integration Services,001XX000003DGb3QAG,200000.00,Closed Won,2023-11-12,100,New Business
006XX000005DGd6QAG,Digital Transformation,001XX000003DGb4QAG,650000.00,Closed Won,2023-06-22,100,New Business
006XX000005DGd7QAG,Customer Portal Development,001XX000003DGb4QAG,125000.00,Closed Won,2023-09-30,100,Existing Business
006XX000005DGd8QAG,Mobile App Platform,001XX000003DGb5QAG,320000.00,Closed Won,2023-08-25,100,New Business
006XX000005DGd9QAG,Marketing Automation,001XX000003DGb5QAG,195000.00,Closed Won,2023-10-18,100,New Business
006XX000005DGd0QAG,ERP Implementation,001XX000003DGb6QAG,875000.00,Closed Won,2023-07-14,100,New Business
006XX000005DGe1QAG,CRM Expansion,001XX000003DGb7QAG,145000.00,Closed Won,2023-09-08,100,Existing Business
006XX000005DGe2QAG,Infrastructure Modernization,001XX000003DGb7QAG,420000.00,Closed Won,2023-11-20,100,New Business
006XX000005DGe3QAG,Cybersecurity Assessment,001XX000003DGb8QAG,85000.00,Closed Won,2023-08-03,100,New Business
006XX000005DGe4QAG,Compliance Solution,001XX000003DGb9QAG,255000.00,Closed Won,2023-10-11,100,New Business
006XX000005DGe5QAG,Business Intelligence Tool,001XX000003DGb9QAG,310000.00,Closed Won,2023-09-25,100,New Business
006XX000005DGe6QAG,Workflow Automation,001XX000003DGc0QAG,175000.00,Closed Won,2023-07-28,100,Existing Business
006XX000005DGe7QAG,Integration Services,001XX000003DGc1QAG,95000.00,Closed Won,2023-11-05,100,New Business
006XX000005DGe8QAG,Training Program,001XX000003DGc2QAG,45000.00,Closed Won,2023-08-19,100,Professional Services
006XX000005DGe9QAG,System Migration,001XX000003DGc3QAG,520000.00,Closed Won,2023-10-22,100,New Business
006XX000005DGf0QAG,Support Package Renewal,001XX000003DGc3QAG,125000.00,Closed Won,2023-09-15,100,Renewal
006XX000005DGf1QAG,Platform Extension,001XX000003DGc4QAG,380000.00,Closed Won,2023-07-05,100,Existing Business
006XX000005DGf2QAG,API Development,001XX000003DGc4QAG,215000.00,Closed Won,2023-11-28,100,New Business
006XX000005DGf3QAG,Healthcare Portal,001XX000003DGc5QAG,495000.00,Closed Won,2023-08-12,100,New Business
006XX000005DGf4QAG,Patient Management System,001XX000003DGc5QAG,340000.00,Closed Won,2023-10-07,100,New Business
006XX000005DGf5QAG,Financial Dashboard,001XX000003DGc6QAG,285000.00,Closed Won,2023-09-01,100,New Business
006XX000005DGf6QAG,Risk Management Tool,001XX000003DGc6QAG,365000.00,Closed Won,2023-11-14,100,New Business
006XX000005DGf7QAG,Small Consulting Project,001XX000003DGc7QAG,35000.00,Closed Won,2023-07-20,100,Professional Services
006XX000005DGf8QAG,Technology Assessment,001XX000003DGc8QAG,55000.00,Closed Won,2023-08-28,100,New Business
006XX000005DGf9QAG,Cloud Storage Solution,001XX000003DGc9QAG,125000.00,Closed Won,2023-10-16,100,New Business
006XX000005DGg0QAG,Backup System,001XX000003DGc9QAG,85000.00,Closed Won,2023-09-22,100,Existing Business
006XX000005DGg1QAG,Network Upgrade,001XX000003DGd0QAG,445000.00,Closed Won,2023-11-09,100,New Business
006XX000005DGg2QAG,Security Monitoring,001XX000003DGd0QAG,195000.00,Closed Won,2023-08-07,100,New Business
006XX000005DGg3QAG,Email Marketing Platform,001XX000003DGd1QAG,165000.00,Closed Won,2023-10-03,100,New Business
006XX000005DGg4QAG,Content Management System,001XX000003DGd2QAG,225000.00,Closed Won,2023-09-18,100,New Business
006XX000005DGg5QAG,E-commerce Solution,001XX000003DGd2QAG,385000.00,Closed Won,2023-07-25,100,New Business
006XX000005DGg6QAG,Payment Gateway Integration,001XX000003DGd3QAG,145000.00,Closed Won,2023-11-21,100,New Business
