timestamp,snapshot_id,volume_id,elapsed_seconds,progress_percent,volume_read_iops,volume_write_iops,snapshot_throughput_mbps,volume_queue_depth,cpu_usage_percent,memory_usage_percent,network_throughput_mbps
2024-01-15 08:00:00,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,0,0,1245,456,85,4,23,45,125
2024-01-15 08:00:30,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,30,5,1298,489,88,5,25,46,132
2024-01-15 08:01:00,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,60,12,1312,501,92,6,27,47,138
2024-01-15 08:01:30,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,90,18,1289,478,89,5,26,48,135
2024-01-15 08:02:00,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,120,25,1301,492,91,5,28,49,140
2024-01-15 08:02:30,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,150,32,1278,465,87,4,24,48,128
2024-01-15 08:03:00,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,180,40,1295,481,90,5,26,49,136
2024-01-15 08:03:30,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,210,48,1310,495,93,6,29,50,142
2024-01-15 08:04:00,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,240,56,1287,472,88,5,25,49,134
2024-01-15 08:04:30,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,270,65,1305,488,91,5,27,50,139
2024-01-15 08:05:00,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,300,73,1292,479,89,5,26,51,137
2024-01-15 08:05:30,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,330,82,1308,491,92,6,28,51,141
2024-01-15 08:06:00,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,360,91,1281,468,86,4,24,50,130
2024-01-15 08:06:30,snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,390,100,1265,445,84,3,22,49,125
2024-01-15 08:10:00,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,0,0,2845,1876,45,18,58,62,185
2024-01-15 08:10:30,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,30,3,2912,1923,42,19,61,64,178
2024-01-15 08:11:00,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,60,5,2987,1989,38,21,64,66,172
2024-01-15 08:11:30,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,90,7,3045,2034,35,22,67,68,165
2024-01-15 08:12:00,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,120,8,3128,2101,32,24,71,70,158
2024-01-15 08:12:30,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,150,8,3201,2178,28,26,74,71,152
2024-01-15 08:13:00,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,180,8,3289,2245,25,28,77,72,148
2024-01-15 08:13:30,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,210,9,3356,2301,23,29,79,73,145
2024-01-15 08:14:00,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,240,9,3412,2367,21,30,81,74,142
2024-01-15 08:14:30,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,270,10,3478,2423,19,31,82,75,138
2024-01-15 08:15:00,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,300,10,3534,2489,18,32,83,75,135
2024-01-15 08:15:30,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,330,10,3598,2545,16,32,84,74,132
2024-01-15 08:16:00,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,360,11,3645,2601,15,32,85,74,128
2024-01-15 08:16:30,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,390,11,3701,2656,14,32,84,73,125
2024-01-15 08:17:00,snap-0b2c3d4e5f6g7,vol-2b3c4d5e6f7g8,420,11,3756,2712,13,32,83,72,122
2024-01-15 09:00:00,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,0,0,1567,823,125,8,34,51,245
2024-01-15 09:00:30,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,30,8,1589,845,128,9,36,52,248
2024-01-15 09:01:00,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,60,16,1612,867,132,10,38,53,252
2024-01-15 09:01:30,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,90,24,1634,889,135,11,39,54,256
2024-01-15 09:02:00,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,120,33,1656,901,138,11,41,55,260
2024-01-15 09:02:30,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,150,42,1678,923,142,12,43,56,265
2024-01-15 09:03:00,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,180,51,1701,945,145,13,45,57,268
2024-01-15 09:03:30,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,210,60,1723,967,148,13,46,58,272
2024-01-15 09:04:00,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,240,69,1745,989,151,14,48,59,275
2024-01-15 09:04:30,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,270,78,1767,1001,154,14,49,60,278
2024-01-15 09:05:00,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,300,88,1789,1023,157,15,51,61,282
2024-01-15 09:05:30,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,330,97,1801,1045,160,15,52,62,285
2024-01-15 09:06:00,snap-0c3d4e5f6g7h8,vol-3c4d5e6f7g8h9,360,100,1823,1067,162,16,53,62,288
2024-01-15 09:30:00,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,0,0,3876,2234,52,23,69,67,195
2024-01-15 09:30:30,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,30,2,3923,2301,48,24,72,68,188
2024-01-15 09:31:00,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,60,4,3989,2367,45,25,74,69,182
2024-01-15 09:31:30,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,90,6,4045,2423,42,26,76,70,176
2024-01-15 09:32:00,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,120,7,4101,2489,39,27,78,71,170
2024-01-15 09:32:30,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,150,7,4167,2556,36,28,80,72,164
2024-01-15 09:33:00,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,180,7,4234,2612,33,29,81,73,158
2024-01-15 09:33:30,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,210,7,4289,2678,31,30,82,73,153
2024-01-15 09:34:00,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,240,8,4345,2745,29,31,83,74,148
2024-01-15 09:34:30,snap-0d4e5f6g7h8i9,vol-4d5e6f7g8h9i0,270,8,4401,2801,27,31,84,74,143
