customer_id,transaction_date,amount,category
1001,2023-01-02,125.50,Electronics
1002,2023-01-02,45.99,Food
1003,2023-01-03,89.99,Clothing
1004,2023-01-03,210.00,Electronics
1005,2023-01-04,34.50,Books
1006,2023-01-04,156.75,Home
1007,2023-01-05,67.80,Food
1008,2023-01-05,299.99,Electronics
1009,2023-01-06,78.25,Sports
1010,2023-01-06,45.00,Books
1011,2023-01-07,134.99,Clothing
1012,2023-01-07,23.50,Food
1013,2023-01-08,189.00,Home
1014,2023-01-08,456.75,Electronics
1015,2023-01-09,92.30,Sports
1016,2023-01-09,67.50,Clothing
1017,2023-01-10,145.00,Electronics
1018,2023-01-10,28.99,Food
1019,2023-01-11,234.50,Home
1020,2023-01-11,89.99,Sports
1021,2023-01-12,45.75,Books
1022,2023-01-12,178.25,Clothing
1023,2023-01-13,99.99,Electronics
1024,2023-01-13,54.30,Food
1025,2023-01-14,267.80,Home
1026,2023-01-14,123.45,Sports
1027,2023-01-15,76.50,Books
1028,2023-01-15,198.99,Clothing
1029,2023-01-16,345.00,Electronics
1030,2023-01-16,41.25,Food
1031,2023-01-17,156.75,Home
1032,2023-01-17,87.90,Sports
1033,2023-01-18,34.99,Books
1034,2023-01-18,245.50,Clothing
1035,2023-01-19,167.80,Electronics
1036,2023-01-19,52.40,Food
1037,2023-01-20,298.75,Home
1038,2023-01-20,110.50,Sports
1039,2023-01-21,63.25,Books
1040,2023-01-21,189.99,Clothing
1041,2023-01-22,423.50,Electronics
1042,2023-01-22,37.80,Food
1043,2023-01-23,176.25,Home
1044,2023-01-23,94.99,Sports
1045,2023-01-24,48.50,Books
1046,2023-01-24,215.75,Clothing
1047,2023-01-25,289.99,Electronics
1048,2023-01-25,56.30,Food
1049,2023-01-26,198.50,Home
1050,2023-01-26,125.80,Sports
1001,2023-01-27,72.25,Books
1002,2023-01-27,167.99,Clothing
1003,2023-01-28,356.00,Electronics
1004,2023-01-28,44.75,Food
1005,2023-01-29,234.50,Home
1006,2023-01-29,98.40,Sports
1007,2023-01-30,51.99,Books
1008,2023-01-30,278.25,Clothing
1009,2023-01-31,189.99,Electronics
1010,2023-01-31,65.50,Food
1011,2023-01-15,145.75,Home
1012,2023-01-16,112.30,Sports
1013,2023-01-17,38.99,Books
1014,2023-01-18,203.50,Clothing
1015,2023-01-19,312.80,Electronics
1016,2023-01-20,47.25,Food
1017,2023-01-21,187.99,Home
1018,2023-01-22,95.60,Sports
1019,2023-01-23,59.75,Books
1020,2023-01-24,224.99,Clothing
1021,2023-01-25,398.50,Electronics
1022,2023-01-26,33.80,Food
1023,2023-01-27,167.25,Home
1024,2023-01-28,108.90,Sports
1025,2023-01-29,42.50,Books
1026,2023-01-30,256.75,Clothing
1027,2023-01-05,178.99,Electronics
1028,2023-01-06,61.30,Food
1029,2023-01-07,289.50,Home
1030,2023-01-08,134.80,Sports
1031,2023-01-09,55.25,Books
1032,2023-01-10,198.99,Clothing
1033,2023-01-11,445.00,Electronics
1034,2023-01-12,39.75,Food
1035,2023-01-13,213.50,Home
1036,2023-01-14,102.40,Sports
1037,2023-01-15,68.99,Books
1038,2023-01-16,245.75,Clothing
1039,2023-01-17,367.80,Electronics
1040,2023-01-18,54.25,Food
1041,2023-01-19,192.99,Home
1042,2023-01-20,117.60,Sports
1043,2023-01-21,46.50,Books
1044,2023-01-22,234.25,Clothing
1045,2023-01-23,298.99,Electronics
1046,2023-01-24,71.80,Food
1047,2023-01-25,156.50,Home
1048,2023-01-26,89.30,Sports
1049,2023-01-27,37.99,Books
1050,2023-01-28,187.75,Clothing
