customer_id,transaction_date,amount,category
1001,2023-03-01,45.99,Electronics
1002,2023-03-01,120.50,Clothing
1003,2023-03-01,35.75,Food
1004,2023-03-02,89.99,Books
1005,2023-03-02,310.00,Home
1006,2023-03-03,67.25,Sports
1007,2023-03-03,145.80,Electronics
1008,2023-03-04,55.40,Food
1009,2023-03-04,200.00,Clothing
1010,2023-03-05,78.90,Books
1011,2023-03-05,165.50,Home
1012,2023-03-06,92.30,Sports
1013,2023-03-06,425.00,Electronics
1014,2023-03-07,48.75,Food
1015,2023-03-07,189.99,Clothing
1016,2023-03-08,112.40,Books
1017,2023-03-08,275.60,Home
1018,2023-03-09,88.20,Sports
1019,2023-03-09,350.00,Electronics
1020,2023-03-10,63.45,Food
1021,2023-03-10,220.80,Clothing
1022,2023-03-11,95.00,Books
1023,2023-03-11,185.30,Home
1024,2023-03-12,140.75,Sports
1025,2023-03-12,299.99,Electronics
1026,2023-03-13,42.10,Food
1027,2023-03-13,175.50,Clothing
1028,2023-03-14,108.60,Books
1029,2023-03-14,245.00,Home
1030,2023-03-15,156.90,Sports
1031,2023-03-15,380.25,Electronics
1032,2023-03-16,71.35,Food
1033,2023-03-16,195.40,Clothing
1034,2023-03-17,125.80,Books
1035,2023-03-17,268.50,Home
1036,2023-03-18,98.70,Sports
1037,2023-03-18,415.00,Electronics
1038,2023-03-19,58.25,Food
1039,2023-03-19,210.60,Clothing
1040,2023-03-20,135.90,Books
1041,2023-03-20,290.00,Home
1042,2023-03-21,172.45,Sports
1043,2023-03-21,325.80,Electronics
1044,2023-03-22,49.90,Food
1045,2023-03-22,185.25,Clothing
1046,2023-03-23,115.70,Books
1047,2023-03-23,255.40,Home
1048,2023-03-24,145.60,Sports
1049,2023-03-24,395.00,Electronics
1050,2023-03-25,66.80,Food
1001,2023-03-25,205.30,Clothing
1002,2023-03-26,128.90,Books
1003,2023-03-26,275.50,Home
1004,2023-03-27,162.20,Sports
1005,2023-03-27,340.75,Electronics
1006,2023-03-28,52.60,Food
1007,2023-03-28,198.40,Clothing
1008,2023-03-29,142.10,Books
1009,2023-03-29,285.00,Home
1010,2023-03-30,178.85,Sports
1011,2023-03-30,405.50,Electronics
1012,2023-03-31,74.20,Food
1013,2023-03-31,215.90,Clothing
1014,2023-03-01,95.50,Books
1015,2023-03-02,235.75,Home
1016,2023-03-03,148.30,Sports
1017,2023-03-04,365.00,Electronics
1018,2023-03-05,61.45,Food
1019,2023-03-06,192.80,Clothing
1020,2023-03-07,118.60,Books
1021,2023-03-08,260.40,Home
1022,2023-03-09,155.70,Sports
1023,2023-03-10,385.25,Electronics
1024,2023-03-11,68.90,Food
1025,2023-03-12,208.50,Clothing
1026,2023-03-13,132.40,Books
1027,2023-03-14,295.60,Home
1028,2023-03-15,168.80,Sports
1029,2023-03-16,420.00,Electronics
1030,2023-03-17,56.75,Food
1031,2023-03-18,188.90,Clothing
1032,2023-03-19,122.30,Books
1033,2023-03-20,248.70,Home
1034,2023-03-21,152.45,Sports
1035,2023-03-22,335.80,Electronics
1036,2023-03-23,64.50,Food
1037,2023-03-24,201.20,Clothing
1038,2023-03-25,138.75,Books
1039,2023-03-26,278.90,Home
1040,2023-03-27,165.30,Sports
1041,2023-03-28,398.50,Electronics
1042,2023-03-29,72.85,Food
1043,2023-03-30,218.40,Clothing
1044,2023-03-31,145.20,Books
