customer_id,transaction_date,amount,category
1001,2023-02-01,45.99,Food
1002,2023-02-01,129.99,Electronics
1003,2023-02-01,89.50,Clothing
1004,2023-02-01,34.99,Books
1005,2023-02-01,199.99,Home
1006,2023-02-02,67.50,Sports
1007,2023-02-02,299.99,Electronics
1008,2023-02-02,45.00,Food
1009,2023-02-02,120.00,Clothing
1010,2023-02-03,89.99,Clothing
1011,2023-02-03,15.99,Books
1012,2023-02-03,78.50,Food
1013,2023-02-03,450.00,Electronics
1014,2023-02-04,220.00,Home
1015,2023-02-04,89.99,Sports
1016,2023-02-04,34.50,Food
1017,2023-02-05,145.00,Clothing
1018,2023-02-05,67.99,Books
1019,2023-02-05,299.00,Electronics
1020,2023-02-06,199.50,Home
1021,2023-02-06,56.00,Food
1022,2023-02-06,120.99,Sports
1023,2023-02-07,89.00,Clothing
1024,2023-02-07,499.99,Electronics
1025,2023-02-07,45.50,Books
1026,2023-02-08,78.99,Food
1027,2023-02-08,189.00,Home
1028,2023-02-09,134.50,Sports
1029,2023-02-09,99.99,Clothing
1030,2023-02-10,249.99,Electronics
1031,2023-02-10,23.50,Books
1032,2023-02-10,56.99,Food
1033,2023-02-11,345.00,Home
1034,2023-02-11,112.50,Clothing
1035,2023-02-12,89.99,Sports
1036,2023-02-12,178.00,Electronics
1037,2023-02-13,45.99,Food
1038,2023-02-13,67.50,Books
1039,2023-02-14,199.50,Electronics
1040,2023-02-14,289.00,Home
1041,2023-02-15,78.99,Clothing
1042,2023-02-15,34.50,Food
1043,2023-02-16,156.00,Sports
1044,2023-02-16,99.99,Books
1045,2023-02-17,234.50,Electronics
1046,2023-02-17,123.00,Home
1047,2023-02-18,89.50,Clothing
1048,2023-02-18,45.00,Food
1049,2023-02-19,167.99,Sports
1050,2023-02-19,299.99,Electronics
1001,2023-02-20,56.50,Food
1002,2023-02-20,189.00,Home
1003,2023-02-20,134.99,Clothing
1004,2023-02-21,29.99,Books
1005,2023-02-21,399.00,Electronics
1006,2023-02-22,78.50,Sports
1007,2023-02-22,45.99,Food
1008,2023-02-23,245.00,Home
1009,2023-02-23,112.50,Clothing
1010,2023-02-24,67.99,Books
1011,2023-02-24,178.99,Electronics
1012,2023-02-25,89.00,Sports
1013,2023-02-25,34.50,Food
1014,2023-02-26,267.00,Home
1015,2023-02-26,156.50,Clothing
1016,2023-02-27,45.00,Books
1017,2023-02-27,299.99,Electronics
1018,2023-02-28,123.50,Sports
1019,2023-02-28,56.99,Food
1020,2023-02-01,189.00,Home
1021,2023-02-02,99.99,Clothing
1022,2023-02-03,234.50,Electronics
1023,2023-02-04,45.99,Food
1024,2023-02-05,78.50,Books
1025,2023-02-06,167.00,Sports
1026,2023-02-07,345.00,Home
1027,2023-02-08,112.99,Clothing
1028,2023-02-09,199.99,Electronics
1029,2023-02-10,56.50,Food
1030,2023-02-11,89.99,Books
1031,2023-02-12,145.00,Sports
1032,2023-02-13,289.00,Home
1033,2023-02-14,134.50,Clothing
1034,2023-02-15,399.99,Electronics
1035,2023-02-16,67.99,Food
1036,2023-02-17,45.50,Books
1037,2023-02-18,178.00,Sports
1038,2023-02-19,267.50,Home
1039,2023-02-20,123.00,Clothing
1040,2023-02-21,299.00,Electronics
1041,2023-02-22,78.99,Food
1042,2023-02-23,34.99,Books
1043,2023-02-24,189.50,Sports
1044,2023-02-25,456.00,Home
1045,2023-02-26,145.99,Clothing
1046,2023-02-27,234.00,Electronics
1047,2023-02-28,89.50,Food
1048,2023-02-01,156.00,Books
1049,2023-02-02,112.50,Sports
1050,2023-02-03,378.99,Home
