timestamp,source_ip,destination_ip,protocol,destination_port
2024-01-15 09:00:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:00:45,10.0.1.12,10.0.3.50,TCP,80
2024-01-15 09:01:23,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:01:56,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:02:34,10.0.1.22,10.0.3.51,TCP,443
2024-01-15 09:03:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:03:45,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:04:23,10.0.1.33,172.16.1.10,TCP,8080
2024-01-15 09:04:56,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:05:34,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:06:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:06:45,10.0.1.45,10.0.3.50,TCP,80
2024-01-15 09:07:23,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:07:56,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:08:34,10.0.1.22,10.0.2.100,TCP,5432
2024-01-15 09:09:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:09:45,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:10:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:10:56,10.0.1.33,10.0.3.51,TCP,443
2024-01-15 09:11:34,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:12:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:12:45,10.0.1.56,172.16.1.10,TCP,22
2024-01-15 09:13:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:13:56,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:14:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:15:12,10.0.1.22,10.0.3.50,TCP,80
2024-01-15 09:15:45,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:16:23,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:16:56,10.0.1.45,10.0.2.100,TCP,6379
2024-01-15 09:17:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:18:12,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:18:45,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:19:23,10.0.1.33,10.0.3.51,TCP,443
2024-01-15 09:19:56,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:20:34,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:21:12,10.0.1.22,172.16.1.10,UDP,53
2024-01-15 09:21:45,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:22:23,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:22:56,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:23:34,10.0.1.56,10.0.3.50,TCP,80
2024-01-15 09:24:12,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:24:45,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:25:23,10.0.1.45,10.0.3.51,TCP,443
2024-01-15 09:25:56,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:26:34,10.0.1.12,10.0.2.100,TCP,3306
2024-01-15 09:27:12,10.0.1.15,10.0.2.100,TCP,3306
2024-01-15 09:27:45,10.0.1.33,172.16.1.10,TCP,8080
2024-01-15 09:28:23,10.0.1.8,10.0.2.100,TCP,3306
2024-01-15 09:28:56,10.0.1.15,10.0.2.100,TCP,3306
