snapshot_id,volume_id,volume_size_gb,volume_type,start_time,completion_time,duration_seconds,status,change_rate_gb,iops,throughput_mbps
snap-0a1b2c3d4e5f6,vol-1a2b3c4d5e6f7,500,gp2,2024-01-15 08:15:23,2024-01-15 08:25:45,622,completed,45.2,1500,250
snap-0b2c3d4e5f6a7,vol-2b3c4d5e6f7a8,800,gp2,2024-01-15 09:20:10,2024-01-15 09:36:25,975,timeout,89.5,2400,250
snap-0c3d4e5f6a7b8,vol-3c4d5e6f7a8b9,350,gp3,2024-01-15 10:05:33,2024-01-15 10:13:18,465,completed,22.1,3000,500
snap-0d4e5f6a7b8c9,vol-4d5e6f7a8b9c0,1200,gp2,2024-01-15 11:30:42,2024-01-15 11:48:55,1093,timeout,112.3,3600,250
snap-0e5f6a7b8c9d0,vol-5e6f7a8b9c0d1,600,io1,2024-01-15 12:15:20,2024-01-15 12:22:45,445,completed,38.7,8000,600
snap-0f6a7b8c9d0e1,vol-6f7a8b9c0d1e2,450,gp3,2024-01-15 13:45:15,2024-01-15 13:56:30,675,completed,35.8,4000,600
snap-1a7b8c9d0e1f2,vol-7a8b9c0d1e2f3,900,gp2,2024-01-15 14:20:05,2024-01-15 14:38:12,1087,timeout,95.4,2700,250
snap-1b8c9d0e1f2a3,vol-8b9c0d1e2f3a4,200,gp3,2024-01-15 15:10:28,2024-01-15 15:16:55,387,completed,8.5,3000,400
snap-1c9d0e1f2a3b4,vol-9c0d1e2f3a4b5,1500,io2,2024-01-15 16:05:40,2024-01-15 16:14:22,522,completed,72.3,16000,800
snap-1d0e1f2a3b4c5,vol-0d1e2f3a4b5c6,750,gp2,2024-01-16 08:30:15,2024-01-16 08:47:45,1050,timeout,78.9,2250,250
snap-1e1f2a3b4c5d6,vol-1e2f3a4b5c6d7,400,gp3,2024-01-16 09:15:22,2024-01-16 09:24:18,536,completed,28.4,3500,550
snap-1f2a3b4c5d6e7,vol-2f3a4b5c6d7e8,1000,gp2,2024-01-16 10:20:50,2024-01-16 10:39:25,1115,timeout,105.7,3000,250
snap-2a3b4c5d6e7f8,vol-3a4b5c6d7e8f9,550,io1,2024-01-16 11:45:30,2024-01-16 11:53:15,465,completed,42.1,10000,700
snap-2b4c5d6e7f8a9,vol-4b5c6d7e8f9a0,300,gp3,2024-01-16 12:30:10,2024-01-16 12:38:45,515,completed,18.2,3000,450
snap-2c5d6e7f8a9b0,vol-5c6d7e8f9a0b1,850,gp2,2024-01-16 13:15:25,2024-01-16 13:33:50,1105,timeout,92.6,2550,250
snap-2d6e7f8a9b0c1,vol-6d7e8f9a0b1c2,650,gp3,2024-01-16 14:05:40,2024-01-16 14:17:22,702,completed,48.3,4500,650
snap-2e7f8a9b0c1d2,vol-7e8f9a0b1c2d3,1800,io2,2024-01-16 15:20:15,2024-01-16 15:29:48,573,completed,88.5,20000,1000
snap-2f8a9b0c1d2e3,vol-8f9a0b1c2d3e4,450,gp2,2024-01-16 16:10:30,2024-01-16 16:26:15,945,timeout,62.4,1350,250
snap-3a9b0c1d2e3f4,vol-9a0b1c2d3e4f5,700,gp3,2024-01-17 08:15:45,2024-01-17 08:27:30,705,completed,52.7,5000,700
snap-3b0c1d2e3f4a5,vol-0b1c2d3e4f5a6,950,gp2,2024-01-17 09:30:20,2024-01-17 09:48:35,1095,timeout,98.2,2850,250
snap-3c1d2e3f4a5b6,vol-1c2d3e4f5a6b7,350,io1,2024-01-17 10:15:10,2024-01-17 10:21:55,405,completed,24.6,7000,550
snap-3d2e3f4a5b6c7,vol-2d3e4f5a6b7c8,600,gp3,2024-01-17 11:20:35,2024-01-17 11:31:18,643,completed,44.9,4000,600
