timestamp,energy_kwh,day_of_week,hour
2024-08-26 00:00:00,32.4,0,0
2024-08-26 01:00:00,28.7,0,1
2024-08-26 02:00:00,26.3,0,2
2024-08-26 03:00:00,25.8,0,3
2024-08-26 04:00:00,27.1,0,4
2024-08-26 05:00:00,29.5,0,5
2024-08-26 06:00:00,35.2,0,6
2024-08-26 07:00:00,48.3,0,7
2024-08-26 08:00:00,62.7,0,8
2024-08-26 09:00:00,78.4,0,9
2024-08-26 10:00:00,85.2,0,10
2024-08-26 11:00:00,88.9,0,11
2024-08-26 12:00:00,87.3,0,12
2024-08-26 13:00:00,89.6,0,13
2024-08-26 14:00:00,91.2,0,14
2024-08-26 15:00:00,86.5,0,15
2024-08-26 16:00:00,82.1,0,16
2024-08-26 17:00:00,74.8,0,17
2024-08-26 18:00:00,58.3,0,18
2024-08-26 19:00:00,52.6,0,19
2024-08-26 20:00:00,49.2,0,20
2024-08-26 21:00:00,46.8,0,21
2024-08-26 22:00:00,41.5,0,22
2024-08-26 23:00:00,36.9,0,23
2024-08-27 00:00:00,31.8,1,0
2024-08-27 01:00:00,29.2,1,1
2024-08-27 02:00:00,27.4,1,2
2024-08-27 03:00:00,26.1,1,3
2024-08-27 04:00:00,28.3,1,4
2024-08-27 05:00:00,30.7,1,5
2024-08-27 06:00:00,36.8,1,6
2024-08-27 07:00:00,49.7,1,7
2024-08-27 08:00:00,64.2,1,8
2024-08-27 09:00:00,79.8,1,9
2024-08-27 10:00:00,84.6,1,10
2024-08-27 11:00:00,90.3,1,11
2024-08-27 12:00:00,88.7,1,12
2024-08-27 13:00:00,87.9,1,13
2024-08-27 14:00:00,92.4,1,14
2024-08-27 15:00:00,85.3,1,15
2024-08-27 16:00:00,81.7,1,16
2024-08-27 17:00:00,73.2,1,17
2024-08-27 18:00:00,57.9,1,18
2024-08-27 19:00:00,51.4,1,19
2024-08-27 20:00:00,48.6,1,20
2024-08-27 21:00:00,45.3,1,21
2024-08-27 22:00:00,40.8,1,22
2024-08-27 23:00:00,35.6,1,23
2024-08-28 00:00:00,32.1,2,0
2024-08-28 01:00:00,28.9,2,1
2024-08-28 02:00:00,26.8,2,2
2024-08-28 03:00:00,25.4,2,3
2024-08-28 04:00:00,27.8,2,4
2024-08-28 05:00:00,30.2,2,5
2024-08-28 06:00:00,35.9,2,6
2024-08-28 07:00:00,48.9,2,7
2024-08-28 08:00:00,63.5,2,8
2024-08-28 09:00:00,77.6,2,9
2024-08-28 10:00:00,86.1,2,10
2024-08-28 11:00:00,89.7,2,11
2024-08-28 12:00:00,86.4,2,12
2024-08-28 13:00:00,88.2,2,13
2024-08-28 14:00:00,90.8,2,14
2024-08-28 15:00:00,87.1,2,15
2024-08-28 16:00:00,83.4,2,16
2024-08-28 17:00:00,75.6,2,17
2024-08-28 18:00:00,59.1,2,18
2024-08-28 19:00:00,53.2,2,19
2024-08-28 20:00:00,49.8,2,20
2024-08-28 21:00:00,46.1,2,21
2024-08-28 22:00:00,42.3,2,22
2024-08-28 23:00:00,37.2,2,23
2024-08-29 00:00:00,33.2,3,0
2024-08-29 01:00:00,29.6,3,1
2024-08-29 02:00:00,27.1,3,2
2024-08-29 03:00:00,26.5,3,3
2024-08-29 04:00:00,28.1,3,4
2024-08-29 05:00:00,30.9,3,5
2024-08-29 06:00:00,36.4,3,6
2024-08-29 07:00:00,49.5,3,7
2024-08-29 08:00:00,64.8,3,8
2024-08-29 09:00:00,80.2,3,9
2024-08-29 10:00:00,85.8,3,10
2024-08-29 11:00:00,91.5,3,11
2024-08-29 12:00:00,89.1,3,12
2024-08-29 13:00:00,90.4,3,13
2024-08-29 14:00:00,93.2,3,14
2024-08-29 15:00:00,88.3,3,15
2024-08-29 16:00:00,84.2,3,16
2024-08-29 17:00:00,76.4,3,17
2024-08-29 18:00:00,60.3,3,18
2024-08-29 19:00:00,54.1,3,19
2024-08-29 20:00:00,50.3,3,20
2024-08-29 21:00:00,47.2,3,21
2024-08-29 22:00:00,43.1,3,22
2024-08-29 23:00:00,38.4,3,23
2024-08-30 00:00:00,32.8,4,0
2024-08-30 01:00:00,29.3,4,1
2024-08-30 02:00:00,27.6,4,2
2024-08-30 03:00:00,26.2,4,3
2024-08-30 04:00:00,27.5,4,4
2024-08-30 05:00:00,30.4,4,5
2024-08-30 06:00:00,35.7,4,6
2024-08-30 07:00:00,48.6,4,7
2024-08-30 08:00:00,63.9,4,8
2024-08-30 09:00:00,78.9,4,9
2024-08-30 10:00:00,84.3,4,10
2024-08-30 11:00:00,88.6,4,11
2024-08-30 12:00:00,87.8,4,12
2024-08-30 13:00:00,89.3,4,13
2024-08-30 14:00:00,91.7,4,14
2024-08-30 15:00:00,86.9,4,15
2024-08-30 16:00:00,82.8,4,16
2024-08-30 17:00:00,74.3,4,17
2024-08-30 18:00:00,58.7,4,18
2024-08-30 19:00:00,52.9,4,19
2024-08-30 20:00:00,49.5,4,20
2024-08-30 21:00:00,46.4,4,21
2024-08-30 22:00:00,41.9,4,22
2024-08-30 23:00:00,37.6,4,23
2024-08-31 00:00:00,26.7,5,0
2024-08-31 01:00:00,24.3,5,1
2024-08-31 02:00:00,22.9,5,2
2024-08-31 03:00:00,21.5,5,3
2024-08-31 04:00:00,23.1,5,4
2024-08-31 05:00:00,25.8,5,5
2024-08-31 06:00:00,29.4,5,6
2024-08-31 07:00:00,38.2,5,7
2024-08-31 08:00:00,48.6,5,8
2024-08-31 09:00:00,58.3,5,9
2024-08-31 10:00:00,64.7,5,10
2024-08-31 11:00:00,68.2,5,11
2024-08-31 12:00:00,66.9,5,12
2024-08-31 13:00:00,67.8,5,13
2024-08-31 14:00:00,69.4,5,14
2024-08-31 15:00:00,65.3,5,15
2024-08-31 16:00:00,61.8,5,16
2024-08-31 17:00:00,56.2,5,17
2024-08-31 18:00:00,44.7,5,18
2024-08-31 19:00:00,40.3,5,19
2024-08-31 20:00:00,37.6,5,20
2024-08-31 21:00:00,35.2,5,21
2024-08-31 22:00:00,32.4,5,22
2024-08-31 23:00:00,29.1,5,23
2024-09-01 00:00:00,25.3,6,0
2024-09-01 01:00:00,23.8,6,1
2024-09-01 02:00:00,22.1,6,2
2024-09-01 03:00:00,21.2,6,3
2024-09-01 04:00:00,22.6,6,4
2024-09-01 05:00:00,24.9,6,5
2024-09-01 06:00:00,28.7,6,6
2024-09-01 07:00:00,37.5,6,7
2024-09-01 08:00:00,47.8,6,8
2024-09-01 09:00:00,57.6,6,9
2024-09-01 10:00:00,63.9,6,10
2024-09-01 11:00:00,67.4,6,11
2024-09-01 12:00:00,66.1,6,12
2024-09-01 13:00:00,68.3,6,13
2024-09-01 14:00:00,70.2,6,14
2024-09-01 15:00:00,66.7,6,15
2024-09-01 16:00:00,62.4,6,16
2024-09-01 17:00:00,57.8,6,17
2024-09-01 18:00:00,45.9,6,18
2024-09-01 19:00:00,41.7,6,19
2024-09-01 20:00:00,38.9,6,20
2024-09-01 21:00:00,36.4,6,21
2024-09-01 22:00:00,33.6,6,22
2024-09-01 23:00:00,30.2,6,23
2024-09-02 00:00:00,31.9,0,0
2024-09-02 01:00:00,28.5,0,1
2024-09-02 02:00:00,26.7,0,2
2024-09-02 03:00:00,25.9,0,3
2024-09-02 04:00:00,27.4,0,4
2024-09-02 05:00:00,29.8,0,5
2024-09-02 06:00:00,35.6,0,6
2024-09-02 07:00:00,48.7,0,7
2024-09-02 08:00:00,63.2,0,8
2024-09-02 09:00:00,79.1,0,9
2024-09-02 10:00:00,85.7,0,10
2024-09-02 11:00:00,89.3,0,11
2024-09-02 12:00:00,88.1,0,12
2024-09-02 13:00:00,90.2,0,13
2024-09-02 14:00:00,92.6,0,14
2024-09-02 15:00:00,87.8,0,15
2024-09-02 16:00:00,83.6,0,16
2024-09-02 17:00:00,75.3,0,17
2024-09-02 18:00:00,59.4,0,18
2024-09-02 19:00:00,53.8,0,19
2024-09-02 20:00:00,50.1,0,20
2024-09-02 21:00:00,47.6,0,21
2024-09-02 22:00:00,42.7,0,22
2024-09-02 23:00:00,38.1,0,23
2024-09-03 00:00:00,32.6,1,0
2024-09-03 01:00:00,29.1,1,1
2024-09-03 02:00:00,27.3,1,2
2024-09-03 03:00:00,26.4,1,3
2024-09-03 04:00:00,28.2,1,4
2024-09-03 05:00:00,30.6,1,5
2024-09-03 06:00:00,36.1,1,6
2024-09-03 07:00:00,49.3,1,7
2024-09-03 08:00:00,64.5,1,8
2024-09-03 09:00:00,80.5,1,9
2024-09-03 10:00:00,86.4,1,10
2024-09-03 11:00:00,90.8,1,11
2024-09-03 12:00:00,89.4,1,12
2024-09-03 13:00:00,88.6,1,13
2024-09-03 14:00:00,93.1,1,14
2024-09-03 15:00:00,88.7,1,15
2024-09-03 16:00:00,84.9,1,16
2024-09-03 17:00:00,76.8,1,17
2024-09-03 18:00:00,60.7,1,18
2024-09-03 19:00:00,54.6,1,19
2024-09-03 20:00:00,50.9,1,20
2024-09-03 21:00:00,47.8,1,21
2024-09-03 22:00:00,43.4,1,22
2024-09-03 23:00:00,38.7,1,23
2024-09-04 00:00:00,33.1,2,0
2024-09-04 01:00:00,29.8,2,1
2024-09-04 02:00:00,27.9,2,2
2024-09-04 03:00:00,26.8,2,3
2024-09-04 04:00:00,28.6,2,4
2024-09-04 05:00:00,31.1,2,5
2024-09-04 06:00:00,36.6,2,6
2024-09-04 07:00:00,49.8,2,7
2024-09-04 08:00:00,64.1,2,8
2024-09-04 09:00:00,78.3,2,9
2024-09-04 10:00:00,85.9,2,10
2024-09-04 11:00:00,90.1,2,11
2024-09-04 12:00:00,87.6,2,12
2024-09-04 13:00:00,89.8,2,13
2024-09-04 14:00:00,91.4,2,14
2024-09-04 15:00:00,86.4,2,15
2024-09-04 16:00:00,82.3,2,16
2024-09-04 17:00:00,74.7,2,17
2024-09-04 18:00:00,58.6,2,18
2024-09-04 19:00:00,52.4,2,19
2024-09-04 20:00:00,48.9,2,20
2024-09-04 21:00:00,45.7,2,21
2024-09-04 22:00:00,41.6,2,22
2024-09-04 23:00:00,36.8,2,23
2024-09-05 00:00:00,32.3,3,0
2024-09-05 01:00:00,28.8,3,1
2024-09-05 02:00:00,26.9,3,2
2024-09-05 03:00:00,25.7,3,3
2024-09-05 04:00:00,27.9,3,4
2024-09-05 05:00:00,30.3,3,5
2024-09-05 06:00:00,35.8,3,6
2024-09-05 07:00:00,48.4,3,7
2024-09-05 08:00:00,63.7,3,8
2024-09-05 09:00:00,79.6,3,9
2024-09-05 10:00:00,84.9,3,10
2024-09-05 11:00:00,89.9,3,11
2024-09-05 12:00:00,88.3,3,12
2024-09-05 13:00:00,90.7,3,13
2024-09-05 14:00:00,92.9,3,14
2024-09-05 15:00:00,87.6,3,15
2024-09-05 16:00:00,83.9,3,16
2024-09-05 17:00:00,75.9,3,17
2024-09-05 18:00:00,59.8,3,18
2024-09-05 19:00:00,53.7,3,19
2024-09-05 20:00:00,49.7,3,20
2024-09-05 21:00:00,46.9,3,21
2024-09-05 22:00:00,42.8,3,22
2024-09-05 23:00:00,37.9,3,23
2024-09-06 00:00:00,32.9,4,0
2024-09-06 01:00:00,29.4,4,1
2024-09-06 02:00:00,27.2,4,2
2024-09-06 03:00:00,26.3,4,3
2024-09-06 04:00:00,28.4,4,4
2024-09-06 05:00:00,30.8,4,5
2024-09-06 06:00:00,36.3,4,6
2024-09-06 07:00:00,49.1,4,7
2024-09-06 08:00:00,64.3,4,8
2024-09-06 09:00:00,79.4,4,9
2024-09-06 10:00:00,85.5,4,10
2024-09-06 11:00:00,89.5,4,11
2024-09-06 12:00:00,87.9,4,12
2024-09-06 13:00:00,88.9,4,13
2024-09-06 14:00:00,91.9,4,14
2024-09-06 15:00:00,86.7,4,15
2024-09-06 16:00:00,82.6,4,16
2024-09-06 17:00:00,74.9,4,17
2024-09-06 18:00:00,58.9,4,18
2024-09-06 19:00:00,52.7,4,19
2024-09-06 20:00:00,49.3,4,20
2024-09-06 21:00:00,46.6,4,21
2024-09-06 22:00:00,42.1,4,22
2024-09-06 23:00:00,37.3,4,23
2024-09-07 00:00:00,26.4,5,0
2024-09-07 01:00:00,24.1,5,1
2024-09-07 02:00:00,22.6,5,2
2024-09-07 03:00:00,21.8,5,3
2024-09-07 04:00:00,23.4,5,4
2024-09-07 05:00:00,25.6,5,5
2024-09-07 06:00:00,29.8,5,6
2024-09-07 07:00:00,38.7,5,7
2024-09-07 08:00:00,49.2,5,8
2024-09-07 09:00:00,59.1,5,9
2024-09-07 10:00:00,65.3,5,10
2024-09-07 11:00:00,68.9,5,11
2024-09-07 12:00:00,67.3,5,12
2024-09-07 13:00:00,68.6,5,13
2024-09-07 14:00:00,70.8,5,14
2024-09-07 15:00:00,66.1,5,15
2024-09-07 16:00:00,62.7,5,16
2024-09-07 17:00:00,57.4,5,17
2024-09-07 18:00:00,45.3,5,18
2024-09-07 19:00:00,41.1,5,19
2024-09-07 20:00:00,38.2,5,20
2024-09-07 21:00:00,35.8,5,21
2024-09-07 22:00:00,32.9,5,22
2024-09-07 23:00:00,29.6,5,23
2024-09-08 00:00:00,25.8,6,0
2024-09-08 01:00:00,23.6,6,1
2024-09-08 02:00:00,22.3,6,2
2024-09-08 03:00:00,21.4,6,3
2024-09-08 04:00:00,22.9,6,4
2024-09-08 05:00:00,25.2,6,5
2024-09-08 06:00:00,29.1,6,6
2024-09-08 07:00:00,38.1,6,7
2024-09-08 08:00:00,48.4,6,8
2024-09-08 09:00:00,58.8,6,9
2024-09-08 10:00:00,64.6,6,10
2024-09-08 11:00:00,68.1,6,11
2024-09-08 12:00:00,66.7,6,12
2024-09-08 13:00:00,67.9,6,13
2024-09-08 14:00:00,69.6,6,14
2024-09-08 15:00:00,65.8,6,15
2024-09-08 16:00:00,61.9,6,16
2024-09-08 17:00:00,56.9,6,17
2024-09-08 18:00:00,44.8,6,18
2024-09-08 19:00:00,40.8,6,19
2024-09-08 20:00:00,37.8,6,20
2024-09-08 21:00:00,35.6,6,21
2024-09-08 22:00:00,32.7,6,22
2024-09-08 23:00:00,29.8,6,23
2024-09-09 00:00:00,32.7,0,0
2024-09-09 01:00:00,29.7,0,1
2024-09-09 02:00:00,27.8,0,2
2024-09-09 03:00:00,26.6,0,3
2024-09-09 04:00:00,28.7,0,4
2024-09-09 05:00:00,31.3,0,5
2024-09-09 06:00:00,36.9,0,6
2024-09-09 07:00:00,50.2,0,7
2024-09-09 08:00:00,65.1,0,8
2024-09-09 09:00:00,80.7,0,9
2024-09-09 10:00:00,87.3,0,10
2024-09-09 11:00:00,91.2,0,11
2024-09-09 12:00:00,89.8,0,12
2024-09-09 13:00:00,91.4,0,13
2024-09-09 14:00:00,94.2,0,14
2024-09-09 15:00:00,89.1,0,15
2024-09-09 16:00:00,85.3,0,16
2024-09-09 17:00:00,77.1,0,17
2024-09-09 18:00:00,61.2,0,18
2024-09-09 19:00:00,55.3,0,19
2024-09-09 20:00:00,51.7,0,20
2024-09-09 21:00:00,48.9,0,21
2024-09-09 22:00:00,44.2,0,22
2024-09-09 23:00:00,39.3,0,23
2024-09-10 00:00:00,33.4,1,0
2024-09-10 01:00:00,30.2,1,1
2024-09-10 02:00:00,28.3,1,2
2024-09-10 03:00:00,27.1,1,3
2024-09-10 04:00:00,28.9,1,4
2024-09-10 05:00:00,31.7,1,5
