sale_id,product_id,quantity,unit_price,sale_date
1,345,15,25.50,2023-03-15
2,789,8,150.75,2023-07-22
3,123,25,9.99,2023-01-10
4,456,3,399.00,2023-11-05
5,234,12,45.30,2023-02-14
6,678,20,175.50,2023-06-08
7,901,7,89.99,2023-04-21
8,567,18,12.75,2023-09-03
9,890,5,425.00,2023-12-18
10,432,30,35.20,2023-05-27
11,765,9,210.45,2023-08-11
12,198,22,18.60,2023-01-25
13,543,14,95.80,2023-10-09
14,321,6,320.00,2023-03-30
15,876,11,52.40,2023-07-15
16,209,28,8.99,2023-11-22
17,654,4,485.75,2023-02-06
18,387,16,125.30,2023-06-19
19,712,19,41.50,2023-09-28
20,845,13,178.20,2023-04-12
21,156,8,265.90,2023-12-05
22,498,24,22.85,2023-05-16
23,621,10,143.60,2023-08-24
24,734,17,37.40,2023-01-08
25,269,21,195.75,2023-10-31
26,807,5,415.20,2023-03-22
27,945,15,68.90,2023-07-07
28,183,26,14.25,2023-11-14
29,572,7,225.50,2023-02-19
30,419,12,82.15,2023-06-02
31,658,9,350.00,2023-09-16
32,796,23,29.99,2023-04-29
33,324,14,162.40,2023-12-10
34,861,6,47.80,2023-05-05
35,507,18,118.65,2023-08-18
36,145,11,288.30,2023-01-31
37,683,20,19.50,2023-10-14
38,928,8,205.90,2023-03-08
39,256,16,55.25,2023-07-29
40,794,4,445.00,2023-11-02
41,431,25,31.70,2023-02-23
42,569,13,185.20,2023-06-26
43,812,10,73.45,2023-09-09
44,347,22,14.80,2023-04-16
45,975,7,310.60,2023-12-23
46,218,19,92.30,2023-05-20
47,654,15,38.90,2023-08-03
48,793,5,220.75,2023-01-14
49,486,12,165.40,2023-10-27
50,521,9,42.60,2023-03-19
51,867,24,8.50,2023-07-12
52,139,17,275.85,2023-11-25
53,745,8,127.20,2023-02-08
54,392,14,49.95,2023-06-14
55,628,11,395.00,2023-09-21
56,951,21,26.35,2023-04-04
57,284,6,188.50,2023-12-16
58,763,18,64.70,2023-05-11
59,415,13,315.25,2023-08-29
60,597,10,17.40,2023-01-22
61,836,23,142.90,2023-10-06
62,179,16,78.80,2023-03-27
63,724,7,235.60,2023-07-19
64,468,20,33.15,2023-11-08
65,901,5,410.00,2023-02-15
66,253,15,97.50,2023-06-22
67,642,12,46.25,2023-09-13
68,785,9,198.75,2023-04-25
69,396,22,21.90,2023-12-07
70,519,8,325.40,2023-05-29
71,874,19,59.60,2023-08-14
72,231,14,155.80,2023-01-19
73,657,6,285.20,2023-10-21
74,793,11,12.65,2023-03-13
75,428,17,175.95,2023-07-26
76,965,24,87.35,2023-11-18
77,182,13,365.00,2023-02-27
78,546,10,28.50,2023-06-09
79,819,20,132.70,2023-09-24
80,374,7,71.40,2023-04-18
81,691,16,245.85,2023-12-29
82,927,5,39.80,2023-05-07
83,254,18,192.30,2023-08-21
84,638,12,54.95,2023-01-27
85,715,9,298.60,2023-10-13
86,849,21,16.75,2023-03-06
87,483,8,168.45,2023-07-03
88,126,15,91.20,2023-11-27
89,597,23,335.90,2023-02-12
90,764,11,24.60,2023-06-17
91,931,14,215.75,2023-09-30
92,285,6,63.85,2023-04-07
93,672,19,148.20,2023-12-21
94,819,10,44.50,2023-05-23
95,943,22,380.00,2023-08-08
96,376,7,27.95,2023-01-05
97,528,17,178.60,2023-10-25
98,651,13,102.40,2023-03-17
99,794,5,255.30,2023-07-31
100,217,20,35.75,2023-11-11
101,869,9,195.85,2023-02-03
102,435,16,58.20,2023-06-28
103,592,12,425.50,2023-09-06
104,748,8,19.40,2023-04-22
105,913,24,162.95,2023-12-14
106,361,14,76.60,2023-05-18
107,684,11,308.20,2023-08-26
108,827,6,41.30,2023-01-12
109,159,18,188.75,2023-10-19
110,746,21,93.50,2023-03-24
111,493,7,270.40,2023-07-09
112,625,15,32.85,2023-11-30
113,958,10,152.60,2023-02-21
114,274,13,67.95,2023-06-05
115,831,19,345.00,2023-09-18
116,516,5,23.70,2023-04-13
117,679,22,198.25,2023-12-03
118,742,9,85.40,2023-05-26
119,395,16,315.80,2023-08-12
120,618,12,29.50,2023-01-29
121,851,8,172.35,2023-10-08
122,294,20,48.90,2023-03-11
123,467,14,235.70,2023-07-24
124,735,6,16.25,2023-11-20
125,982,17,185.50,2023-02-09
126,226,11,96.75,2023-06-21
127,543,23,405.00,2023-09-11
128,879,7,37.60,2023-04-26
129,314,15,208.90,2023-12-19
130,697,10,62.30,2023-05-13
