V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
-1.23,2.45,-0.87,1.34,-2.11,0.56,1.78,-0.92,0.45,-1.67,2.31,-0.78,1.45,-0.34,0.89,-1.23,0.67,-0.45,1.12,-0.78,0.34,-1.56,0.91,-0.23,1.67,-0.89,0.45,-1.12,149.62,0
0.98,-1.45,0.67,-2.34,1.22,-0.78,0.45,1.89,-0.56,0.34,-1.12,0.89,-0.45,1.67,-0.23,0.78,-1.34,0.56,-0.89,1.23,-0.67,0.45,-1.78,0.34,0.91,-1.45,0.67,-0.34,57.32,0
-0.56,1.78,-1.23,0.45,-0.89,2.34,-0.67,0.91,-1.45,0.78,-0.34,1.56,-0.89,0.45,-1.78,0.67,-0.23,1.34,-0.56,0.89,-1.12,0.45,-0.78,1.67,-0.34,0.91,-1.23,0.56,234.18,0
1.45,-0.67,0.89,-1.34,0.56,-0.23,1.78,-0.45,0.91,-1.67,0.34,-0.89,1.23,-0.56,0.78,-1.45,0.34,-0.67,1.89,-0.45,0.78,-1.12,0.56,-0.34,1.45,-0.89,0.67,-0.23,89.75,0
-2.11,0.78,-0.45,1.67,-0.89,0.34,-1.23,0.56,-0.78,1.45,-0.67,0.91,-1.56,0.34,-0.89,1.78,-0.45,0.67,-1.34,0.56,-0.23,1.12,-0.78,0.45,-1.67,0.89,-0.34,1.23,312.45,0
0.67,-1.89,0.45,-0.78,1.34,-0.56,0.89,-1.23,0.67,-0.45,1.78,-0.34,0.91,-1.45,0.56,-0.89,1.67,-0.78,0.34,-1.12,0.45,-0.67,1.89,-0.34,0.78,-1.56,0.45,-0.91,45.90,0
-0.89,1.56,-0.67,0.34,-1.45,0.78,-0.34,1.23,-0.56,0.89,-1.78,0.45,-0.67,1.34,-0.89,0.56,-1.12,0.78,-0.45,1.67,-0.34,0.91,-1.23,0.56,-0.78,1.45,-0.67,0.34,178.23,0
1.78,-0.34,0.91,-1.67,0.45,-0.89,1.34,-0.78,0.56,-1.23,0.67,-0.45,1.89,-0.56,0.78,-1.45,0.34,-0.91,1.56,-0.67,0.45,-1.34,0.78,-0.23,1.12,-0.67,0.89,-0.45,96.54,0
-1.45,0.89,-0.56,1.23,-0.78,0.45,-1.67,0.91,-0.34,1.56,-0.89,0.67,-1.34,0.78,-0.45,1.12,-0.67,0.34,-1.78,0.56,-0.89,1.45,-0.34,0.78,-1.23,0.56,-0.45,0.91,267.89,0
0.34,-1.23,0.78,-0.45,1.67,-0.91,0.56,-1.45,0.89,-0.67,1.34,-0.78,0.45,-1.89,0.67,-0.34,1.23,-0.56,0.89,-1.67,0.45,-0.78,1.56,-0.67,0.34,-1.12,0.78,-0.56,123.67,0
-0.78,1.45,-0.91,0.67,-1.34,0.56,-0.45,1.78,-0.67,0.34,-1.12,0.89,-0.56,1.23,-0.78,0.45,-1.56,0.67,-0.34,1.45,-0.89,0.56,-1.23,0.78,-0.45,1.34,-0.89,0.67,201.34,0
1.12,-0.78,0.45,-1.56,0.89,-0.67,1.34,-0.45,0.78,-1.23,0.56,-0.91,1.67,-0.34,0.89,-1.45,0.67,-0.78,1.23,-0.56,0.45,-1.67,0.91,-0.34,1.56,-0.78,0.45,-0.89,78.91,0
-1.67,0.56,-0.89,1.34,-0.45,0.78,-1.23,0.67,-0.56,1.45,-0.78,0.34,-1.89,0.56,-0.67,1.78,-0.45,0.89,-1.34,0.67,-0.56,1.23,-0.78,0.45,-1.56,0.89,-0.67,0.34,345.12,0
0.89,-1.34,0.67,-0.45,1.56,-0.78,0.45,-1.67,0.91,-0.56,1.23,-0.67,0.34,-1.45,0.78,-0.89,1.34,-0.56,0.67,-1.12,0.45,-0.89,1.78,-0.67,0.34,-1.23,0.89,-0.45,112.56,0
-0.45,1.67,-0.78,0.56,-1.23,0.89,-0.67,1.34,-0.45,0.78,-1.56,0.67,-0.89,1.45,-0.56,0.34,-1.12,0.78,-0.67,1.34,-0.45,0.89,-1.67,0.56,-0.78,1.23,-0.56,0.45,189.78,0
1.34,-0.56,0.89,-1.23,0.67,-0.45,1.78,-0.89,0.56,-1.45,0.78,-0.34,1.12,-0.67,0.45,-1.78,0.89,-0.56,1.23,-0.67,0.78,-1.34,0.45,-0.89,1.56,-0.67,0.34,-0.78,67.23,0
-1.89,0.78,-0.45,1.56,-0.67,0.34,-1.23,0.89,-0.56,1.34,-0.78,0.45,-1.67,0.67,-0.34,1.45,-0.89,0.56,-1.12,0.78,-0.45,1.67,-0.56,0.34,-1.45,0.78,-0.67,0.89,298.45,0
0.56,-1.45,0.78,-0.67,1.23,-0.89,0.45,-1.34,0.67,-0.78,1.56,-0.45,0.89,-1.67,0.56,-0.67,1.34,-0.78,0.45,-1.23,0.89,-0.56,1.45,-0.78,0.67,-1.34,0.56,-0.45,134.89,0
-0.67,1.34,-0.89,0.45,-1.56,0.78,-0.34,1.23,-0.67,0.89,-1.45,0.56,-0.78,1.67,-0.45,0.67,-1.34,0.89,-0.56,1.12,-0.78,0.45,-1.23,0.67,-0.34,1.56,-0.78,0.45,223.67,0
1.23,-0.89,0.56,-1.45,0.78,-0.34,1.67,-0.56,0.89,-1.23,0.45,-0.67,1.34,-0.78,0.56,-1.56,0.67,-0.45,1.89,-0.78,0.34,-1.45,0.67,-0.56,1.23,-0.89,0.78,-0.34,91.23,0
