record_id,filename,size_bytes,created_time,modified_time,deleted_time,is_deleted
1000,desktop.ini,2048,2023-05-10 08:30:15,2023-05-10 08:30:15,,false
1001,confidential_report.docx,125000,2023-11-20 14:22:30,2023-12-15 09:45:12,2024-01-05 16:30:00,true
1002,~temp_file.xlsx,45000,2024-01-02 10:15:00,2024-01-02 10:20:00,2024-01-03 11:00:00,true
1003,cache.tmp,15000,2023-12-20 18:00:00,2023-12-20 18:05:00,2024-01-10 09:00:00,true
1004,financial_summary.xlsx,234000,2023-08-15 11:20:45,2023-12-28 14:35:22,2024-01-08 10:15:30,true
1005,system32.dll,89000,2023-01-05 09:00:00,2023-01-05 09:00:00,,false
1006,explorer.exe,1250000,2023-01-05 09:00:00,2023-01-05 09:00:00,,false
1007,project_plan.docx,78000,2023-09-20 13:45:00,2023-10-15 16:20:00,,false
1008,meeting_notes.txt,12000,2023-12-01 09:30:00,2023-12-01 09:45:00,,false
1009,salary_data.xlsx,156000,2023-07-10 10:15:30,2023-12-20 11:30:45,2024-01-12 15:45:00,true
1010,~tempbackup.docx,98000,2023-12-18 14:00:00,2023-12-18 14:10:00,2024-01-07 09:30:00,true
1011,employee_records.pdf,445000,2023-06-05 08:20:15,2023-12-10 13:25:30,2024-01-02 14:20:00,true
1012,access.log,8500,2023-11-01 00:00:00,2024-01-14 23:59:59,,false
1013,error.log,6200,2023-12-15 12:00:00,2024-01-15 08:00:00,,false
1014,backup.tmp,125000,2023-12-22 18:30:00,2023-12-22 18:45:00,2024-01-11 10:00:00,true
1015,contract_2024.pdf,189000,2023-11-30 16:40:00,2023-12-29 09:15:00,2024-01-09 11:30:00,true
1016,presentation.pptx,520000,2023-10-12 14:20:00,2023-10-25 10:15:00,,false
1017,customer_list.xlsx,67000,2023-08-22 11:35:00,2023-12-18 15:20:00,2024-01-06 16:45:00,true
1018,~autorecovery.tmp,23000,2024-01-01 10:00:00,2024-01-01 10:05:00,2024-01-01 11:00:00,true
1019,internal_memo.docx,34000,2023-12-05 13:25:00,2023-12-05 13:30:00,2024-01-13 14:15:00,true
1020,database_backup.bak,2800000,2023-11-15 22:00:00,2023-11-15 23:30:00,,false
1021,audit_report.pdf,198000,2023-09-18 09:45:00,2023-12-27 10:30:00,2024-01-04 13:20:00,true
1022,notes.txt,5600,2023-12-28 15:00:00,2023-12-28 15:10:00,,false
1023,temp_download.tmp,89000,2023-12-30 11:20:00,2023-12-30 11:25:00,2024-01-14 09:00:00,true
1024,strategic_plan.docx,145000,2023-10-05 10:30:00,2023-12-22 14:45:00,2024-01-10 10:30:00,true
