table_name,n_dead_tup,n_live_tup,last_autovacuum,autovacuum_count
orders,15420,458920,2024-01-15 14:32:18,23
users,8950,125600,2024-01-16 09:15:42,31
products,3200,45800,2024-01-16 03:22:11,18
sessions,425000,850000,,0
transactions,22100,680000,2024-01-15 22:47:33,27
audit_logs,18500,920000,2024-01-16 11:05:29,42
inventory,5600,92000,2024-01-16 08:30:15,19
customer_addresses,12300,215000,2024-01-15 19:12:44,25
payment_methods,2100,38500,2024-01-16 06:45:21,14
shopping_carts,9800,156000,2024-01-16 10:20:37,22
notifications,31200,512000,2024-01-15 17:55:09,35
reviews,6700,89400,2024-01-16 02:18:52,16
