treatment,purchase_amount,age,browsing_time,past_purchases,account_age_days,avg_session_duration
1,245.50,35,180,12,850,45.2
0,98.20,28,45,3,120,15.3
1,310.75,42,220,15,1200,60.1
1,189.30,31,165,9,720,38.5
0,112.40,25,55,2,95,18.7
1,267.80,38,195,13,980,52.3
0,145.60,33,78,5,340,25.6
1,298.50,45,210,14,1150,55.8
1,223.90,29,172,10,680,42.1
0,87.30,24,38,1,80,12.4
1,341.20,48,235,16,1380,65.7
0,126.50,30,68,4,280,22.9
1,276.40,40,198,11,890,48.3
1,198.70,34,158,8,625,36.8
0,109.80,27,52,3,145,17.5
1,315.60,44,225,15,1280,58.9
0,94.20,26,42,2,110,14.2
1,252.30,36,185,12,795,46.7
1,287.90,41,205,13,1020,51.4
0,118.40,29,63,4,215,20.8
1,329.50,46,228,16,1340,62.3
0,102.60,25,48,2,125,16.1
1,264.80,37,192,11,865,49.2
1,211.40,32,168,9,710,40.6
0,91.50,23,40,1,75,13.8
1,302.70,43,218,14,1185,56.5
0,135.20,31,72,5,295,24.3
1,278.60,39,200,12,925,50.1
1,234.80,33,175,10,740,43.9
0,106.90,28,58,3,178,19.4
1,318.40,47,230,15,1310,61.2
0,97.80,24,44,2,105,15.7
1,256.20,35,188,11,820,47.5
1,293.10,42,208,13,1065,53.2
0,121.30,30,66,4,248,22.1
1,336.70,49,232,16,1415,64.8
0,89.40,22,36,1,68,11.9
1,269.50,38,194,12,895,48.9
1,217.60,34,170,9,695,41.3
0,113.70,29,60,3,192,18.6
1,307.80,44,222,14,1220,57.7
0,99.20,26,46,2,115,16.4
1,261.40,36,190,11,845,47.8
1,284.90,40,203,12,985,52.6
0,124.50,31,70,5,268,23.5
1,325.60,45,226,15,1295,59.4
0,95.60,25,43,2,98,14.8
1,273.20,37,196,11,880,49.7
1,228.70,33,173,10,725,42.7
0,108.30,27,56,3,165,19.1
1,312.90,46,224,15,1255,58.3
0,92.80,24,39,1,88,13.2
1,266.10,38,193,12,910,50.4
1,221.50,32,169,9,705,40.9
0,116.20,28,62,4,225,21.3
1,331.80,48,234,16,1365,63.5
0,101.40,23,47,2,120,15.9
1,258.70,35,187,11,805,46.8
1,289.30,41,206,13,1045,52.1
0,119.60,30,64,4,235,21.7
1,321.50,47,229,15,1325,60.6
0,88.90,22,37,1,72,12.6
1,270.80,39,195,12,920,50.8
1,214.20,34,171,10,730,41.8
0,111.50,29,59,3,185,18.9
1,304.60,43,220,14,1195,56.9
0,96.70,25,44,2,108,15.2
1,263.90,36,191,11,860,48.6
1,286.40,42,204,13,1005,51.9
0,122.80,31,68,5,258,22.8
1,327.30,46,227,15,1305,60.1
0,93.50,24,40,1,92,13.7
1,275.60,37,197,12,905,50.2
1,225.10,33,172,9,715,42.4
0,107.20,28,57,3,172,19.8
1,316.70,45,225,14,1245,58.7
0,99.80,26,45,2,112,16.2
1,259.30,35,189,11,830,47.1
1,291.50,40,207,12,1030,52.8
0,120.90,30,65,4,242,22.4
1,334.20,48,231,16,1390,63.9
0,90.60,23,38,1,78,12.8
1,268.40,38,194,11,890,49.5
1,219.80,32,170,9,720,41.5
0,114.60,27,61,3,198,20.2
