feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,is_fraud
45.23,120.45,1.2,35.6,2.3,150.8,0.45,78.9,23.4,56.7,89.1,12.3,45.6,78.9,0.23,0
78.90,230.12,2.1,42.3,1.8,200.5,0.67,92.3,34.5,67.8,90.2,23.4,56.7,89.0,0.34,0
34.56,89.34,0.9,28.9,3.1,98.7,0.34,65.4,19.8,43.2,76.5,9.8,32.1,65.4,0.19,0
123.45,456.78,3.4,89.0,1.5,567.9,0.89,234.5,67.8,123.4,234.5,45.6,78.9,123.4,0.56,0
56.78,178.90,1.7,45.6,2.6,189.3,0.56,87.6,28.9,54.3,87.6,18.9,43.2,76.5,0.28,0
89.01,267.45,2.3,56.7,1.9,278.4,0.78,98.7,39.0,71.2,98.7,27.8,54.3,87.6,0.39,0
23.45,67.89,0.8,19.8,3.4,78.9,0.29,54.3,15.6,32.1,54.3,7.8,21.0,43.2,0.15,0
67.89,198.76,1.9,48.9,2.2,210.9,0.63,91.2,31.2,62.3,91.2,21.0,47.8,81.2,0.31,0
98.76,312.34,2.7,67.8,1.7,334.5,0.84,112.3,45.6,81.2,112.3,33.4,61.2,98.7,0.45,0
43.21,134.56,1.5,37.8,2.8,145.6,0.51,76.5,25.6,51.2,76.5,14.5,38.9,67.8,0.25,0
76.54,245.67,2.2,54.3,2.0,256.7,0.73,101.2,36.7,68.9,101.2,25.6,51.2,84.5,0.36,0
32.10,98.76,1.0,30.1,3.2,109.8,0.39,68.9,20.9,45.6,68.9,10.9,34.5,58.9,0.20,0
87.65,278.90,2.5,61.2,1.8,289.0,0.81,106.7,42.3,74.5,106.7,28.9,56.7,91.2,0.42,0
54.32,167.89,1.8,43.2,2.4,178.9,0.59,84.5,29.0,58.9,84.5,17.8,41.2,73.4,0.29,0
21.09,56.78,0.7,17.8,3.5,67.8,0.26,51.2,14.5,29.0,51.2,6.7,18.9,40.1,0.14,0
65.43,189.01,1.9,46.7,2.3,201.2,0.61,89.0,30.1,60.1,89.0,20.1,45.6,78.9,0.30,0
109.87,345.67,2.9,78.9,1.6,367.8,0.92,123.4,50.1,89.0,123.4,36.7,67.8,109.8,0.50,0
38.90,123.45,1.3,34.5,2.9,134.5,0.47,73.4,23.4,48.9,73.4,13.4,36.7,64.5,0.23,0
72.34,223.45,2.1,51.2,2.1,234.5,0.71,95.6,34.5,65.4,95.6,23.4,50.1,82.3,0.34,0
28.90,87.65,0.9,26.7,3.3,98.7,0.35,62.3,18.9,40.1,62.3,9.8,30.1,54.3,0.18,0
81.23,256.78,2.4,58.9,1.9,267.8,0.79,103.4,39.0,71.2,103.4,26.7,54.3,89.0,0.39,0
47.89,145.67,1.6,40.1,2.7,156.7,0.54,81.2,27.8,54.3,81.2,15.6,40.1,70.1,0.27,0
93.45,289.01,2.6,64.5,1.8,301.2,0.83,109.8,43.2,76.5,109.8,30.1,58.9,95.6,0.43,0
36.78,112.34,1.2,32.1,3.0,123.4,0.43,70.1,21.0,46.7,70.1,12.3,35.6,62.3,0.21,0
68.90,201.23,2.0,48.9,2.2,212.3,0.67,92.3,32.1,62.3,92.3,21.2,47.8,81.2,0.32,0
102.34,323.45,2.8,73.4,1.7,345.6,0.88,118.9,47.8,84.5,118.9,34.5,64.5,106.7,0.47,0
25.67,78.90,0.8,23.4,3.4,89.0,0.32,58.9,17.8,37.8,58.9,8.9,28.9,51.2,0.17,0
59.01,178.90,1.8,45.6,2.4,189.0,0.62,87.6,30.1,58.9,87.6,18.9,43.2,76.5,0.30,0
95.67,301.23,2.7,67.8,1.8,312.3,0.85,112.3,45.6,81.2,112.3,31.2,61.2,98.7,0.45,0
41.23,128.90,1.4,36.7,2.8,139.0,0.49,75.6,24.5,50.1,75.6,13.9,37.8,65.4,0.24,0
74.56,234.56,2.2,54.3,2.0,245.6,0.74,98.7,36.7,68.9,98.7,24.5,51.2,84.5,0.36,0
30.12,95.67,1.0,28.9,3.2,106.7,0.38,65.4,19.8,43.2,65.4,10.6,32.1,56.7,0.19,0
83.45,267.89,2.5,61.2,1.9,278.9,0.82,106.7,42.3,74.5,106.7,27.8,56.7,91.2,0.42,0
52.34,162.34,1.7,42.3,2.5,173.4,0.58,82.3,28.9,56.7,82.3,17.3,40.1,71.2,0.28,0
115.67,367.89,3.0,84.5,1.6,389.0,0.95,128.9,51.2,92.3,128.9,38.9,70.1,112.3,0.51,1
44.56,139.01,1.5,38.9,2.7,150.1,0.52,78.9,26.7,51.2,78.9,15.0,39.0,67.8,0.26,0
78.90,245.67,2.3,56.7,2.0,256.7,0.76,101.2,37.8,70.1,101.2,25.6,52.3,87.6,0.37,0
33.45,106.78,1.1,31.2,3.1,117.8,0.41,68.9,20.9,45.6,68.9,11.7,34.5,60.1,0.20,0
89.01,278.90,2.6,64.5,1.8,289.0,0.84,109.8,43.2,78.9,109.8,28.9,58.9,95.6,0.43,0
56.78,173.45,1.8,45.6,2.4,184.5,0.60,84.5,29.0,58.9,84.5,18.4,42.3,73.4,0.29,0
98.76,312.34,2.8,71.2,1.7,323.4,0.89,115.6,47.8,87.6,115.6,32.3,62.3,103.4,0.47,0
27.89,84.56,0.9,25.6,3.3,95.6,0.34,61.2,18.9,39.0,61.2,9.5,29.0,52.3,0.18,0
62.34,195.67,1.9,48.9,2.2,206.7,0.65,89.0,31.2,61.2,89.0,20.6,46.7,78.9,0.31,0
106.78,334.56,2.9,76.5,1.7,356.7,0.91,121.2,50.1,89.0,121.2,35.6,65.4,109.8,0.50,0
39.01,122.34,1.3,35.6,2.9,133.4,0.46,72.3,23.4,48.9,72.3,13.3,36.7,64.5,0.23,0
71.23,223.45,2.1,52.3,2.1,234.5,0.72,95.6,35.6,65.4,95.6,23.4,50.1,82.3,0.35,0
