feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,is_fraud
45.23,67.89,12.34,89.01,23.45,56.78,90.12,34.56,78.90,11.23,45.67,89.01,23.45,67.89,12.34,0
123.45,234.56,345.67,456.78,567.89,678.90,789.01,890.12,901.23,12.34,123.45,234.56,345.67,456.78,567.89,0
78.90,89.01,90.12,101.23,112.34,123.45,134.56,145.67,156.78,167.89,178.90,189.01,190.12,201.23,212.34,0
56.78,45.67,34.56,23.45,12.34,1.23,90.12,89.01,78.90,67.89,56.78,45.67,34.56,23.45,12.34,0
234.56,123.45,12.34,1.23,90.12,89.01,78.90,67.89,56.78,45.67,34.56,23.45,12.34,1.23,90.12,0
89.01,90.12,91.23,92.34,93.45,94.56,95.67,96.78,97.89,98.90,99.01,100.12,101.23,102.34,103.45,0
12.34,23.45,34.56,45.67,56.78,67.89,78.90,89.01,90.12,101.23,112.34,123.45,134.56,145.67,156.78,0
167.89,156.78,145.67,134.56,123.45,112.34,101.23,90.12,89.01,78.90,67.89,56.78,45.67,34.56,23.45,0
345.67,334.56,323.45,312.34,301.23,290.12,279.01,267.90,256.78,245.67,234.56,223.45,212.34,201.23,190.12,0
98.76,87.65,76.54,65.43,54.32,43.21,32.10,21.09,10.98,9.87,8.76,7.65,6.54,5.43,4.32,0
201.23,189.45,178.67,167.89,157.01,146.23,135.45,124.67,113.89,103.01,92.23,81.45,70.67,59.89,49.01,0
54.32,56.78,59.12,61.45,63.78,66.12,68.45,70.78,73.12,75.45,77.78,80.12,82.45,84.78,87.12,0
123.67,134.78,145.89,156.90,167.01,178.12,189.23,200.34,211.45,222.56,233.67,244.78,255.89,266.90,278.01,0
43.21,44.32,45.43,46.54,47.65,48.76,49.87,50.98,52.09,53.20,54.31,55.42,56.53,57.64,58.75,0
289.12,278.23,267.34,256.45,245.56,234.67,223.78,212.89,201.90,191.01,180.12,169.23,158.34,147.45,136.56,0
76.54,78.90,81.23,83.56,85.89,88.23,90.56,92.89,95.23,97.56,99.89,102.23,104.56,106.89,109.23,0
134.56,145.67,156.78,167.89,178.90,189.01,190.12,201.23,212.34,223.45,234.56,245.67,256.78,267.89,278.90,0
65.43,67.89,70.34,72.78,75.23,77.67,80.12,82.56,85.01,87.45,89.90,92.34,94.78,97.23,99.67,0
212.34,223.45,234.56,245.67,256.78,267.89,278.90,289.01,290.12,301.23,312.34,323.45,334.56,345.67,356.78,0
98.76,101.23,103.67,106.12,108.56,111.01,113.45,115.90,118.34,120.78,123.23,125.67,128.12,130.56,133.01,0
156.78,167.89,178.90,189.01,190.12,201.23,212.34,223.45,234.56,245.67,256.78,267.89,278.90,289.01,290.12,0
87.65,89.01,90.43,91.87,93.32,94.78,96.23,97.67,99.12,100.56,102.01,103.45,104.90,106.34,107.78,0
234.56,245.67,256.78,267.89,278.90,289.01,290.12,301.23,312.34,323.45,334.56,345.67,356.78,367.89,378.90,1
54.32,56.78,59.23,61.67,64.12,66.56,69.01,71.45,73.90,76.34,78.78,81.23,83.67,86.12,88.56,0
178.90,189.01,190.12,201.23,212.34,223.45,234.56,245.67,256.78,267.89,278.90,289.01,290.12,301.23,312.34,0
