GAME: game_001
1. B D4
2. W E5
3. B E4
4. W D5
5. B F5
6. W F4
7. B G4
8. W F3
9. B E3
10. W D3
11. B C4
12. W C5
13. B D6
14. W E6
15. B F6
16. W G5
17. B G6
18. W H5
19. B H4
20. W G3

GAME: game_002
1. B C3
2. W D3
3. B D4
4. W C4
5. B C5
6. W D5
7. B E5
8. W E4
9. B E3
10. W F3
11. B F4
12. W F5
13. B D2
14. W C2
15. B B3
16. W B4
17. B B5
18. W A5

GAME: game_003
1. B E5
2. W F5
3. B F4
4. W E4
5. B D5
6. W D4
7. B D3
8. W E3
9. B F3
10. W F6
11. B E6
12. W D6
13. B C5
14. W C4
15. B C3
16. W B4
17. B B5
18. W B6
19. B A5
20. W A6
21. B A4
22. W B3
23. B C6
24. W D7
25. B E7

GAME: game_004
1. B D4
2. W E4
3. B E5
4. W D5
5. B C5
6. W C4
7. B C3
8. W D3
9. B E3
10. W F3
11. B F4
12. W F5
13. B E6
14. W D6
15. B C6
16. W B5
17. B B4
18. W B3
19. B A4
20. W A3
21. B A5
22. W B6

GAME: game_005
1. B E5
2. W D5
3. B D4
4. W E4
5. B F4
6. W F5
7. B G5
8. W G4
9. B G3
10. W F3
11. B E3
12. W D3
13. B C4
14. W C5
15. B C6
16. W D6
17. B E6
18. W F6
19. B F7
20. W G6
21. B H5
22. W H4
23. B H3
24. W H6
25. B G7

GAME: game_006
1. B C3
2. W D3
3. B D4
4. W C4
5. B B4
6. W B3
7. B B5
8. W C5
9. B D5
10. W E5
11. B E4
12. W E3
13. B F3
14. W F4
15. B F5
16. W G5
17. B G4
18. W G3
19. B H3
20. W H4

GAME: game_007
1. B E5
2. W F5
3. B F4
4. W E4
5. B D4
6. W D5
7. B C5
8. W C4
9. B C3
10. W B4
11. B B5
12. W A5
13. B A4
14. W A3
15. B B3
16. W D3
17. B E3
18. W F3
19. B G4
20. W G5
21. B H5
22. W H4
23. B H3
24. W G3

GAME: game_008
1. B D4
2. W D5
3. B E5
4. W E4
5. B E3
6. W F4
7. B F5
8. W G5
9. B G4
10. W G3
11. B F3
12. W F2
13. B E2
14. W D2
15. B D3
16. W C3
17. B C4
18. W C5
19. B B5
20. W B4
21. B B3
22. W A3
23. B A4
24. W A5
25. B D6
26. W E6
27. B F6
28. W F7
