block_id,volume_path,datanode_id
blk_1001234567,/mnt/disk1,datanode1
blk_1001234567,/mnt/disk4,datanode2
blk_1001234567,/mnt/disk6,datanode3
blk_1001234568,/mnt/disk2,datanode1
blk_1001234568,/mnt/disk5,datanode2
blk_1001234568,/mnt/disk7,datanode3
blk_1001234569,/mnt/disk3,datanode1
blk_1001234569,/mnt/disk4,datanode2
blk_1001234569,/mnt/disk6,datanode3
blk_1001234570,/mnt/disk1,datanode1
blk_1001234570,/mnt/disk2,datanode2
blk_1001234570,/mnt/disk4,datanode3
blk_1001234571,/mnt/disk5,datanode1
blk_1001234571,/mnt/disk6,datanode2
blk_1001234571,/mnt/disk7,datanode3
blk_1001234572,/mnt/disk1,datanode1
blk_1001234572,/mnt/disk3,datanode2
blk_1001234572,/mnt/disk4,datanode3
blk_1001234573,/mnt/disk2,datanode1
blk_1001234573,/mnt/disk4,datanode2
blk_1001234573,/mnt/disk5,datanode3
blk_1001234574,/mnt/disk3,datanode1
blk_1001234574,/mnt/disk6,datanode2
blk_1001234574,/mnt/disk4,datanode3
blk_1001234575,/mnt/disk1,datanode1
blk_1001234575,/mnt/disk4,datanode2
blk_1001234575,/mnt/disk7,datanode3
blk_1001234576,/mnt/disk2,datanode1
blk_1001234576,/mnt/disk5,datanode2
blk_1001234576,/mnt/disk4,datanode3
blk_1001234577,/mnt/disk3,datanode1
blk_1001234577,/mnt/disk4,datanode2
blk_1001234577,/mnt/disk6,datanode3
blk_1001234578,/mnt/disk1,datanode1
blk_1001234578,/mnt/disk2,datanode2
blk_1001234578,/mnt/disk7,datanode3
blk_1001234579,/mnt/disk4,datanode1
blk_1001234579,/mnt/disk5,datanode2
blk_1001234579,/mnt/disk6,datanode3
blk_1001234580,/mnt/disk1,datanode1
blk_1001234580,/mnt/disk3,datanode2
blk_1001234580,/mnt/disk4,datanode3
blk_1001234581,/mnt/disk2,datanode1
blk_1001234581,/mnt/disk4,datanode2
blk_1001234581,/mnt/disk6,datanode3
blk_1001234582,/mnt/disk3,datanode1
blk_1001234582,/mnt/disk5,datanode2
blk_1001234582,/mnt/disk4,datanode3
blk_1001234583,/mnt/disk1,datanode1
blk_1001234583,/mnt/disk4,datanode2
blk_1001234583,/mnt/disk7,datanode3
blk_1001234584,/mnt/disk2,datanode1
blk_1001234584,/mnt/disk6,datanode2
blk_1001234584,/mnt/disk4,datanode3
blk_1001234585,/mnt/disk3,datanode1
blk_1001234585,/mnt/disk4,datanode2
blk_1001234585,/mnt/disk5,datanode3
blk_1001234586,/mnt/disk1,datanode1
blk_1001234586,/mnt/disk2,datanode2
blk_1001234586,/mnt/disk4,datanode3
blk_1001234587,/mnt/disk4,datanode1
blk_1001234587,/mnt/disk6,datanode2
blk_1001234587,/mnt/disk7,datanode3
blk_1001234588,/mnt/disk1,datanode1
blk_1001234588,/mnt/disk3,datanode2
blk_1001234588,/mnt/disk5,datanode3
blk_1001234589,/mnt/disk2,datanode1
blk_1001234589,/mnt/disk4,datanode2
blk_1001234589,/mnt/disk6,datanode3
blk_1001234590,/mnt/disk3,datanode1
blk_1001234590,/mnt/disk4,datanode2
blk_1001234590,/mnt/disk7,datanode3
blk_1001234591,/mnt/disk1,datanode1
blk_1001234591,/mnt/disk5,datanode2
blk_1001234591,/mnt/disk4,datanode3
blk_1001234592,/mnt/disk2,datanode1
blk_1001234592,/mnt/disk4,datanode2
blk_1001234592,/mnt/disk6,datanode3
blk_1001234593,/mnt/disk3,datanode1
blk_1001234593,/mnt/disk5,datanode2
blk_1001234593,/mnt/disk4,datanode3
blk_1001234594,/mnt/disk1,datanode1
blk_1001234594,/mnt/disk4,datanode2
blk_1001234594,/mnt/disk7,datanode3
blk_1001234595,/mnt/disk2,datanode1
blk_1001234595,/mnt/disk6,datanode2
blk_1001234595,/mnt/disk4,datanode3
blk_1001234596,/mnt/disk3,datanode1
blk_1001234596,/mnt/disk4,datanode2
blk_1001234596,/mnt/disk5,datanode3
blk_1001234597,/mnt/disk1,datanode1
blk_1001234597,/mnt/disk2,datanode2
