site_id,year,habitat_type,temperature,moisture,count
SITE_001,2018,forest,16.5,0.72,8
SITE_001,2019,forest,17.2,0.68,5
SITE_001,2020,forest,16.8,0.75,9
SITE_001,2021,forest,15.9,0.70,6
SITE_001,2022,forest,16.3,0.65,0
SITE_001,2023,forest,17.1,0.73,7
SITE_002,2018,grassland,22.1,0.25,0
SITE_002,2019,grassland,21.8,0.23,0
SITE_002,2020,grassland,23.5,0.28,0
SITE_002,2021,grassland,22.7,0.22,0
SITE_002,2022,grassland,21.9,0.26,0
SITE_002,2023,grassland,22.4,0.24,0
SITE_003,2018,wetland,15.3,0.85,12
SITE_003,2019,wetland,16.1,0.81,0
SITE_003,2020,wetland,15.7,0.88,14
SITE_003,2021,wetland,14.9,0.83,11
SITE_003,2022,wetland,15.5,0.79,8
SITE_003,2023,wetland,16.2,0.86,13
SITE_004,2018,forest,18.2,0.55,3
SITE_004,2019,forest,17.9,0.58,4
SITE_004,2020,forest,18.5,0.52,0
SITE_004,2021,forest,17.6,0.60,5
SITE_004,2022,forest,18.1,0.56,2
SITE_004,2023,forest,17.8,0.59,4
SITE_005,2018,grassland,24.2,0.30,0
SITE_005,2019,grassland,23.8,0.32,0
SITE_005,2020,grassland,24.5,0.29,0
SITE_005,2021,grassland,23.9,0.31,0
SITE_005,2022,grassland,24.1,0.28,0
SITE_005,2023,grassland,24.3,0.30,0
SITE_006,2018,wetland,16.8,0.78,9
SITE_006,2019,wetland,17.3,0.82,10
SITE_006,2020,wetland,16.5,0.75,0
SITE_006,2021,wetland,17.1,0.80,8
SITE_006,2022,wetland,16.9,0.77,7
SITE_006,2023,wetland,17.4,0.83,11
SITE_007,2018,forest,15.8,0.68,6
SITE_007,2019,forest,16.2,0.71,7
SITE_007,2020,forest,15.5,0.66,0
SITE_007,2021,forest,16.0,0.69,5
SITE_007,2022,forest,15.7,0.67,4
SITE_007,2023,forest,16.3,0.72,8
SITE_008,2018,grassland,23.1,0.27,0
SITE_008,2019,grassland,22.6,0.25,0
SITE_008,2020,grassland,23.8,0.29,0
SITE_008,2021,grassland,22.9,0.26,0
SITE_008,2022,grassland,23.3,0.28,0
SITE_008,2023,grassland,23.0,0.27,0
SITE_009,2018,wetland,14.8,0.87,13
SITE_009,2019,wetland,15.4,0.84,12
SITE_009,2020,wetland,15.1,0.89,15
SITE_009,2021,wetland,14.6,0.85,0
SITE_009,2022,wetland,15.2,0.86,14
SITE_009,2023,wetland,15.0,0.88,13
SITE_010,2018,forest,19.1,0.48,0
SITE_010,2019,forest,18.7,0.51,2
SITE_010,2020,forest,19.4,0.46,0
SITE_010,2021,forest,18.9,0.49,1
SITE_010,2022,forest,19.2,0.47,0
SITE_010,2023,forest,18.8,0.50,2
SITE_011,2018,forest,16.9,0.74,9
SITE_011,2019,forest,17.5,0.71,8
SITE_011,2020,forest,16.7,0.76,10
SITE_011,2021,forest,17.2,0.73,0
SITE_011,2022,forest,16.8,0.70,7
SITE_011,2023,forest,17.3,0.75,9
SITE_012,2018,grassland,21.5,0.33,0
SITE_012,2019,grassland,22.0,0.31,0
SITE_012,2020,grassland,21.3,0.35,0
SITE_012,2021,grassland,21.8,0.32,0
SITE_012,2022,grassland,21.6,0.34,0
SITE_012,2023,grassland,21.9,0.33,0
SITE_013,2018,wetland,17.0,0.80,10
SITE_013,2019,wetland,17.6,0.77,0
SITE_013,2020,wetland,17.2,0.82,11
SITE_013,2021,wetland,16.8,0.79,9
SITE_013,2022,wetland,17.4,0.81,10
SITE_013,2023,wetland,17.1,0.78,8
SITE_014,2018,forest,14.2,0.62,3
SITE_014,2019,forest,14.8,0.65,4
SITE_014,2020,forest,14.5,0.60,0
SITE_014,2021,forest,14.1,0.63,2
SITE_014,2022,forest,14.6,0.61,3
SITE_014,2023,forest,14.3,0.64,4
SITE_015,2018,forest,20.3,0.42,0
SITE_015,2019,forest,19.8,0.45,0
SITE_015,2020,forest,20.6,0.40,0
SITE_015,2021,forest,20.1,0.43,1
SITE_015,2022,forest,20.4,0.41,0
SITE_015,2023,forest,19.9,0.44,0
SITE_016,2018,wetland,15.9,0.84,11
SITE_016,2019,wetland,16.4,0.81,10
SITE_016,2020,wetland,15.6,0.86,0
SITE_016,2021,wetland,16.1,0.83,12
SITE_016,2022,wetland,15.8,0.82,9
SITE_016,2023,wetland,16.3,0.85,11
SITE_017,2018,grassland,24.8,0.24,0
SITE_017,2019,grassland,24.3,0.26,0
SITE_017,2020,grassland,25.0,0.23,0
SITE_017,2021,grassland,24.6,0.25,0
SITE_017,2022,grassland,24.9,0.24,0
SITE_017,2023,grassland,24.4,0.25,0
SITE_018,2018,forest,17.7,0.67,6
SITE_018,2019,forest,18.1,0.64,0
SITE_018,2020,forest,17.4,0.69,7
SITE_018,2021,forest,18.0,0.66,5
SITE_018,2022,forest,17.6,0.68,6
SITE_018,2023,forest,17.9,0.65,4
SITE_019,2018,wetland,14.5,0.89,14
SITE_019,2019,wetland,15.0,0.86,13
SITE_019,2020,wetland,14.7,0.90,15
SITE_019,2021,wetland,14.3,0.87,0
SITE_019,2022,wetland,14.9,0.88,14
SITE_019,2023,wetland,14.6,0.89,13
SITE_020,2018,forest,13.8,0.58,2
SITE_020,2019,forest,14.3,0.61,3
SITE_020,2020,forest,13.5,0.56,0
SITE_020,2021,forest,14.0,0.59,2
SITE_020,2022,forest,13.7,0.57,0
SITE_020,2023,forest,14.2,0.60,3
