timestamp_us,voltage_mv
1000,3302
1001,3298
1002,3305
1003,3301
1004,3297
1005,3303
1006,3299
1007,3304
1008,3298
1009,3302
1010,3306
1011,3300
1012,3297
1013,3303
1014,3301
1015,3299
1016,3305
1017,3302
1018,3298
1019,3304
1020,3300
1021,3297
1022,3303
1023,3301
1024,3299
1025,3305
1026,3302
1027,3298
1028,3304
1029,3300
1030,3297
1031,3303
1032,3301
1033,3299
1034,3305
1035,3302
1036,3298
1037,3304
1038,3300
1039,3297
1040,3303
1041,3301
1042,3299
1043,3305
1044,3302
1045,3298
1046,3304
1047,3300
1048,3297
1049,3303
1050,3301
1051,3299
1052,3305
1053,3302
1054,3298
1055,3304
1056,3300
1057,3297
1058,3303
1059,3301
1060,3299
1061,3305
1062,3302
1063,3298
1064,3304
1065,3300
1066,3297
1067,3303
1068,3301
1069,3299
1070,3305
1071,3302
1072,3298
1073,3304
1074,3300
1075,3297
1076,3303
1077,3301
1078,3299
1079,3305
1080,3302
1081,3298
1082,3304
1083,3300
1084,3297
1085,3303
1086,1950
1087,3301
1088,3299
1089,3305
1090,3302
1091,3298
1092,3304
1093,3300
1094,3297
1095,3303
1096,3301
1097,3299
1098,3305
1099,3302
1100,3298
1101,3304
1102,3300
1103,3297
1104,3303
1105,3301
1106,3299
1107,3305
1108,3302
1109,3298
1110,3304
1111,3300
1112,3297
1113,3303
1114,3301
1115,3299
1116,3305
1117,3302
1118,3298
1119,3304
1120,3300
1121,3297
1122,3303
1123,3301
1124,3299
1125,3305
1126,3302
1127,3298
1128,3304
1129,3300
1130,3297
1131,3303
1132,3301
1133,3299
1134,3305
1135,3302
1136,3298
1137,3304
1138,3300
1139,3297
1140,3303
1141,3301
1142,3299
1143,3305
1144,3302
1145,3298
1146,3304
1147,3300
1148,3297
1149,3303
1150,3301
1151,3299
1152,3305
1153,3302
1154,3298
1155,3304
1156,3300
1157,3297
1158,3303
1159,3301
1160,3299
1161,3305
1162,3302
1163,3298
1164,3304
1165,3300
1166,3297
1167,3303
1168,3301
1169,3299
1170,3305
1171,3302
1172,3298
1173,3304
1174,3300
1175,3297
1176,3303
1177,3301
1178,3299
1179,3305
1180,3302
