label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
0,2.45,-3.67,1.23,4.56,-2.34,5.67,3.21,-1.45,6.78,2.34,-4.56,7.89,1.23,-3.45,8.90,2.34,-5.67,9.01,3.45,-1.23,cat_A,cat_B,cat_C,cat_D,cat_E
0,-1.23,4.56,2.34,-5.67,3.45,6.78,-2.34,1.23,7.89,-3.45,5.67,8.90,-1.23,4.56,9.01,-2.34,6.78,1.23,-4.56,7.89,cat_B,cat_C,cat_A,cat_E,cat_D
1,3.45,-6.78,4.56,1.23,-7.89,2.34,5.67,-3.45,8.90,1.23,-6.78,9.01,2.34,-5.67,3.45,6.78,-1.23,4.56,7.89,-2.34,cat_C,cat_D,cat_E,cat_A,cat_B
0,5.67,2.34,-8.90,3.45,1.23,-4.56,6.78,2.34,-1.23,9.01,3.45,-7.89,5.67,1.23,-6.78,8.90,2.34,-3.45,4.56,6.78,cat_D,cat_E,cat_B,cat_C,cat_A
0,-4.56,7.89,3.45,-1.23,8.90,2.34,-6.78,5.67,1.23,-9.01,4.56,2.34,-7.89,6.78,3.45,-1.23,9.01,5.67,-2.34,8.90,cat_E,cat_A,cat_D,cat_B,cat_C
0,1.23,-5.67,8.90,2.34,-3.45,6.78,4.56,-1.23,7.89,3.45,-2.34,9.01,5.67,-6.78,1.23,8.90,-4.56,2.34,6.78,3.45,cat_A,cat_C,cat_E,cat_D,cat_B
1,-2.34,6.78,1.23,-8.90,5.67,3.45,-7.89,4.56,2.34,-1.23,8.90,6.78,-3.45,1.23,9.01,-5.67,7.89,3.45,-4.56,2.34,cat_B,cat_D,cat_A,cat_C,cat_E
0,4.56,-1.23,7.89,5.67,-2.34,9.01,3.45,-6.78,1.23,8.90,-5.67,2.34,6.78,-9.01,4.56,7.89,-3.45,1.23,5.67,9.01,cat_C,cat_E,cat_B,cat_A,cat_D
0,7.89,3.45,-2.34,6.78,1.23,-5.67,8.90,4.56,-3.45,2.34,9.01,-1.23,7.89,5.67,-6.78,3.45,8.90,-4.56,1.23,2.34,cat_D,cat_A,cat_C,cat_E,cat_B
0,-3.45,8.90,4.56,-6.78,2.34,7.89,-1.23,5.67,9.01,-4.56,3.45,1.23,-8.90,6.78,2.34,-7.89,5.67,3.45,-1.23,4.56,cat_E,cat_B,cat_D,cat_C,cat_A
1,2.34,-7.89,5.67,3.45,-9.01,1.23,6.78,-4.56,8.90,2.34,-5.67,7.89,3.45,-1.23,9.01,4.56,-6.78,8.90,2.34,-3.45,cat_A,cat_D,cat_E,cat_B,cat_C
0,6.78,-2.34,9.01,4.56,-7.89,3.45,1.23,-5.67,2.34,8.90,-3.45,6.78,4.56,-2.34,7.89,1.23,-9.01,5.67,3.45,6.78,cat_B,cat_E,cat_A,cat_D,cat_C
0,-5.67,3.45,1.23,-4.56,8.90,6.78,-2.34,7.89,4.56,-1.23,5.67,9.01,-6.78,3.45,2.34,-8.90,4.56,7.89,-5.67,1.23,cat_C,cat_A,cat_B,cat_E,cat_D
0,8.90,-4.56,2.34,7.89,-1.23,5.67,9.01,-3.45,6.78,1.23,-7.89,4.56,8.90,-5.67,3.45,2.34,-6.78,9.01,4.56,-2.34,cat_D,cat_B,cat_C,cat_A,cat_E
1,3.45,5.67,-8.90,1.23,6.78,-2.34,4.56,7.89,-1.23,9.01,2.34,-6.78,5.67,3.45,-9.01,8.90,1.23,-4.56,7.89,5.67,cat_E,cat_C,cat_D,cat_B,cat_A
0,-1.23,9.01,6.78,-3.45,4.56,8.90,-5.67,2.34,7.89,-6.78,1.23,3.45,-9.01,8.90,5.67,-2.34,6.78,3.45,-7.89,9.01,cat_A,cat_E,cat_C,cat_D,cat_B
0,5.67,-8.90,3.45,2.34,-6.78,7.89,1.23,-4.56,9.01,5.67,-3.45,8.90,2.34,-7.89,6.78,4.56,-1.23,2.34,8.90,3.45,cat_B,cat_A,cat_E,cat_C,cat_D
0,9.01,2.34,-5.67,8.90,3.45,-1.23,6.78,5.67,-2.34,4.56,8.90,-9.01,1.23,6.78,-4.56,7.89,3.45,-5.67,2.34,1.23,cat_C,cat_B,cat_A,cat_E,cat_D
1,-6.78,4.56,7.89,-2.34,9.01,5.67,-8.90,3.45,1.23,-5.67,6.78,2.34,-4.56,9.01,7.89,-3.45,5.67,8.90,-1.23,4.56,cat_D,cat_C,cat_B,cat_A,cat_E
0,4.56,-1.23,6.78,5.67,-9.01,2.34,8.90,-6.78,3.45,7.89,-2.34,5.67,9.01,-3.45,1.23,6.78,-8.90,4.56,5.67,-7.89,cat_E,cat_D,cat_C,cat_B,cat_A
0,1.23,6.78,-4.56,9.01,2.34,-7.89,5.67,3.45,-1.23,8.90,4.56,-6.78,3.45,7.89,-9.01,2.34,5.67,-3.45,6.78,8.90,cat_A,cat_C,cat_D,cat_E,cat_B
0,-8.90,5.67,2.34,-6.78,7.89,4.56,-3.45,9.01,6.78,-4.56,1.23,8.90,-2.34,5.67,3.45,-7.89,9.01,1.23,-5.67,2.34,cat_B,cat_E,cat_A,cat_C,cat_D
1,7.89,-3.45,9.01,1.23,-5.67,8.90,2.34,-6.78,4.56,3.45,-9.01,7.89,5.67,-1.23,8.90,3.45,-2.34,6.78,9.01,-4.56,cat_C,cat_A,cat_E,cat_D,cat_B
0,3.45,8.90,-6.78,4.56,1.23,-9.01,7.89,5.67,-3.45,2.34,6.78,-1.23,8.90,4.56,-5.67,9.01,7.89,-2.34,3.45,1.23,cat_D,cat_B,cat_C,cat_A,cat_E
0,-2.34,7.89,5.67,-8.90,3.45,6.78,-4.56,1.23,9.01,-7.89,5.67,2.34,-3.45,6.78,8.90,-1.23,4.56,5.67,-6.78,7.89,cat_E,cat_D,cat_B,cat_C,cat_A
0,6.78,-5.67,1.23,7.89,-2.34,4.56,9.01,-8.90,5.67,6.78,-3.45,9.01,7.89,-4.56,2.34,5.67,-6.78,3.45,1.23,9.01,cat_A,cat_E,cat_D,cat_B,cat_C
1,9.01,3.45,-7.89,5.67,6.78,-1.23,3.45,8.90,-5.67,1.23,7.89,-2.34,4.56,9.01,-6.78,8.90,2.34,-9.01,5.67,3.45,cat_B,cat_C,cat_A,cat_E,cat_D
0,-4.56,2.34,8.90,-3.45,5.67,9.01,-6.78,7.89,2.34,-9.01,3.45,5.67,-1.23,8.90,6.78,-4.56,3.45,7.89,-2.34,5.67,cat_C,cat_D,cat_E,cat_A,cat_B
0,5.67,-9.01,4.56,2.34,-7.89,8.90,1.23,-5.67,6.78,4.56,-8.90,1.23,6.78,-3.45,9.01,7.89,-5.67,2.34,8.90,4.56,cat_D,cat_A,cat_B,cat_C,cat_E
0,2.34,6.78,-1.23,8.90,4.56,-6.78,5.67,2.34,-9.01,7.89,1.23,-4.56,9.01,5.67,-2.34,3.45,8.90,-6.78,4.56,2.34,cat_E,cat_B,cat_C,cat_D,cat_A
1,-7.89,1.23,5.67,-4.56,9.01,3.45,-8.90,6.78,5.67,-2.34,9.01,8.90,-6.78,1.23,4.56,-7.89,2.34,5.67,3.45,-9.01,cat_A,cat_D,cat_A,cat_E,cat_C
0,8.90,-6.78,3.45,5.67,-1.23,7.89,4.56,-2.34,1.23,9.01,-5.67,6.78,3.45,-8.90,7.89,5.67,-3.45,9.01,1.23,6.78,cat_B,cat_E,cat_D,cat_B,cat_A
0,1.23,4.56,-8.90,6.78,2.34,-5.67,9.01,3.45,-7.89,5.67,8.90,-1.23,2.34,4.56,-6.78,1.23,9.01,-4.56,7.89,8.90,cat_C,cat_A,cat_E,cat_C,cat_D
0,-5.67,9.01,2.34,-3.45,8.90,1.23,-6.78,4.56,7.89,-9.01,2.34,5.67,-8.90,3.45,1.23,-4.56,6.78,8.90,-5.67,3.45,cat_D,cat_C,cat_B,cat_A,cat_E
1,4.56,-2.34,7.89,9.01,-4.56,6.78,2.34,-1.23,8.90,3.45,-7.89,4.56,1.23,-9.01,5.67,8.90,-2.34,3.45,6.78,1.23,cat_E,cat_B,cat_A,cat_D,cat_C
0,7.89,5.67,-4.56,1.23,6.78,-9.01,8.90,7.89,-3.45,2.34,4.56,-6.78,5.67,8.90,-1.23,2.34,3.45,-7.89,9.01,5.67,cat_A,cat_C,cat_D,cat_E,cat_B
0,-3.45,8.90,6.78,-7.89,1.23,5.67,-2.34,9.01,4.56,-6.78,7.89,3.45,-5.67,2.34,9.01,-8.90,1.23,4.56,-3.45,7.89,cat_B,cat_D,cat_C,cat_A,cat_E
0,9.01,-1.23,5.67,3.45,-8.90,2.34,7.89,-5.67,9.01,1.23,-3.45,8.90,6.78,-2.34,4.56,7.89,-9.01,5.67,2.34,3.45,cat_C,cat_E,cat_B,cat_D,cat_A
