datname,usename,application_name,state,query_start
production_db,app_user,web_server,active,2024-01-15 10:23:45
production_db,app_user,web_server,idle,2024-01-15 10:24:12
production_db,app_user,web_server,active,2024-01-15 10:25:33
production_db,app_user,api_service,idle in transaction,2024-01-15 10:22:18
production_db,app_user,api_service,active,2024-01-15 10:26:41
production_db,app_user,web_server,idle,2024-01-15 10:21:55
production_db,app_user,background_worker,active,2024-01-15 10:20:12
production_db,app_user,web_server,idle,2024-01-15 10:27:03
production_db,app_user,api_service,active,2024-01-15 10:23:27
production_db,app_user,web_server,idle in transaction,2024-01-15 10:19:44
production_db,readonly_user,web_server,active,2024-01-15 10:25:51
production_db,app_user,api_service,idle,2024-01-15 10:24:39
production_db,app_user,background_worker,active,2024-01-15 10:22:56
production_db,app_user,web_server,idle,2024-01-15 10:26:18
production_db,readonly_user,api_service,active,2024-01-15 10:21:33
production_db,app_user,web_server,idle,2024-01-15 10:23:09
production_db,app_user,background_worker,active,2024-01-15 10:27:22
production_db,app_user,web_server,idle in transaction,2024-01-15 10:20:47
production_db,app_user,api_service,active,2024-01-15 10:25:14
production_db,app_user,web_server,idle,2024-01-15 10:24:58
production_db,readonly_user,web_server,active,2024-01-15 10:22:35
production_db,app_user,api_service,idle,2024-01-15 10:26:07
production_db,app_user,background_worker,active,2024-01-15 10:21:19
production_db,app_user,web_server,idle,2024-01-15 10:23:52
production_db,app_user,web_server,active,2024-01-15 10:27:41
production_db,readonly_user,api_service,idle,2024-01-15 10:20:28
production_db,app_user,web_server,active,2024-01-15 10:25:06
production_db,app_user,background_worker,idle in transaction,2024-01-15 10:24:23
production_db,app_user,api_service,active,2024-01-15 10:22:49
production_db,app_user,web_server,idle,2024-01-15 10:26:55
production_db,readonly_user,web_server,active,2024-01-15 10:21:41
production_db,app_user,api_service,idle,2024-01-15 10:23:16
production_db,app_user,web_server,active,2024-01-15 10:27:28
production_db,app_user,background_worker,idle,2024-01-15 10:20:53
production_db,app_user,web_server,active,2024-01-15 10:25:37
production_db,readonly_user,api_service,idle,2024-01-15 10:24:11
production_db,app_user,web_server,active,2024-01-15 10:22:04
production_db,app_user,cron_job,active,2024-01-15 10:26:32
production_db,admin,psql,idle,2024-01-15 10:19:15
production_db,app_user,web_server,active,2024-01-15 10:23:48
analytics_db,reporting_user,reporting_service,active,2024-01-15 10:24:27
analytics_db,reporting_user,reporting_service,idle,2024-01-15 10:23:11
analytics_db,readonly_user,api_service,active,2024-01-15 10:25:42
analytics_db,reporting_user,background_worker,idle in transaction,2024-01-15 10:21:36
analytics_db,reporting_user,reporting_service,active,2024-01-15 10:26:19
analytics_db,readonly_user,web_server,idle,2024-01-15 10:22:53
analytics_db,reporting_user,reporting_service,active,2024-01-15 10:24:08
analytics_db,reporting_user,cron_job,active,2024-01-15 10:20:44
analytics_db,readonly_user,api_service,idle,2024-01-15 10:27:15
analytics_db,reporting_user,reporting_service,active,2024-01-15 10:23:31
analytics_db,reporting_user,background_worker,idle,2024-01-15 10:25:57
analytics_db,readonly_user,web_server,active,2024-01-15 10:21:22
analytics_db,reporting_user,reporting_service,idle in transaction,2024-01-15 10:26:38
analytics_db,admin,psql,active,2024-01-15 10:22:09
analytics_db,reporting_user,reporting_service,idle,2024-01-15 10:24:46
analytics_db,readonly_user,api_service,active,2024-01-15 10:20:17
analytics_db,reporting_user,background_worker,idle,2024-01-15 10:27:04
analytics_db,reporting_user,reporting_service,active,2024-01-15 10:23:25
analytics_db,readonly_user,web_server,idle,2024-01-15 10:25:51
analytics_db,reporting_user,cron_job,active,2024-01-15 10:21:08
staging_db,app_user,web_server,active,2024-01-15 10:24:33
staging_db,app_user,api_service,idle,2024-01-15 10:23:19
staging_db,readonly_user,web_server,active,2024-01-15 10:26:02
staging_db,app_user,background_worker,idle in transaction,2024-01-15 10:22:45
staging_db,app_user,web_server,active,2024-01-15 10:25:28
staging_db,app_user,api_service,idle,2024-01-15 10:21:54
staging_db,readonly_user,web_server,active,2024-01-15 10:27:11
staging_db,app_user,web_server,idle,2024-01-15 10:20:37
staging_db,admin,psql,active,2024-01-15 10:24:16
staging_db,app_user,background_worker,idle,2024-01-15 10:23:58
staging_db,app_user,api_service,active,2024-01-15 10:26:44
staging_db,readonly_user,web_server,idle,2024-01-15 10:22:21
staging_db,app_user,web_server,active,2024-01-15 10:25:09
staging_db,app_user,api_service,idle in transaction,2024-01-15 10:21:47
reporting_db,reporting_user,reporting_service,active,2024-01-15 10:24:52
reporting_db,readonly_user,api_service,idle,2024-01-15 10:23:38
reporting_db,reporting_user,background_worker,active,2024-01-15 10:26:25
reporting_db,reporting_user,reporting_service,idle,2024-01-15 10:22:13
reporting_db,readonly_user,web_server,active,2024-01-15 10:25:47
reporting_db,reporting_user,cron_job,idle in transaction,2024-01-15 10:21:29
reporting_db,reporting_user,reporting_service,active,2024-01-15 10:27:06
reporting_db,readonly_user,api_service,idle,2024-01-15 10:20:51
reporting_db,admin,psql,active,2024-01-15 10:24:34
reporting_db,reporting_user,background_worker,idle,2024-01-15 10:23:17
