name,setting
max_connections,100
shared_buffers,128MB
effective_cache_size,4GB
work_mem,4MB
maintenance_work_mem,64MB
checkpoint_completion_target,0.9
wal_buffers,16MB
default_statistics_target,100
random_page_cost,4
effective_io_concurrency,2
min_wal_size,1GB
max_wal_size,4GB
max_worker_processes,8
max_parallel_workers_per_gather,2
max_parallel_workers,8
port,5432
listen_addresses,*
log_timezone,UTC
max_wal_senders,10
wal_keep_segments,64
hot_standby,on
max_standby_streaming_delay,30s
wal_receiver_status_interval,10s
max_replication_slots,10
track_commit_timestamp,off
synchronous_commit,on
wal_compression,on
full_page_writes,on
wal_log_hints,off
log_checkpoints,on
