transaction_id,customer_id,amount,transaction_date,category
T001,C001,150.50,2024-01-05,Electronics
T002,C002,45.99,2024-01-06,Clothing
T003,C003,299.99,2024-01-07,Electronics
T004,C001,89.50,2024-01-08,Food
T005,C004,1250.00,2024-01-09,Electronics
T006,C005,67.89,2024-01-10,Books
T007,C006,450.00,2024-01-11,Home
T008,C007,23.45,2024-01-12,Food
T009,C008,189.99,2024-01-13,Clothing
T010,C009,75.50,2024-01-14,Books
T011,C010,3200.00,2024-01-15,Electronics
T012,C002,56.78,2024-01-16,Food
T013,C011,890.00,2024-01-17,Home
T014,C012,34.99,2024-01-18,Clothing
T015,C013,145.00,2024-01-19,Books
T016,C003,278.50,2024-01-20,Electronics
T017,C014,92.30,2024-01-21,Food
T018,C015,567.89,2024-01-22,Home
T019,C001,45.67,2024-01-23,Clothing
T020,C016,234.56,2024-01-24,Electronics
T021,C017,78.90,2024-01-25,Food
T022,C018,1890.00,2024-01-26,Electronics
T023,C019,43.21,2024-01-27,Books
T024,C020,678.90,2024-01-28,Home
T025,C004,99.99,2024-01-29,Clothing
T026,C021,456.78,2024-01-30,Electronics
T027,C005,34.56,2024-01-31,Food
T028,C022,789.00,2024-02-01,Home
T029,C006,123.45,2024-02-02,Books
T030,C023,2345.67,2024-02-03,Electronics
T031,C007,67.89,2024-02-04,Clothing
T032,C024,890.12,2024-02-05,Home
T033,C008,45.67,2024-02-06,Food
T034,C025,1234.56,2024-02-07,Electronics
T035,C009,78.90,2024-02-08,Books
T036,C026,567.89,2024-02-09,Clothing
T037,C010,234.56,2024-02-10,Food
T038,C027,4567.89,2024-02-11,Electronics
T039,C011,89.01,2024-02-12,Books
T040,C028,678.90,2024-02-13,Home
T041,C012,123.45,2024-02-14,Clothing
T042,C001,345.67,2024-02-15,Electronics
T043,C013,56.78,2024-02-16,Food
T044,C029,890.12,2024-02-17,Home
T045,C014,234.56,2024-02-18,Books
T046,C002,1456.78,2024-02-19,Electronics
T047,C015,67.89,2024-02-20,Clothing
T048,C030,789.01,2024-02-21,Home
T049,C003,45.67,2024-02-22,Food
T050,C016,2345.67,2024-02-23,Electronics
T051,C004,123.45,2024-02-24,Books
T052,C017,567.89,2024-02-25,Clothing
T053,C005,89.01,2024-02-26,Food
T054,C018,3456.78,2024-02-27,Electronics
T055,C006,234.56,2024-02-28,Home
T056,C019,678.90,2024-02-29,Books
T057,C007,123.45,2024-03-01,Clothing
T058,C020,1890.12,2024-03-02,Electronics
T059,C008,56.78,2024-03-03,Food
T060,C021,890.01,2024-03-04,Home
T061,C009,345.67,2024-03-05,Books
T062,C022,4123.45,2024-03-06,Electronics
T063,C010,78.90,2024-03-07,Clothing
T064,C023,567.89,2024-03-08,Food
T065,C011,234.56,2024-03-09,Home
T066,C024,2678.90,2024-03-10,Electronics
T067,C012,89.01,2024-03-11,Books
T068,C025,456.78,2024-03-12,Clothing
T069,C013,123.45,2024-03-13,Food
T070,C026,1567.89,2024-03-14,Electronics
T071,C014,234.56,2024-03-15,Home
T072,C027,678.90,2024-03-16,Books
T073,C015,45.67,2024-03-17,Clothing
T074,C028,3890.12,2024-03-18,Electronics
