1000
9.234 -5.678 3.421 8.901 -2.345 6.789 4.567 -1.234 7.890 5.432
8.123 -6.789 2.345 9.012 -3.456 5.678 7.890 -4.321 6.543 3.210
7.456 -8.901 1.234 5.678 -9.012 4.321 8.765 -2.109 3.456 9.876
6.789 -3.456 9.012 4.567 -7.890 2.345 5.678 -8.123 1.098 7.654
5.432 -9.876 8.765 3.210 -6.543 1.234 4.567 -5.432 9.012 8.321
4.321 -2.345 7.654 9.876 -5.678 8.901 3.456 -1.234 6.789 4.567
3.210 -8.765 6.543 2.345 -4.321 7.890 9.012 -3.456 5.678 1.234
9.876 -4.567 5.432 8.765 -1.234 6.789 2.345 -9.012 4.321 7.890
8.765 -5.432 4.321 7.654 -2.345 5.678 1.234 -8.901 3.456 9.012
7.654 -6.789 3.210 6.543 -9.876 4.567 8.901 -1.234 2.345 5.432
6.543 -1.234 9.876 5.432 -8.765 3.210 7.654 -4.321 9.012 6.789
5.678 -9.012 8.901 4.321 -7.654 2.345 6.543 -5.432 8.765 3.456
4.567 -8.901 7.890 3.210 -6.543 1.234 5.432 -9.876 7.654 2.345
3.456 -7.890 6.789 9.012 -5.432 8.765 4.321 -1.234 6.543 9.876
2.345 -6.789 5.678 8.901 -4.321 7.654 3.210 -9.012 5.432 8.765
1.234 -5.678 4.567 7.890 -3.210 6.543 9.876 -8.901 4.321 7.654
9.012 -4.567 3.456 6.789 -9.012 5.432 8.765 -7.890 3.210 6.543
8.901 -3.456 2.345 5.678 -8.901 4.321 7.654 -6.789 9.012 5.432
7.890 -2.345 1.234 4.567 -7.890 3.210 6.543 -5.678 8.901 4.321
6.789 -1.234 9.876 3.456 -6.789 2.345 5.432 -4.567 7.890 3.210
5.678 -9.876 8.765 2.345 -5.678 1.234 4.321 -3.456 6.789 9.012
4.567 -8.765 7.654 1.234 -4.567 9.012 3.210 -2.345 5.678 8.901
3.456 -7.654 6.543 9.876 -3.456 8.901 2.345 -1.234 4.567 7.890
2.345 -6.543 5.432 8.765 -2.345 7.890 1.234 -9.012 3.456 6.789
1.234 -5.432 4.321 7.654 -1.234 6.789 9.876 -8.901 2.345 5.678
9.876 -4.321 3.210 6.543 -9.876 5.678 8.765 -7.890 1.234 4.567
8.765 -3.210 2.345 5.432 -8.765 4.567 7.654 -6.789 9.012 3.456
7.654 -2.345 1.234 4.321 -7.654 3.456 6.543 -5.678 8.901 2.345
6.543 -1.234 9.012 3.210 -6.543 2.345 5.432 -4.567 7.890 1.234
5.432 -9.012 8.901 2.345 -5.432 1.234 4.321 -3.456 6.789 9.876
4.321 -8.901 7.890 1.234 -4.321 9.876 3.210 -2.345 5.678 8.765
3.210 -7.890 6.789 9.876 -3.210 8.765 2.345 -1.234 4.567 7.654
2.345 -6.789 5.678 8.765 -2.345 7.654 1.234 -9.012 3.456 6.543
1.234 -5.678 4.567 7.654 -1.234 6.543 9.012 -8.901 2.345 5.432
9.012 -4.567 3.456 6.543 -9.012 5.432 8.901 -7.890 1.234 4.321
8.901 -3.456 2.345 5.432 -8.901 4.321 7.890 -6.789 9.012 3.210
7.890 -2.345 1.234 4.321 -7.890 3.210 6.789 -5.678 8.901 2.345
6.789 -1.234 9.876 3.210 -6.789 2.345 5.678 -4.567 7.890 1.234
5.678 -9.876 8.765 2.345 -5.678 1.234 4.567 -3.456 6.789 9.012
4.567 -8.765 7.654 1.234 -4.567 9.012 3.456 -2.345 5.678 8.901
3.456 -7.654 6.543 9.012 -3.456 8.901 2.345 -1.234 4.567 7.890
2.345 -6.543 5.432 8.901 -2.345 7.890 1.234 -9.012 3.456 6.789
