sensor_id,timestamp,temperature,pressure,status
42,1609459200,87.3,102.1,critical
42,1609545600,86.5,101.8,critical
42,1609632000,88.2,102.5,critical
42,1609718400,89.1,103.0,critical
42,1609804800,85.7,101.5,critical
42,1609891200,87.9,102.3,critical
42,1609977600,86.3,101.9,critical
42,1610064000,88.5,102.7,critical
42,1610150400,87.1,102.0,critical
42,1610236800,89.3,103.1,critical
42,1610323200,86.8,101.7,critical
42,1610409600,88.0,102.4,critical
42,1610496000,87.5,102.2,critical
42,1610582400,89.0,102.9,critical
42,1610668800,86.2,101.6,critical
103,1609632000,82.1,100.5,critical
103,1609891200,83.5,100.8,critical
103,1610150400,81.7,100.3,critical
103,1610409600,84.2,101.0,critical
103,1610668800,82.8,100.6,critical
103,1610928000,83.1,100.7,critical
103,1611187200,81.9,100.4,critical
103,1611446400,84.0,100.9,critical
103,1611705600,82.5,100.5,critical
103,1611964800,83.8,101.1,critical
75,1609545600,78.9,99.8,critical
75,1609804800,79.5,100.0,critical
75,1610064000,77.8,99.5,critical
75,1610323200,80.1,100.2,critical
75,1610582400,78.3,99.7,critical
75,1610841600,79.8,100.1,critical
75,1611100800,78.5,99.6,critical
75,1611360000,80.3,100.3,critical
188,1609718400,91.2,103.5,critical
188,1609977600,92.5,103.8,critical
188,1610236800,90.8,103.3,critical
188,1610496000,93.1,104.0,critical
188,1610755200,91.7,103.6,critical
188,1611014400,92.0,103.7,critical
188,1611273600,90.5,103.2,critical
188,1611532800,93.5,104.2,critical
188,1611792000,91.3,103.4,critical
188,1612051200,92.8,103.9,critical
188,1612310400,90.9,103.3,critical
188,1612569600,93.0,104.1,critical
250,1609804800,78.9,103.2,warning
250,1610064000,65.2,99.5,normal
250,1610323200,70.1,100.8,warning
250,1610582400,62.5,98.7,normal
315,1609459200,85.6,102.8,critical
315,1609718400,86.9,103.1,critical
315,1609977600,84.8,102.5,critical
315,1610236800,87.2,103.3,critical
315,1610496000,85.1,102.6,critical
315,1610755200,86.5,102.9,critical
412,1609545600,76.5,99.2,critical
412,1609804800,77.8,99.5,critical
412,1610064000,75.9,99.0,critical
412,1610323200,78.2,99.7,critical
412,1610582400,76.1,99.1,critical
127,1609632000,80.5,100.9,critical
127,1609891200,81.2,101.2,critical
127,1610150400,79.8,100.7,critical
127,1610409600,82.0,101.4,critical
89,1609718400,88.7,103.0,critical
89,1609977600,89.5,103.4,critical
89,1610236800,87.9,102.8,critical
89,1610496000,90.1,103.6,critical
89,1610755200,88.3,102.9,critical
89,1611014400,89.8,103.5,critical
89,1611273600,87.5,102.7,critical
223,1609459200,94.2,104.5,critical
223,1609718400,95.0,104.8,critical
223,1609977600,93.8,104.3,critical
223,1610236800,94.5,104.6,critical
456,1609545600,77.2,99.8,critical
456,1609804800,78.0,100.1,critical
456,1610064000,76.8,99.6,critical
365,1609632000,83.9,101.5,critical
365,1609891200,84.5,101.8,critical
15,1609718400,45.2,98.3,normal
15,1609977600,48.7,98.9,normal
15,1610236800,42.1,97.8,normal
15,1610496000,50.3,99.2,normal
15,1610755200,46.5,98.5,normal
28,1609459200,55.8,99.1,normal
28,1609718400,58.2,99.5,normal
28,1609977600,52.7,98.7,normal
28,1610236800,60.1,99.8,normal
67,1609545600,68.5,100.2,warning
67,1609804800,70.2,100.5,warning
67,1610064000,66.8,99.8,warning
67,1610323200,71.5,100.8,warning
144,1609632000,40.5,97.5,normal
144,1609891200,43.8,98.0,normal
144,1610150400,38.9,97.2,normal
199,1609459200,62.3,99.3,warning
199,1609718400,64.7,99.7,warning
199,1609977600,61.5,99.1,warning
278,1609545600,35.2,96.8,normal
278,1609804800,37.5,97.1,normal
278,1610064000,33.8,96.5,normal
333,1609632000,73.2,101.0,warning
333,1609891200,74.8,101.3,warning
333,1610150400,72.5,100.8,warning
498,1609718400,81.3,101.7,critical
498,1609977600,82.0,102.0,critical
172,1609459200,79.5,100.8,critical
172,1609718400,80.2,101.1,critical
172,1609977600,78.8,100.5,critical
172,1610236800,81.0,101.4,critical
172,1610496000,79.2,100.7,critical
172,1610755200,80.5,101.2,critical
55,1609545600,92.3,104.1,critical
55,1609804800,93.8,104.5,critical
55,1610064000,91.5,103.8,critical
55,1610323200,94.2,104.7,critical
55,1610582400,92.0,104.0,critical
55,1610841600,93.5,104.4,critical
55,1611100800,91.8,103.9,critical
55,1611360000,94.0,104.6,critical
55,1611619200,92.5,104.2,critical
55,1611878400,93.2,104.3,critical
234,1609632000,48.3,98.6,normal
234,1609891200,51.0,99.0,normal
234,1610150400,46.7,98.2,normal
321,1609718400,85.2,102.4,critical
408,1609459200,58.9,99.4,warning
408,1609718400,61.2,99.8,warning
408,1609977600,57.5,99.1,warning
111,1609545600,75.8,99.4,critical
299,1609632000,44.1,98.1,normal
299,1609891200,47.3,98.7,normal
299,1610150400,41.8,97.6,normal
387,1609718400,69.5,100.3,warning
387,1609977600,71.8,100.7,warning
440,1609459200,86.7,102.9,critical
440,1609718400,87.5,103.2,critical
440,1609977600,85.9,102.6,critical
440,1610236800,88.1,103.4,critical
166,1609545600,39.7,97.4,normal
166,1609804800,42.3,97.9,normal
166,1610064000,37.5,96.9,normal
205,1609632000,66.2,99.9,warning
205,1609891200,68.5,100.4,warning
477,1609718400,76.9,99.6,critical
477,1609977600,77.6,99.9,critical
477,1610236800,75.8,99.3,critical
88,1609459200,52.1,98.8,normal
88,1609718400,54.6,99.2,normal
88,1609977600,50.8,98.5,normal
344,1609545600,63.7,99.5,warning
344,1609804800,65.9,99.9,warning
229,1609632000,83.4,101.6,critical
229,1609891200,84.1,101.9,critical
152,1609718400,41.9,97.7,normal
152,1609977600,44.5,98.2,normal
152,1610236800,39.8,97.3,normal
