2024-01-15 12:15:32 UTC | CORE | INFO | (pkg/collector/runner/runner.go:295) | Check collector started
2024-01-15 12:15:32 UTC | CORE | INFO | (pkg/collector/runner/runner.go:312) | Starting check scheduler
2024-01-15 12:15:33 UTC | CORE | INFO | (pkg/collector/worker/worker.go:62) | Check worker 1 started
2024-01-15 12:15:33 UTC | CORE | INFO | (pkg/collector/worker/worker.go:62) | Check worker 2 started
2024-01-15 12:15:33 UTC | CORE | INFO | (pkg/collector/worker/worker.go:62) | Check worker 3 started
2024-01-15 12:15:33 UTC | CORE | INFO | (pkg/collector/worker/worker.go:62) | Check worker 4 started
2024-01-15 12:15:35 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:145) | Scheduled check 'apache' with interval 15s
2024-01-15 12:15:35 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:145) | Scheduled check 'mysql' with interval 15s
2024-01-15 12:15:35 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:145) | Scheduled check 'nginx' with interval 15s
2024-01-15 12:15:35 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:145) | Scheduled check 'disk' with interval 20s
2024-01-15 12:15:35 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:145) | Scheduled check 'postgres' with interval 1s
2024-01-15 12:15:40 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:128) | apache check ran successfully in 87ms
2024-01-15 12:15:41 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:128) | mysql check ran successfully in 134ms
2024-01-15 12:15:42 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:128) | nginx check ran successfully in 76ms
2024-01-15 12:15:43 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3842ms to run
2024-01-15 12:15:44 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3654ms to run
2024-01-15 12:15:45 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:128) | disk check ran successfully in 112ms
2024-01-15 12:15:46 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4123ms to run
2024-01-15 12:15:47 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3891ms to run
2024-01-15 12:15:48 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4287ms to run
2024-01-15 12:15:49 UTC | CORE | WARNING | (pkg/collector/scheduler/scheduler.go:201) | Collection interval of 1s may be too aggressive for postgres check
2024-01-15 12:15:50 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3956ms to run
2024-01-15 12:15:51 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4091ms to run
2024-01-15 12:15:55 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:128) | apache check ran successfully in 93ms
2024-01-15 12:15:52 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3774ms to run
2024-01-15 12:15:53 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4215ms to run
2024-01-15 12:15:54 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3688ms to run
2024-01-15 12:15:56 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:128) | mysql check ran successfully in 142ms
2024-01-15 12:15:55 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 4356ms to run
2024-01-15 12:15:57 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:128) | nginx check ran successfully in 82ms
2024-01-15 12:15:56 UTC | CORE | WARNING | (pkg/collector/python/datadog_agent.go:142) | postgres check took 3912ms to run
