applicant_id,actual_outcome
1001,1
1002,0
1003,1
1004,1
1005,0
1006,1
1007,1
1008,0
1009,1
1010,1
1011,1
1012,0
1013,1
1014,0
1015,1
1016,1
1017,1
1018,0
1019,1
1020,0
1021,1
1022,1
1023,0
1024,1
1025,1
1026,1
1027,0
1028,1
1029,1
1030,0
1031,1
1032,1
1033,0
1034,1
1035,1
1036,1
1037,0
1038,1
1039,0
1040,1
1041,1
1042,1
1043,0
1044,1
1045,0
1046,1
1047,1
1048,1
1049,0
1050,1
1051,1
1052,0
1053,1
1054,1
1055,1
1056,0
1057,1
1058,1
1059,0
1060,1
1061,1
1062,1
1063,0
1064,1
1065,0
1066,1
1067,1
1068,1
1069,0
1070,1
1071,1
1072,0
1073,1
1074,1
1075,0
1076,1
1077,1
1078,1
1079,0
1080,1
1081,0
1082,1
1083,1
1084,1
1085,0
1086,1
1087,1
1088,0
1089,1
1090,1
1091,1
1092,0
1093,1
1094,0
1095,1
1096,1
1097,1
1098,0
1099,1
1100,1
1101,0
1102,1
1103,1
1104,1
1105,0
1106,1
1107,0
1108,1
1109,1
1110,1
1111,0
1112,1
1113,1
1114,0
1115,1
1116,1
1117,1
1118,0
1119,1
1120,0
1121,1
1122,1
1123,1
1124,0
1125,1
1126,1
1127,0
1128,1
1129,1
1130,0
1131,1
1132,1
1133,1
1134,0
1135,1
1136,0
1137,1
1138,1
1139,1
1140,0
1141,1
1142,1
1143,0
1144,1
1145,1
1146,1
1147,0
1148,1
1149,0
1150,1
1151,1
1152,1
1153,0
1154,1
1155,1
1156,0
1157,1
1158,1
1159,1
1160,0
1161,1
1162,0
1163,1
1164,1
1165,1
1166,0
1167,1
1168,1
1169,0
1170,1
