transaction_id,customer_id,product_category,transaction_date,amount,region
TXN_0000000001,CUST_07234,Electronics,2023-08-15,1299.99,West
TXN_0000000002,CUST_00891,Clothing,2023-03-22,79.50,North
TXN_0000000003,CUST_09456,Home & Garden,2023-11-08,456.75,East
TXN_0000000004,CUST_02341,Books,2023-05-14,34.99,South
TXN_0000000005,CUST_05678,Toys,2023-09-03,125.50,Central
TXN_0000000006,CUST_08123,Sports,2023-02-17,289.99,West
TXN_0000000007,CUST_01234,Food & Beverage,2023-06-28,45.75,North
TXN_0000000008,CUST_09876,Beauty,2023-12-05,89.99,East
TXN_0000000009,CUST_03456,Electronics,2023-01-19,2499.00,South
TXN_0000000010,CUST_06789,Clothing,2023-07-23,156.25,Central
TXN_0000000011,CUST_04567,Home & Garden,2023-04-11,678.50,West
TXN_0000000012,CUST_07890,Books,2023-10-30,29.99,North
TXN_0000000013,CUST_02345,Toys,2023-08-07,199.99,East
TXN_0000000014,CUST_05432,Sports,2023-03-15,445.00,South
TXN_0000000015,CUST_08901,Food & Beverage,2023-11-22,67.50,Central
TXN_0000000016,CUST_01098,Beauty,2023-05-09,112.75,West
TXN_0000000017,CUST_09234,Electronics,2023-09-18,1850.00,North
TXN_0000000018,CUST_03210,Clothing,2023-02-26,95.50,East
TXN_0000000019,CUST_06543,Home & Garden,2023-12-13,523.99,South
TXN_0000000020,CUST_04321,Books,2023-06-04,42.25,Central
TXN_0000000021,CUST_07654,Toys,2023-01-28,178.00,West
TXN_0000000022,CUST_02109,Sports,2023-08-21,356.75,North
TXN_0000000023,CUST_05876,Food & Beverage,2023-04-16,55.99,East
TXN_0000000024,CUST_08765,Beauty,2023-10-03,134.50,South
TXN_0000000025,CUST_01987,Electronics,2023-07-11,999.99,Central
TXN_0000000026,CUST_09321,Clothing,2023-03-29,88.75,West
TXN_0000000027,CUST_03654,Home & Garden,2023-11-15,412.50,North
TXN_0000000028,CUST_06789,Books,2023-05-22,37.99,East
TXN_0000000029,CUST_04210,Toys,2023-09-08,245.00,South
TXN_0000000030,CUST_07543,Sports,2023-02-13,567.25,Central
TXN_0000000031,CUST_02876,Food & Beverage,2023-12-19,73.50,West
TXN_0000000032,CUST_05109,Beauty,2023-06-25,98.99,North
TXN_0000000033,CUST_08432,Electronics,2023-01-07,1675.00,East
TXN_0000000034,CUST_01765,Clothing,2023-08-14,127.50,South
TXN_0000000035,CUST_09098,Home & Garden,2023-04-02,389.99,Central
TXN_0000000036,CUST_03987,Books,2023-10-20,31.75,West
TXN_0000000037,CUST_06210,Toys,2023-07-06,215.50,North
TXN_0000000038,CUST_04543,Sports,2023-03-18,478.00,East
TXN_0000000039,CUST_07876,Food & Beverage,2023-11-27,61.25,South
TXN_0000000040,CUST_02321,Beauty,2023-05-13,145.75,Central
TXN_0000000041,CUST_05654,Electronics,2023-09-24,2125.00,West
TXN_0000000042,CUST_08987,Clothing,2023-02-08,104.99,North
TXN_0000000043,CUST_01432,Home & Garden,2023-12-01,456.50,East
TXN_0000000044,CUST_09765,Books,2023-06-17,44.25,South
TXN_0000000045,CUST_03210,Toys,2023-01-23,189.99,Central
TXN_0000000046,CUST_06543,Sports,2023-08-30,623.75,West
TXN_0000000047,CUST_04876,Food & Beverage,2023-04-26,78.50,North
TXN_0000000048,CUST_07109,Beauty,2023-10-12,118.99,East
TXN_0000000049,CUST_02654,Electronics,2023-07-19,1425.00,South
TXN_0000000050,CUST_05987,Clothing,2023-03-05,91.75,Central
TXN_0000000051,CUST_08210,Home & Garden,2023-11-10,534.50,West
TXN_0000000052,CUST_01543,Books,2023-05-28,38.99,North
TXN_0000000053,CUST_09876,Toys,2023-09-15,267.25,East
TXN_0000000054,CUST_03321,Sports,2023-02-21,401.00,South
TXN_0000000055,CUST_06654,Food & Beverage,2023-12-07,69.75,Central
TXN_0000000056,CUST_04987,Beauty,2023-06-13,156.50,West
