installed_rank,version,description,type,script,checksum,installed_by,installed_on,execution_time,success
1,1,initial schema,SQL,V1__initial_schema.sql,1234567890,flyway,2024-01-15 10:30:00,145,1
2,2,add users table,SQL,V2__add_users_table.sql,1876543210,flyway,2024-01-16 09:15:00,89,1
3,5,add indexes,SQL,V5__add_indexes.sql,2345678901,dbadmin,2024-01-17 14:20:00,234,1
4,3,add products table,SQL,V3__add_products_table.sql,3456789012,flyway,2024-01-18 11:45:00,156,1
5,2,add user roles,SQL,V2__add_user_roles.sql,4567890123,dbadmin,2024-01-19 08:30:00,78,1
6,6,add orders table,SQL,V6__add_orders_table.sql,5678901234,flyway,2024-01-20 16:10:00,198,1
7,3,add categories,SQL,V3__add_categories.sql,6789012345,dbadmin,2024-01-21 13:25:00,112,1
8,5,optimize queries,SQL,V5__optimize_queries.sql,7890123456,flyway,2024-01-22 10:50:00,267,1
9,7,add payments table,SQL,V7__add_payments_table.sql,8901234567,dbadmin,2024-01-23 15:40:00,189,1
10,4,add inventory tracking,SQL,V4__add_inventory_tracking.sql,9012345678,flyway,2024-01-24 12:05:00,223,1
