procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
00:00:00 1  0  654320 3245680  524288 4523760   0    0   120   340  850 1240 32 8 58 2 0
00:01:00 2  0  658240 3198720  524352 4528640   4    0   135   298  920 1350 35 9 54 2 0
00:02:00 1  0  661180 3156480  524416 4532880   3    0   142   312  890 1280 33 7 58 2 0
00:03:00 2  1  664920 3134560  524480 4536240   4    0   128   356  940 1420 36 10 52 2 0
00:04:00 1  0  667440 3189760  524544 4539680   2    0   145   288  875 1195 31 8 59 2 0
00:05:00 2  0  670280 3212480  524608 4543120   3    0   138   324  910 1330 34 9 55 2 0
00:06:00 1  0  673560 3178640  524672 4547200   3    0   152   298  895 1265 32 7 59 2 0
00:07:00 2  1  676120 3145920  524736 4550880   3    0   168   342  925 1385 37 11 50 2 0
00:08:00 1  0  679480 3201280  524800 4554560   3    0   142   316  880 1240 33 8 57 2 0
00:09:00 2  0  682340 3167840  524864 4558240   3    0   156   288  905 1295 35 9 54 2 0
00:10:00 1  0  685760 3198560  524928 4562080   3    0   148   332  890 1260 32 8 58 2 0
00:11:00 2  0  688920 3234720  524992 4565680   3    0   164   296  915 1340 36 10 52 2 0
00:12:00 1  1  692480 3189440  525056 4569440   4    0   172   348  945 1405 38 11 49 2 0
00:13:00 2  0  695680 3156880  525120 4573280   3    0   158   312  895 1275 33 9 56 2 0
00:14:00 1  0  698540 3201600  525184 4576960   3    0   146   284  880 1235 31 8 59 2 0
00:15:00 2  0  701920 3178240  525248 4580720   3    0   168   328  920 1365 35 10 53 2 0
00:16:00 1  0  705160 3223680  525312 4584480   3    0   152   304  890 1280 33 8 57 2 0
00:17:00 2  1  708480 3167920  525376 4588320   3    0   176   356  935 1420 37 11 50 2 0
00:18:00 1  0  711840 3198560  525440 4592080   3    0   164   316  905 1305 34 9 55 2 0
00:19:00 2  0  714920 3234880  525504 4595760   3    0   158   292  885 1250 32 8 58 2 0
00:20:00 1  0  718360 3201440  525568 4599520   3    0   172   348  920 1375 36 10 52 2 0
00:21:00 2  0  721580 3178960  525632 4603280   3    0   148   308  895 1285 33 8 57 2 0
00:22:00 1  1  724920 3145280  525696 4607120   3    0   184   372  950 1445 38 12 48 2 0
00:23:00 2  0  728240 3189760  525760 4610880   3    0   162   324  910 1320 35 9 54 2 0
00:24:00 1  0  731680 3223520  525824 4614640   4    0   156   296  890 1265 32 8 58 2 0
00:25:00 2  0  734860 3198400  525888 4618480   3    0   168   348  925 1390 36 10 52 2 0
00:26:00 1  0  738240 3167840  525952 4622240   4    0   174   312  900 1295 34 9 55 2 0
00:27:00 2  1  741560 3201120  526016 4626080   3    0   188   364  945 1435 37 11 50 2 0
00:28:00 1  0  744920 3234560  526080 4629840   3    0   162   328  915 1340 35 9 54 2 0
