batch_interval,processing_time,end_to_end_latency,throughput
1.0,1.8,8.5,42000
1.2,2.0,9.1,44000
1.5,2.1,9.8,46000
1.8,2.5,10.5,47500
2.0,2.4,10.8,48000
2.2,2.6,11.2,49000
2.5,2.8,11.8,49500
2.8,3.1,12.5,50500
3.0,2.9,12.8,51000
3.2,3.0,13.1,52000
3.5,3.2,13.5,53000
3.8,3.4,13.9,54000
4.0,3.5,14.2,55000
4.2,3.6,14.5,55500
4.5,3.8,14.8,56000
4.8,4.0,15.1,56500
5.0,4.2,15.4,57000
5.2,4.5,15.8,57500
5.5,4.8,16.2,58000
5.8,5.1,16.6,58500
6.0,5.3,17.0,59000
6.2,5.6,17.4,59200
6.5,5.9,17.9,59500
6.8,6.3,18.4,59800
7.0,6.6,18.9,60000
7.2,6.9,19.3,60200
7.5,7.3,19.8,60300
7.8,7.6,20.3,60400
8.0,7.9,20.8,60500
8.2,8.3,21.3,60400
8.5,8.7,21.9,60300
8.8,9.1,22.5,60100
9.0,9.5,23.1,59900
9.2,9.9,23.7,59600
9.5,10.3,24.3,59200
9.8,10.8,25.0,58800
10.0,11.2,25.6,58400
10.5,12.1,26.8,57500
11.0,13.0,28.1,56500
11.5,13.9,29.4,55200
12.0,14.8,30.8,54000
3.3,3.1,13.3,52500
3.6,3.3,13.7,53500
4.3,3.7,14.6,55800
4.6,3.9,14.9,56200
2.3,2.7,11.4,49200
2.6,2.9,11.9,49800
3.1,2.95,13.0,51500
3.4,3.15,13.4,52800
3.9,3.45,14.0,54500
4.1,3.55,14.3,55200
4.4,3.75,14.7,55900
