task_id,duration_seconds,stage_id
task_001,25,0
task_002,30,0
task_003,82,0
task_004,28,0
task_005,22,0
task_006,31,0
task_007,27,0
task_008,33,0
task_009,24,0
task_010,29,0
task_011,26,0
task_012,32,0
task_013,23,0
task_014,35,0
task_015,28,0
task_016,30,0
task_017,75,0
task_018,27,0
task_019,31,0
task_020,24,0
task_021,29,0
task_022,26,0
task_023,33,0
task_024,25,0
task_025,88,0
task_026,28,0
task_027,30,0
task_028,27,0
task_029,32,0
task_030,24,0
task_031,31,0
task_032,26,0
task_033,29,0
task_034,34,0
task_035,25,0
task_036,30,0
task_037,28,0
task_038,67,0
task_039,33,0
task_040,27,0
task_041,29,0
task_042,31,0
task_043,26,0
task_044,24,0
task_045,32,0
task_046,48,1
task_047,52,1
task_048,55,1
task_049,47,1
task_050,61,1
task_051,49,1
task_052,58,1
task_053,53,1
task_054,46,1
task_055,50,1
task_056,145,1
task_057,54,1
task_058,48,1
task_059,62,1
task_060,51,1
task_061,57,1
task_062,49,1
task_063,52,1
task_064,46,1
task_065,59,1
task_066,53,1
task_067,48,1
task_068,63,1
task_069,50,1
task_070,55,1
task_071,172,1
task_072,47,1
task_073,52,1
task_074,58,1
task_075,49,1
task_076,54,1
task_077,51,1
task_078,46,1
task_079,60,1
task_080,53,1
task_081,48,1
task_082,135,1
task_083,56,1
task_084,50,1
task_085,52,1
task_086,47,1
task_087,61,1
task_088,54,1
task_089,49,1
task_090,158,1
task_091,53,1
task_092,48,1
task_093,55,1
task_094,51,1
task_095,59,1
task_096,46,1
task_097,52,1
task_098,125,1
task_099,50,1
task_100,54,1
task_101,35,2
task_102,42,2
task_103,38,2
task_104,45,2
task_105,33,2
task_106,40,2
task_107,37,2
task_108,48,2
task_109,34,2
task_110,41,2
task_111,120,2
task_112,39,2
task_113,36,2
task_114,43,2
task_115,32,2
task_116,46,2
task_117,38,2
task_118,44,2
task_119,35,2
task_120,40,2
task_121,37,2
task_122,49,2
task_123,33,2
task_124,142,2
task_125,41,2
task_126,36,2
task_127,43,2
task_128,38,2
task_129,45,2
task_130,34,2
task_131,110,2
task_132,39,2
task_133,42,2
task_134,37,2
task_135,44,2
task_136,35,2
task_137,40,2
task_138,33,2
task_139,46,2
task_140,38,2
